date,AUDUSD,NZDUSD,CHFJPY,EURGBP,GBPAUD,EURJPY,EURCAD,EURAUD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2020.07.06,-19.999999999997797,-45.99999999999049,1.0000000000047748,13.999999999991797,72.99999999998974,-154.00000000001057,68.00000000000139,12.999999999996348,13.00000000000523,55.999999999997385,-16.0000000000049,-27.999999999994696,,-26.000000000011802
2020.07.06,-9.00000000000345,-56.99999999999594,-87.99999999999386,-21.00000000000435,25.999999999992696,-155.00000000000114,-5.999999999994898,0.0,-34.99999999999659,-22.999999999996135,-29.999999999996696,-9.00000000000345,,-406.9999999999938
2020.07.06,-113.00000000000753,-172.99999999998983,-135.00000000000512,-43.00000000000415,-205.00000000001074,-178.00000000001148,74.0000000000185,-163.00000000000205,-158.00000000000125,-158.00000000000125,-87.00000000000374,-131.00000000000333,,-1470.000000000022
2020.07.06,-153.99999999999858,-196.99999999999162,-135.00000000000512,-45.000000000006146,-296.9999999999917,-200.00000000000284,64.0000000000196,-256.00000000001177,-209.99999999999375,-197.00000000000273,-143.9999999999997,-170.99999999999892,,-1941.9999999999832
2020.07.06,-158.0000000000026,-165.9999999999995,-162.9999999999967,-49.00000000001015,-279.00000000000705,-230.00000000000398,26.0000000000149,-232.00000000000998,-218.9999999999941,-165.99999999999682,-158.99999999999804,-134.99999999999625,,-1930.0
2020.07.06,-197.99999999999818,-193.99999999999417,-197.9999999999933,-44.0000000000107,-371.00000000001023,-265.00000000000057,75.00000000000284,-331.0000000000146,-284.9999999999966,-221.00000000000364,-185.00000000000182,-143.9999999999997,,-2361.0000000000205
2020.07.06,-223.00000000000654,-262.999999999991,-328.00000000000296,-90.0000000000012,-322.00000000000006,-421.0000000000065,-101.99999999997988,-212.00000000001216,-326.9999999999982,-311.00000000000705,-234.00000000000088,-253.0000000000032,,-3086.0000000000095
2020.07.06,-245.0000000000063,-285.9999999999974,-379.0000000000049,-146.00000000000168,-426.9999999999996,-539.0000000000015,-164.99999999999292,-199.00000000001583,-388.9999999999958,-370.00000000000455,-256.0000000000007,-273.000000000001,,-3674.000000000022
2020.07.06,-295.0000000000008,-297.9999999999983,-408.00000000000125,-120.00000000000898,-504.9999999999999,-580.0000000000125,-132.99999999998312,-299.00000000000483,-462.0000000000033,-397.00000000000557,-292.9999999999988,-258.9999999999981,,-4049.0000000000155
2020.07.06,-274.00000000000756,-304.9999999999997,-435.99999999999284,-175.00000000000293,-479.0000000000072,-649.0000000000009,-191.99999999999218,-195.00000000001182,-460.9999999999985,-429.00000000000205,-278.9999999999959,-286.99999999999284,,-4161.000000000005
2020.07.06,-275.99999999999847,-302.9999999999977,-477.99999999999443,-214.00000000000307,-526.0000000000042,-695.0000000000074,-265.99999999998846,-163.00000000000205,-475.9999999999991,-439.9999999999977,-300.0000000000003,-303.9999999999932,,-4440.999999999985
2020.07.06,-314.0000000000032,-336.9999999999984,-495.00000000000455,-223.00000000000654,-529.0000000000017,-718.0000000000035,-278.00000000000045,-156.00000000000057,-485.99999999999,-445.99999999999795,-302.9999999999977,-305.99999999999517,,-4591.000000000001
2020.07.06,-273.000000000001,-298.9999999999937,-493.9999999999998,-233.00000000000543,-429.00000000001273,-710.000000000008,-327.99999999999494,-46.0000000000127,-429.00000000000205,-391.9999999999959,-268.99999999999704,-275.99999999999847,,-4178.000000000022
2020.07.06,-363.99999999999767,-350.9999999999902,-525.0000000000057,-202.0000000000022,-547.0000000000086,-770.0000000000102,-301.99999999998005,-196.0000000000184,-534.9999999999966,-454.9999999999983,-339.0000000000004,-293.99999999999426,,-4880.000000000002
2020.07.06,-331.0000000000035,-307.99999999999716,-519.0000000000055,-207.00000000000162,-469.99999999999267,-777.000000000001,-286.99999999999284,-129.00000000000134,-509.9999999999909,-418.99999999999693,-290.00000000000136,-234.99999999999633,,-4481.999999999981
2020.07.06,-346.0000000000019,-326.9999999999995,-540.0000000000063,-242.00000000000887,-435.0000000000076,-821.0000000000122,-397.99999999998727,-29.00000000001235,-489.9999999999949,-406.0000000000059,-302.0000000000023,-248.00000000000378,,-4584.000000000043
2020.07.06,-357.00000000000733,-341.99999999999784,-533.0000000000013,-239.0000000000003,-483.0000000000112,-838.9999999999986,-312.00000000000114,-77.00000000001594,-524.0000000000009,-444.0000000000026,-280.00000000000244,-237.99999999999378,,-4668.000000000033
2020.07.06,-436.00000000000307,-390.99999999999693,-561.9999999999976,-221.99999999999997,-631.0000000000038,-865.9999999999997,-240.9999999999801,-243.00000000001543,-613.9999999999901,-501.0000000000048,-343.00000000000443,-258.9999999999981,,-5308.999999999994
2020.07.06,-402.00000000000233,-369.99999999999255,-534.000000000006,-225.00000000000853,-571.0000000000103,-838.0000000000081,-320.9999999999935,-187.00000000000384,-575.0000000000028,-477.00000000000387,-351.99999999999676,-280.00000000000244,,-5132.000000000031
2020.07.06,-472.00000000000574,-418.9999999999916,-519.999999999996,-195.00000000000074,-655.0000000000056,-788.0000000000109,-273.9999999999965,-321.0000000000157,-602.9999999999944,-487.99999999999955,-397.99999999999835,-309.0000000000037,,-5442.000000000018
