date,AUDUSD,NZDUSD,CHFJPY,EURGBP,GBPAUD,EURJPY,EURCAD,EURAUD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2020.07.06,-41.9999999999976,-80.99999999999774,-60.99999999999284,-26.000000000003798,-102.00000000000209,-162.00000000000614,-26.999999999999247,-56.000000000011596,-36.000000000001364,-34.000000000006025,-56.0000000000005,-63.00000000000195,,-746.0000000000209
2020.07.06,-46.00000000000159,-135.99999999999167,-117.00000000000443,-136.00000000000279,-295.0000000000008,-180.00000000000682,-38.99999999998904,-79.00000000000685,-63.00000000000239,-66.0000000000025,-77.00000000000485,-90.0000000000012,,-1324.0000000000148
2020.07.06,-143.9999999999997,-178.99999999999582,-162.9999999999967,-59.000000000009045,-300.00000000001137,-225.9999999999991,1.0000000000065512,-279.00000000000705,-192.99999999999784,-179.00000000000205,-143.00000000000423,-154.99999999999403,,-2019.0000000000105
2020.07.06,-173.00000000000094,-214.99999999999852,-140.00000000000057,-51.000000000001044,-330.0000000000081,-210.99999999999852,55.000000000005045,-300.00000000001137,-228.9999999999992,-216.99999999999875,-156.99999999999602,-187.9999999999993,,-2156.000000000007
2020.07.06,-177.00000000000495,-209.9999999999991,-174.99999999999716,-65.00000000000395,-313.99999999999204,-256.0000000000002,12.000000000012001,-264.0000000000198,-250.99999999999056,-224.00000000000375,-161.00000000000003,-181.9999999999933,,-2266.9999999999923
2020.07.06,-217.0000000000005,-216.99999999998943,-218.9999999999941,-70.0000000000034,-392.9999999999989,-290.00000000000625,9.000000000014552,-357.00000000000733,-310.99999999999284,-242.00000000000443,-207.00000000000162,-187.00000000000384,,-2700.999999999988
2020.07.06,-329.00000000000153,-307.99999999999716,-394.00000000000546,-94.00000000000519,-517.9999999999962,-480.000000000004,-110.99999999999443,-416.00000000001637,-441.0000000000025,-352.99999999999443,-319.0000000000026,-266.999999999995,,-4030.000000000015
2020.07.06,-275.000000000003,-293.99999999999426,-406.9999999999965,-152.00000000000767,-439.99999999999596,-564.0000000000072,-202.9999999999976,-271.0000000000212,-412.9999999999967,-379.99999999999545,-290.00000000000136,-281.99999999999335,,-3971.0000000000105
2020.07.06,-295.0000000000008,-302.9999999999977,-421.99999999999704,-159.00000000000912,-504.9999999999999,-581.0000000000031,-187.99999999998818,-301.0000000000179,-462.0000000000033,-403.0000000000058,-292.9999999999988,-290.00000000000136,,-4202.000000000023
2020.07.06,-348.00000000000387,-353.99999999999875,-480.000000000004,-177.00000000000495,-554.9999999999944,-696.0000000000122,-218.99999999999142,-332.00000000002115,-539.0000000000015,-480.99999999999454,-334.00000000000097,-314.0000000000032,,-4829.000000000031
2020.07.06,-317.0000000000006,-348.9999999999993,-493.9999999999998,-214.00000000000307,-577.0000000000052,-739.0000000000043,-269.9999999999925,-272.00000000000557,-537.9999999999967,-501.0000000000048,-331.0000000000035,-336.9999999999984,,-4939.000000000014
2020.07.06,-314.0000000000032,-337.99999999999386,-498.00000000000466,-233.00000000000543,-548.9999999999995,-731.0000000000088,-301.99999999998005,-194.0000000000053,-489.9999999999949,-447.00000000000273,-317.0000000000006,-310.9999999999946,,-4723.999999999994
2020.07.06,-326.9999999999995,-344.99999999999534,-510.0000000000051,-243.00000000000432,-536.0000000000032,-728.9999999999992,-330.9999999999924,-175.00000000001404,-491.9999999999902,-451.9999999999982,-314.0000000000032,-305.99999999999517,,-4760.000000000001
2020.07.06,-400.00000000000034,-361.9999999999957,-560.0000000000023,-241.00000000000233,-581.0000000000093,-820.0000000000074,-367.99999999999056,-247.00000000001944,-587.0000000000033,-478.9999999999992,-380.999999999998,-302.9999999999977,,-5329.0000000000255
2020.07.06,-383.0,-362.99999999999113,-539.0000000000015,-228.00000000000597,-581.0000000000093,-805.0000000000068,-317.9999999999961,-231.0000000000034,-563.999999999993,-475.9999999999991,-348.9999999999993,-298.9999999999937,,-5135.999999999999
2020.07.06,-353.99999999999875,-332.99999999999443,-543.9999999999969,-262.00000000000665,-520.0000000000093,-828.000000000003,-411.99999999999017,-175.00000000001404,-536.9999999999919,-447.00000000000273,-311.00000000000574,-253.99999999999866,,-4977.000000000012
2020.07.06,-378.00000000000057,-351.99999999999676,-575.0000000000028,-247.00000000000833,-517.9999999999962,-855.000000000004,-407.99999999998613,-149.00000000002134,-555.9999999999974,-462.0000000000033,-326.9999999999995,-259.9999999999936,,-5087.000000000009
2020.07.06,-438.00000000000506,-392.9999999999989,-570.999999999998,-244.00000000001089,-649.0000000000107,-881.0000000000002,-322.9999999999844,-250.00000000001688,-615.9999999999997,-501.0000000000048,-353.0000000000033,-270.99999999999903,,-5490.000000000032
2020.07.06,-463.0000000000023,-414.9999999999987,-603.9999999999992,-237.00000000000944,-649.0000000000107,-885.0000000000051,-336.9999999999873,-295.0000000000008,-652.9999999999916,-536.0000000000014,-378.00000000000057,-290.00000000000136,,-5742.000000000007
