,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,USDCHF,20,"['GBPJPY', 'NZDCAD', 'USDCAD', 'NZDJPY', 'NZDUSD', 'EURUSD', 'AUDCAD', 'GBPUSD', 'USDCHF', 'EURNZD']",100.0,0.8868,B
1,1,USDJPY,10,['EURNZD'],80.0,1.0,B
2,2,AUDUSD,15,"['CHFJPY', 'GBPCHF', 'NZDCHF']",80.0,0.5514604256854454,B
3,3,NZDUSD,15,['EURGBP'],80.0,0.6697324092574128,B
4,4,GBPCHF,10,['EURGBP'],80.0,0.9989399999999999,B
5,5,EURCHF,10,"['AUDNZD', 'CADCHF']",100.0,-0.9739290873015867,S
6,6,CHFJPY,10,"['GBPJPY', 'EURJPY']",100.0,-0.9999,S
7,7,CADCHF,10,['USDJPY'],100.0,1.0,B
8,8,AUDCHF,10,"['EURGBP', 'EURCHF']",80.0,1.0,B
9,9,NZDCHF,15,"['AUDNZD', 'NZDCAD', 'CADCHF', 'EURNZD']",100.0,-0.9987,S
10,10,EURGBP,50,"['GBPCHF', 'NZDCHF', 'NZDCAD', 'AUDCAD', 'CADJPY', 'EURCHF', 'EURJPY']",100.0,-0.7614142424242459,S
11,11,GBPCAD,10,"['EURUSD', 'GBPUSD', 'AUDNZD', 'USDJPY']",80.0,-0.32298309523809515,S
12,12,GBPAUD,10,"['NZDCAD', 'EURCAD']",80.0,-1.0,S
13,13,EURAUD,15,"['NZDCAD', 'GBPCHF', 'AUDCAD', 'NZDCHF', 'CHFJPY']",80.0,-0.9578480952380957,S
14,14,EURNZD,10,['CHFJPY'],80.0,-0.48504948412699594,S
15,15,AUDJPY,30,"['NZDCAD', 'GBPCHF', 'AUDCAD', 'NZDCHF', 'CHFJPY']",80.0,0.11978242063492044,B
16,16,AUDCAD,10,"['CHFJPY', 'EURJPY']",80.0,0.99825,B
17,17,NZDCAD,10,"['AUDNZD', 'EURNZD']",80.0,-0.9706988888888902,S
