names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
GBPUSD,15,['GBPUSD'],80.0,-0.7594920634920634,S
AUDUSD,10,['GBPAUD'],100.0,-0.9640000000000001,S
NZDUSD,10,['GBPAUD'],100.0,-0.9840000000000001,S
GBPCHF,10,"['AUDNZD', 'EURUSD', 'USDJPY']",80.0,-0.16,S
CADCHF,10,['EURGBP'],80.0,-0.21126190476190473,S
AUDCHF,10,['EURGBP'],100.0,-0.27946031746031746,S
NZDCHF,10,['GBPAUD'],100.0,-0.9619999999999999,S
EURGBP,20,"['AUDNZD', 'EURAUD']",100.0,0.0036825396825396956,B
GBPCAD,20,"['EURAUD', 'EURCAD', 'EURCHF', 'CADJPY', 'GBPCAD', 'AUDCHF']",100.0,1.0,B
GBPAUD,10,['AUDCAD'],80.0,1.0,B
EURJPY,10,"['EURGBP', 'GBPJPY']",80.0,-0.88,S
EURCAD,10,['USDCHF'],80.0,0.29823809523809514,B
EURAUD,10,['USDCHF'],80.0,0.3118730158730158,B
EURNZD,10,['GBPAUD'],100.0,0.9520000000000001,B
CADJPY,10,['EURGBP'],100.0,-0.1959047619047619,S
AUDJPY,10,['EURGBP'],100.0,-0.5672460317460319,S
NZDJPY,10,"['EURGBP', 'AUDCAD']",80.0,-1.0,S
AUDCAD,15,"['AUDCAD', 'AUDNZD', 'GBPAUD']",80.0,-0.01669047619047619,S
NZDCAD,10,"['USDCHF', 'EURUSD', 'NZDJPY']",100.0,0.46,B
AUDNZD,15,"['EURUSD', 'USDJPY', 'AUDUSD', 'USDCAD']",100.0,-0.38,S
