names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,10,"['EURGBP', 'GBPCAD']",100.0,-0.64,S
GBPUSD,30,"['EURGBP', 'GBPCAD']",100.0,-0.13524675324675317,S
EURUSD,10,"['GBPJPY', 'GBPCAD', 'GBPUSD']",100.0,-1.0,S
USDJPY,10,['USDJPY'],100.0,-1.0,S
USDCAD,10,['EURGBP'],100.0,-1.0,S
AUDUSD,50,"['GBPJPY', 'GBPCAD', 'EURUSD']",100.0,0.31561148723997007,B
NZDUSD,10,"['GBPAUD', 'GBPCAD']",80.0,0.20738095238095244,B
GBPCHF,15,"['AUDNZD', 'AUDCAD', 'AUDJPY']",100.0,0.6122994227994228,B
EURCHF,10,['EURAUD'],80.0,-1.0,S
CHFJPY,10,['EURGBP'],80.0,1.0,B
CADCHF,15,['GBPCAD'],100.0,1.0,B
AUDCHF,30,['NZDUSD'],80.0,0.49688139493207456,B
NZDCHF,30,"['GBPAUD', 'EURAUD', 'AUDCHF']",100.0,0.14229761904761903,B
EURGBP,10,['GBPUSD'],80.0,-0.9840000000000001,S
GBPAUD,10,['EURJPY'],100.0,0.40800000000000003,B
EURJPY,15,"['AUDNZD', 'GBPCAD', 'GBPJPY']",80.0,-0.9266666666666665,S
EURCAD,10,"['EURNZD', 'NZDCHF']",80.0,-0.7841825396825395,S
EURNZD,10,['GBPAUD'],80.0,-1.0,S
NZDCAD,50,"['AUDUSD', 'NZDCHF', 'AUDCHF', 'NZDUSD', 'EURAUD']",80.0,0.6303524531024531,B
AUDNZD,10,['NZDCAD'],80.0,-0.4152460317460319,S
