date,GBPUSD,AUDUSD,NZDJPY,empty,sum
2018.12.10,-89.00000000000574,-95.00000000000064,67.99999999999784,,-116.00000000000853
2018.12.10,-90.00000000001229,-34.99999999999615,158.00000000000125,,32.99999999999281
2018.12.10,-186.0000000000195,-65.99999999999939,287.9999999999967,,35.99999999997783
2018.12.10,-152.0000000000188,31.999999999998696,362.000000000009,,241.9999999999889
2018.12.10,-177.00000000000495,-37.99999999999359,323.0000000000075,,108.00000000000898
2018.12.10,-245.0000000000063,-165.9999999999995,179.00000000000205,,-232.00000000000375
2018.12.10,-364.00000000000875,-326.9999999999995,6.000000000000227,,-685.000000000008
2018.12.10,-449.0000000000105,-356.9999999999962,11.00000000000989,,-794.9999999999968
2018.12.10,-466.00000000001086,-304.9999999999997,2.0000000000095497,,-769.000000000001
2018.12.10,-469.0000000000083,-346.0000000000019,11.00000000000989,,-804.0000000000003
2018.12.10,-467.0000000000174,-347.9999999999928,-33.999999999991815,,-849.000000000002
2018.12.10,-455.0000000000054,-363.0000000000022,-100.99999999999909,,-919.0000000000067
2018.12.10,-396.00000000001853,-298.9999999999937,-43.99999999999693,,-739.0000000000092
2018.12.10,-408.00000000000836,-359.99999999999363,-109.99999999999943,,-878.0000000000015
2018.12.10,-450.00000000001705,-339.0000000000004,-150.99999999999625,,-940.0000000000138
2018.12.10,-482.00000000000466,-353.99999999999875,-176.9999999999925,,-1012.9999999999959
2018.12.10,-442.00000000000904,-387.99999999999943,-204.9999999999983,,-1035.0000000000068
2018.12.10,-275.000000000003,-283.99999999999534,-167.99999999999216,,-726.9999999999906
2018.12.10,-280.0000000000136,-291.99999999999227,-173.99999999999238,,-745.9999999999983
2018.12.10,-196.0000000000184,-339.99999999999585,-201.99999999999818,,-738.0000000000124
2018.12.10,-206.00000000001728,-322.00000000000006,-173.00000000000182,,-701.0000000000191
2018.12.10,-137.00000000000932,-297.9999999999983,-224.99999999999432,,-660.0000000000019
2018.12.10,-180.0000000000024,-337.99999999999386,-256.9999999999908,,-774.999999999987
2018.12.10,-216.00000000001617,-357.99999999999164,-280.9999999999917,,-854.9999999999995
2018.12.10,-128.000000000017,-370.9999999999991,-295.0000000000017,,-794.0000000000177
2018.12.10,-87.00000000001484,-324.9999999999975,-280.9999999999917,,-693.0000000000041
2018.12.10,-8.000000000008,-387.99999999999943,-322.00000000000273,,-718.0000000000102
2018.12.10,470.9999999999992,-376.99999999999403,-348.99999999998954,,-254.99999999998437
2018.12.10,431.99999999998795,-319.99999999999807,-281.9999999999965,,-170.0000000000066
