date,GBPUSD,AUDUSD,NZDJPY,empty,sum
2018.12.10,-129.00000000000134,-117.99999999999588,-43.99999999999693,,-290.99999999999415
2018.12.10,-131.00000000001444,-96.99999999999153,-1.9999999999953388,,-230.0000000000013
2018.12.10,-195.00000000001182,-85.99999999999719,142.00000000001012,,-138.99999999999886
2018.12.10,-223.00000000001762,-95.00000000000064,216.00000000000819,,-102.00000000001006
2018.12.10,-202.00000000001327,-63.99999999999739,225.00000000000853,,-41.00000000000216
2018.12.10,-246.00000000001288,-204.99999999999963,93.00000000000352,,-358.000000000009
2018.12.10,-393.0000000000211,-330.9999999999924,-45.000000000001705,,-769.0000000000151
2018.12.10,-471.0000000000214,-361.0000000000002,-21.99999999999136,,-854.000000000013
2018.12.10,-521.0000000000159,-393.9999999999944,-60.99999999999284,,-976.0000000000031
2018.12.10,-485.0000000000021,-349.99999999999477,-21.99999999999136,,-856.9999999999882
2018.12.10,-483.0000000000112,-349.99999999999477,-37.9999999999967,,-871.0000000000026
2018.12.10,-485.0000000000021,-368.00000000000165,-100.99999999999909,,-954.0000000000028
2018.12.10,-474.0000000000189,-366.9999999999951,-105.99999999999454,,-947.0000000000085
2018.12.10,-423.0000000000178,-363.0000000000022,-111.99999999999477,,-898.0000000000148
2018.12.10,-455.0000000000054,-371.99999999999454,-152.00000000000102,,-979.000000000001
2018.12.10,-508.00000000001955,-393.9999999999944,-206.99999999999363,,-1109.0000000000075
2018.12.10,-497.0000000000141,-430.9999999999925,-292.99999999999216,,-1220.9999999999986
2018.12.10,-451.0000000000014,-402.00000000000233,-225.9999999999991,,-1079.0000000000027
2018.12.10,-327.00000000001063,-326.9999999999995,-212.99999999999386,,-867.000000000004
2018.12.10,-329.00000000000153,-371.99999999999454,-268.99999999999125,,-969.9999999999874
2018.12.10,-561.0000000000115,-409.99999999999926,-265.99999999999113,,-1237.0000000000018
2018.12.10,-206.00000000001728,-383.0,-250.0,,-839.0000000000173
2018.12.10,-259.0000000000092,-395.0000000000009,-299.99999999999716,,-954.0000000000073
2018.12.10,-307.00000000001285,-385.000000000002,-284.9999999999966,,-977.0000000000114
2018.12.10,-222.00000000001108,-385.000000000002,-307.00000000000216,,-914.0000000000152
2018.12.10,-146.00000000000168,-371.99999999999454,-317.99999999999784,,-835.9999999999941
2018.12.10,-114.0000000000141,-396.9999999999918,-332.9999999999984,,-844.0000000000043
2018.12.10,-154.0000000000097,-422.9999999999956,-378.0000000000001,,-955.0000000000055
2018.12.10,254.999999999983,-412.9999999999967,-375.0,,-533.0000000000136
2018.12.10,303.9999999999932,-364.9999999999931,-339.9999999999892,,-400.99999999998914
2018.12.10,371.99999999999454,-343.9999999999999,-351.99999999998965,,-323.999999999995
2018.12.10,677.9999999999786,-291.99999999999227,-354.99999999998977,,30.99999999999659
2018.12.10,753.9999999999881,-302.9999999999977,-385.9999999999957,,64.99999999999466
2018.12.10,648.9999999999885,-287.9999999999994,-444.9999999999932,,-84.00000000000404
2018.12.10,524.9999999999977,-317.9999999999961,-486.99999999999477,,-279.9999999999931
2018.12.10,572.9999999999791,-285.9999999999974,-489.9999999999949,,-203.0000000000132
2018.12.10,1556.9999999999861,-44.99999999999504,-435.99999999999284,,1075.9999999999982
2018.12.10,1399.999999999979,-87.99999999999919,-369.99999999999034,,941.9999999999897
2018.12.10,1293.9999999999952,-54.999999999993946,-359.99999999999943,,879.0000000000019
2018.12.10,1239.9999999999966,-91.99999999999208,-472.999999999999,,675.0000000000056
2018.12.10,1361.9999999999966,-56.0000000000005,-436.9999999999976,,868.9999999999985
2018.12.10,1421.99999999999,-63.00000000000195,-475.9999999999991,,882.9999999999889
2018.12.10,1438.9999999999902,-56.99999999999594,-478.9999999999992,,902.9999999999951
2018.12.10,1429.999999999998,-68.99999999999685,-500.99999999999056,,860.0000000000106
2018.12.10,1404.9999999999895,-39.00000000000014,-459.99999999999375,,905.9999999999956
2018.12.10,1403.999999999983,-61.999999999995396,-509.00000000000034,,832.9999999999872
2018.12.10,1394.9999999999907,-51.99999999999649,-548.0000000000018,,794.9999999999923
2018.12.10,1399.999999999979,-70.99999999999883,-551.0000000000019,,777.9999999999783
2018.12.11,1379.9999999999814,-95.00000000000064,-495.9999999999951,,788.9999999999856
2018.12.11,1392.9999999999998,-113.99999999999189,-473.99999999998954,,805.0000000000184
2018.12.11,1386.9999999999827,-107.00000000000153,-516.9999999999959,,762.9999999999852
2018.12.11,1387.9999999999893,-100.99999999999554,-506.9999999999908,,780.0000000000031
2018.12.11,1435.9999999999927,-73.00000000000084,-457.9999999999984,,904.9999999999934
2018.12.11,1401.999999999992,-52.99999999999194,-423.0000000000018,,925.9999999999982
2018.12.11,1309.9999999999889,-143.9999999999997,-471.9999999999942,,693.9999999999949
2018.12.11,1298.9999999999834,-241.99999999999778,-600.9999999999991,,455.9999999999866
2018.12.11,1271.9999999999843,-225.99999999999287,-515.0000000000006,,530.9999999999908
2018.12.11,1263.9999999999984,-175.99999999999838,-436.9999999999976,,651.0000000000024
2018.12.11,1282.9999999999898,-237.99999999999378,-475.9999999999991,,568.9999999999968
2018.12.11,1251.9999999999864,-314.99999999999864,-493.9999999999998,,442.99999999998795
2018.12.11,1215.9999999999948,-242.99999999999324,-491.9999999999902,,481.00000000001137
2018.12.11,1204.9999999999893,-215.99999999999397,-465.999999999994,,523.0000000000014
2018.12.11,1227.9999999999848,-246.99999999999721,-491.9999999999902,,488.99999999999727
2018.12.11,1210.9999999999843,-234.00000000000088,-473.99999999998954,,502.99999999999386
2018.12.11,1277.999999999979,-224.000000000002,-438.0000000000024,,615.9999999999746
2018.12.11,1290.9999999999977,-186.99999999999272,-464.9999999999892,,639.0000000000158
2018.12.11,1268.9999999999868,-239.0000000000003,-414.99999999999204,,614.9999999999945
2018.12.11,1218.9999999999923,-231.99999999999886,-405.00000000000114,,581.9999999999923
2018.12.11,968.9999999999976,-186.99999999999272,-390.99999999999113,,391.00000000001376
2018.12.11,829.9999999999974,-186.99999999999272,-373.9999999999952,,269.00000000000944
2018.12.11,685.9999999999866,-176.99999999999383,-328.9999999999935,,179.9999999999992
2018.12.11,652.9999999999925,-215.99999999999397,-337.0000000000033,,99.99999999999523
2018.12.11,690.9999999999972,-288.9999999999948,-369.99999999999034,,32.000000000011994
2018.12.11,805.9999999999956,-256.99999999999613,-360.99999999999,,188.00000000000944
2018.12.11,801.9999999999916,-287.9999999999994,-421.99999999999704,,91.99999999999523
2018.12.11,780.9999999999873,-400.00000000000034,-546.999999999997,,-166.00000000001012
2018.12.11,824.9999999999868,-398.9999999999938,-572.0000000000027,,-146.00000000000972
2018.12.11,823.9999999999803,-351.99999999999676,-560.9999999999928,,-89.00000000000927
2018.12.11,855.9999999999901,-371.99999999999454,-685.9999999999928,,-201.99999999999727
2018.12.11,845.9999999999912,-412.9999999999967,-873.9999999999952,,-441.0000000000007
2018.12.11,905.9999999999845,-412.9999999999967,-854.9999999999898,,-362.00000000000193
2018.12.11,1125.9999999999825,-334.00000000000097,-792.9999999999922,,-1.0000000000105729
2018.12.11,1230.999999999982,-339.0000000000004,-750.9999999999906,,140.99999999999102
2018.12.11,1405.9999999999961,-278.00000000000045,-722.999999999999,,404.9999999999967
2018.12.11,1577.9999999999905,-241.00000000000233,-744.9999999999903,,591.9999999999978
2018.12.11,1732.0000000000002,-220.99999999999343,-691.9999999999931,,819.0000000000138
2018.12.11,1728.9999999999804,-212.99999999999653,-679.9999999999926,,835.9999999999912
2018.12.11,1650.9999999999802,-185.99999999999727,-595.9999999999894,,868.9999999999935
