date,USDJPY,EURCHF,GBPCAD,EURJPY,AUDJPY,NZDJPY,empty,sum
2016.05.02,42.00000000000159,-25.999999999992696,114.0000000000141,81.00000000000307,73.0000000000075,48.00000000000182,,332.00000000003536
2016.05.02,102.00000000000387,-96.99999999999153,119.00000000000244,138.9999999999958,218.00000000000352,143.99999999999125,,625.0000000000053
2016.05.02,420.0000000000017,-156.99999999998494,-58.000000000002494,477.00000000000387,468.0000000000035,432.9999999999927,,1583.0000000000146
2016.05.02,460.00000000000796,-170.00000000000347,-24.000000000001798,489.9999999999949,484.00000000000887,429.9999999999926,,1669.999999999999
2016.05.02,120.00000000000455,-151.9999999999966,-83.9999999999952,171.00000000000648,310.0000000000023,233.0000000000041,,598.0000000000256
2016.05.02,207.9999999999984,-156.00000000000057,-35.999999999991594,272.00000000000557,365.99999999999966,424.99999999999716,,1079.0000000000086
2016.05.02,182.00000000000216,-194.0000000000053,-78.00000000000028,320.99999999999795,373.00000000000466,382.99999999999557,,986.9999999999948
2016.05.02,209.00000000000318,-228.99999999999034,-63.99999999999739,415.9999999999968,325.00000000000284,590.999999999994,,1248.000000000009
2016.05.02,331.00000000000307,-209.9999999999991,-104.99999999999955,504.99999999999545,418.99999999999693,548.9999999999924,,1488.999999999989
2016.05.02,195.99999999999795,-228.00000000000597,-73.99999999999629,396.0000000000008,308.00000000000693,472.999999999999,,1071.0000000000023
2016.05.02,236.0000000000042,-222.99999999999542,-72.0000000000054,403.0000000000058,326.0000000000076,459.0000000000032,,1129.00000000002
2016.05.02,313.0000000000024,-222.99999999999542,-32.999999999994145,462.99999999999386,405.00000000000114,474.9999999999943,,1400.0000000000023
2016.05.02,408.00000000000125,-224.99999999998633,9.999999999998899,543.9999999999969,386.0000000000099,463.99999999999864,,1587.000000000019
2016.05.02,311.00000000000705,-231.0000000000034,-72.0000000000054,451.0000000000076,332.00000000000784,408.00000000000125,,1199.000000000015
2016.05.02,334.0000000000032,-234.99999999998522,-141.99999999999767,475.9999999999991,311.00000000000705,394.999999999996,,1139.0000000000223
2016.05.02,376.0000000000048,-228.99999999999034,-66.99999999999484,516.9999999999959,314.9999999999977,454.9999999999983,,1367.0000000000114
2016.05.02,293.00000000000637,-239.99999999999577,-166.99999999998383,427.99999999999727,258.0000000000098,394.999999999996,,967.0000000000299
2016.05.02,322.00000000000273,-256.99999999999613,-134.99999999999625,472.999999999999,325.00000000000284,393.0000000000007,,1121.0000000000127
2016.05.02,311.9999999999976,-234.99999999998522,-248.00000000000378,400.0000000000057,350.9999999999991,391.9999999999959,,972.0000000000093
2016.05.02,251.99999999999534,-269.9999999999925,-336.00000000000296,317.0000000000073,377.00000000000955,355.99999999999454,,696.0000000000113
2016.05.02,170.0000000000017,-282.9999999999888,-245.99999999999068,210.00000000000796,350.9999999999991,335.9999999999985,,538.0000000000277
2016.05.02,174.0000000000066,-273.9999999999965,-374.999999999992,302.99999999999727,299.0000000000066,405.00000000000114,,532.0000000000232
2016.05.02,215.0000000000034,-296.9999999999917,-312.9999999999855,456.00000000000307,361.0000000000042,478.9999999999992,,901.0000000000327
2016.05.02,195.0000000000074,-306.00000000000625,-391.9999999999924,447.00000000000273,320.99999999999795,400.99999999999625,,666.0000000000057
2016.05.02,137.00000000000045,-278.00000000000045,-312.9999999999855,430.9999999999974,394.00000000000546,426.00000000000193,,797.0000000000193
2016.05.02,168.00000000000637,-273.9999999999965,-219.99999999999798,487.99999999999955,421.0000000000065,468.9999999999941,,1052.000000000012
2016.05.02,275.0000000000057,-302.0000000000023,-146.99999999998602,662.9999999999967,572.0000000000027,543.9999999999969,,1605.0000000000136
2016.05.02,394.00000000000546,-317.9999999999961,-351.99999999999676,673.0000000000018,671.999999999997,597.999999999999,,1667.0000000000105
