date,USDCHF,EURUSD,USDJPY,AUDUSD,EURCHF,CHFJPY,CADCHF,GBPAUD,EURJPY,EURAUD,AUDJPY,NZDCAD,AUDNZD,empty,sum
2016.06.27,-204.99999999999963,-442.9999999999934,0.0,-107.99999999999699,-12.999999999996348,-560.0000000000023,-167.00000000000603,-417.0000000000007,-599.0000000000038,-245.99999999999068,-418.00000000000637,-45.000000000006146,-131.00000000001444,,-3352.0000000000173
2016.06.27,-197.99999999999818,-499.9999999999893,197.9999999999933,-102.99999999999754,778.9999999999964,-599.0000000000038,-137.00000000000932,-426.9999999999996,-751.0000000000048,-365.99999999999966,-436.00000000000705,2.999999999997449,-113.00000000000753,,-2650.0000000000296
2016.06.27,-314.0000000000032,-660.9999999999783,347.999999999999,-277.000000000005,812.0000000000127,-1144.0000000000055,-170.99999999999892,-468.9999999999861,-1426.0000000000018,-487.99999999999955,-927.9999999999973,20.999999999993246,-101.00000000001774,,-4797.999999999987
2016.06.27,-292.9999999999988,-713.9999999999924,414.0000000000015,-251.00000000000122,887.9999999999999,-1242.0000000000045,-143.00000000000423,-360.0000000000048,-1486.000000000004,-597.0000000000031,-882.000000000005,298.9999999999937,9.999999999998899,,-4357.000000000024
2016.06.27,-353.0000000000033,-718.9999999999808,426.9999999999925,-234.99999999999633,839.0000000000119,-1234.0000000000089,-131.00000000000333,-533.0000000000057,-1477.0000000000039,-534.9999999999966,-802.9999999999973,305.99999999999517,140.99999999999113,,-4307.0000000000055
2016.06.27,-170.00000000000347,-431.99999999998795,405.9999999999917,-182.99999999999983,809.0000000000152,-992.0000000000044,19.999999999997797,-811.9999999999905,-1079.0000000000077,-231.99999999998778,-712.0000000000033,75.9999999999983,-6.000000000017103,,-3306.999999999999
2016.06.27,-192.00000000000327,-466.9999999999952,655.0000000000011,-177.00000000000495,853.9999999999992,-1200.0000000000027,15.999999999993797,-323.99999999999096,-1353.999999999999,-368.9999999999971,-908.0000000000013,156.00000000000057,39.999999999995595,,-3270.000000000005
2016.06.27,38.0000000000047,-279.99999999999136,679.9999999999926,-70.99999999999883,814.0000000000036,-1070.999999999998,-42.0000000000087,-644.0000000000001,-1234.9999999999995,-293.0000000000099,-826.0000000000076,178.99999999999582,-26.0000000000149,,-2777.0000000000323
2016.06.27,-14.999999999998348,-124.99999999999733,487.99999999999955,9.00000000000345,690.9999999999972,-998.0000000000047,-115.00000000000954,-644.0000000000001,-990.9999999999997,-438.00000000000506,-683.0000000000069,178.00000000000037,75.99999999998718,,-2567.0000000000337
2016.06.27,-7.0000000000014495,-91.99999999998099,83.99999999998897,71.99999999999429,641.0000000000027,-746.0000000000093,-192.00000000000327,-425.99999999999307,-641.0000000000053,-506.9999999999908,-350.9999999999991,80.99999999999774,-147.00000000000824,,-2231.0000000000077
