date,EURCHF,AUDCAD,NZDCAD,empty,sum
2020.03.16,-226.99999999999943,-1280.9999999999989,-1353.9999999999995,,-2861.9999999999977
2020.03.16,-180.0000000000024,-623.0000000000069,-712.0000000000015,,-1515.000000000011
2020.03.16,-248.00000000000378,-485.0000000000021,-558.9999999999984,,-1292.0000000000043
2020.03.16,-341.00000000001353,-687.9999999999998,-557.0000000000075,,-1586.0000000000207
2020.03.16,-268.0000000000016,-661.0000000000005,-570.0000000000039,,-1499.000000000006
2020.03.16,-197.00000000000273,-823.000000000007,-600.0000000000006,,-1620.0000000000105
2020.03.16,-188.00000000001037,-1522.0000000000011,-768.9999999999975,,-2479.000000000009
2020.03.16,-182.99999999999983,-1400.0000000000011,-722.0000000000005,,-2305.0000000000014
2020.03.16,-185.00000000001293,-1163.000000000003,-563.0000000000024,,-1911.0000000000182
2020.03.16,-229.00000000001253,-851.0000000000017,-346.0000000000019,,-1426.0000000000161
2020.03.16,-243.00000000001543,-716.0000000000056,-397.0000000000029,,-1356.0000000000239
2020.03.16,-153.00000000000313,-585.0000000000022,-252.0000000000078,,-990.000000000013
2020.03.16,-194.0000000000053,-395.0000000000009,-165.9999999999995,,-755.0000000000057
2020.03.16,-192.00000000001438,-380.00000000000256,-182.99999999999983,,-755.0000000000168
2020.03.16,-215.99999999999397,-453.99999999999886,-236.00000000000287,,-905.9999999999957
2020.03.16,-195.9999999999962,-385.000000000002,-197.99999999999818,,-778.9999999999964
2020.03.16,-228.00000000000597,-368.00000000000165,-180.0000000000024,,-776.00000000001
2020.03.16,-229.99999999999687,-678.0000000000008,-308.00000000000824,,-1216.000000000006
2020.03.16,-246.99999999999721,-672.0000000000059,-353.99999999999875,,-1273.0000000000018
2020.03.16,-243.99999999999977,-551.0000000000015,-492.0000000000035,,-1287.0000000000048
2020.03.16,-226.00000000001506,-534.0000000000011,-548.9999999999995,,-1309.0000000000157
2020.03.16,-256.99999999999613,-123.00000000000644,-57.00000000000705,,-437.0000000000096
2020.03.16,-239.99999999999577,-216.0000000000051,-51.000000000001044,,-507.0000000000019
2020.03.16,-259.0000000000092,-214.99999999999852,-101.00000000000664,,-575.0000000000143
2020.03.16,-279.00000000000705,-104.00000000000409,-43.999999999999595,,-427.00000000001074
2020.03.16,-261.0000000000001,26.999999999999247,47.9999999999925,,-186.00000000000836
2020.03.16,-259.9999999999936,-73.00000000000084,48.99999999999905,,-283.9999999999954
2020.03.16,-290.9999999999968,-31.000000000003247,171.99999999999437,,-150.00000000000568
2020.03.16,-266.0000000000107,-270.99999999999903,112.99999999999643,,-424.00000000001336
2020.03.16,-283.99999999999534,-736.9999999999987,-126.0000000000039,,-1146.999999999998
2020.03.16,-303.0000000000088,-748.9999999999997,-92.00000000000318,,-1144.0000000000116
2020.03.16,-306.00000000000625,-853.0000000000038,-304.9999999999997,,-1464.0000000000098
2020.03.16,-293.0000000000099,-541.9999999999981,235.99999999999176,,-599.0000000000161
2020.03.16,-341.99999999999784,-526.0000000000042,391.9999999999924,,-476.00000000000966
2020.03.16,-336.00000000000296,-468.00000000000176,436.9999999999985,,-367.00000000000625
2020.03.16,-324.9999999999975,-226.99999999999943,1007.9999999999978,,456.0000000000009
2020.03.16,-322.00000000000006,-156.00000000000057,1344.0000000000007,,866.0
2020.03.16,-204.00000000000418,-57.00000000000705,1303.999999999994,,1042.9999999999827
2020.03.16,-202.9999999999976,-56.0000000000005,1044.999999999996,,785.9999999999977
2020.03.16,-180.0000000000024,-174.00000000000747,930.999999999993,,576.9999999999831
2020.03.16,-65.00000000000395,-161.00000000000003,776.9999999999943,,550.9999999999903
2020.03.16,76.99999999999375,-174.00000000000747,679.9999999999917,,582.999999999978
2020.03.16,45.99999999999049,-195.00000000000074,705.9999999999956,,556.9999999999853
2020.03.16,-26.0000000000149,-279.00000000000705,573.9999999999967,,268.99999999997476
