date,GBPUSD,EURCHF,EURCAD,EURAUD,empty,sum
2020.06.22,103.00000000000864,94.00000000001629,-11.999999999989797,-232.99999999999432,,-47.999999999959186
2020.06.22,147.99999999999258,55.000000000005045,-8.999999999992347,-228.99999999999034,,-34.99999999998508
2020.06.22,63.99999999999739,107.00000000001265,9.999999999998899,-287.9999999999994,,-106.99999999999045
2020.06.22,55.000000000005045,86.0000000000083,-4.999999999988347,-332.9999999999833,,-196.99999999995828
2020.06.22,-25.999999999992696,43.00000000001525,-17.000000000000348,-224.000000000002,,-223.9999999999798
2020.06.22,42.999999999993044,83.9999999999952,-7.0000000000014495,-261.9999999999845,,-141.9999999999977
2020.06.22,35.999999999991594,69.00000000000794,11.00000000000545,-385.99999999999744,,-269.99999999999244
2020.06.22,59.99999999999339,103.00000000000864,40.0000000000178,-418.9999999999916,,-215.99999999997175
2020.06.22,209.9999999999991,120.00000000000898,-68.00000000000139,-648.9999999999885,,-386.9999999999818
2020.06.22,205.00000000001074,126.0000000000039,-45.99999999999049,-652.9999999999925,,-367.99999999996834
2020.06.22,285.00000000000193,182.99999999999983,-61.99999999998429,-690.9999999999972,,-284.9999999999797
2020.06.22,259.9999999999936,182.99999999999983,-95.00000000000064,-828.9999999999909,,-480.9999999999981
2020.06.22,343.00000000000443,154.0000000000097,-78.00000000000028,-953.9999999999882,,-534.9999999999743
2020.06.22,300.00000000001137,131.99999999999878,-133.99999999998968,-923.9999999999915,,-625.999999999971
2020.06.22,452.99999999999227,140.0000000000068,-119.99999999998678,-1147.9999999999934,,-674.9999999999811
2020.06.22,480.99999999999807,151.9999999999966,-5.999999999994898,-1059.9999999999943,,-432.99999999999454
2020.06.22,563.0000000000024,131.00000000001444,-58.000000000002494,-1180.0000000000032,,-543.9999999999889
2020.06.22,364.00000000000875,100.99999999999554,-4.999999999988347,-966.0000000000002,,-505.99999999998425
2020.06.22,344.00000000001097,124.99999999999733,-34.99999999998504,-958.9999999999987,,-524.9999999999754
2020.06.22,435.0000000000076,116.00000000000499,-200.99999999998454,-1075.9999999999882,,-725.9999999999601
2020.06.22,644.0000000000001,165.9999999999995,-207.99999999998596,-1264.9999999999827,,-662.9999999999691
2020.06.22,801.0000000000073,144.99999999999514,-123.99999999999079,-1263.9999999999984,,-441.9999999999868
2020.06.22,757.999999999992,170.00000000000347,-49.99999999999449,-1131.9999999999998,,-253.99999999999886
2020.06.22,856.9999999999967,229.99999999999687,43.00000000001525,-1140.999999999992,,-10.999999999983174
2020.06.22,802.9999999999982,226.00000000001506,-2.999999999997449,-1153.000000000004,,-126.9999999999884
2020.06.22,601.9999999999915,219.00000000001364,-25.999999999992696,-1114.9999999999993,,-319.9999999999869
2020.06.22,456.00000000001194,161.00000000001114,80.00000000001339,-946.9999999999867,,-249.9999999999502
2020.06.22,395.99999999999636,185.99999999999727,103.00000000000864,-929.000000000002,,-243.99999999999977
2020.06.22,408.00000000000836,164.00000000000858,72.0000000000054,-916.99999999999,,-272.9999999999677
2020.06.22,626.9999999999998,190.00000000000128,-75.99999999998718,-1149.0,,-407.99999999998613
2020.06.22,639.9999999999961,168.99999999999693,-10.999999999983245,-1202.9999999999984,,-404.99999999998863
2020.06.22,639.9999999999961,266.0000000000107,42.0000000000087,-1103.9999999999939,,-155.9999999999784
2020.06.22,635.0000000000077,246.99999999999721,76.0000000000094,-1083.9999999999961,,-125.9999999999817
2020.06.22,896.000000000008,295.0000000000008,123.00000000000644,-1061.9999999999852,,252.0000000000298
2020.06.22,1004.0000000000049,191.00000000000784,189.00000000001694,-1253.9999999999995,,130.00000000003
2020.06.22,1052.0000000000084,304.9999999999997,243.99999999999977,-990.000000000002,,611.0000000000059
2020.06.22,1008.0000000000089,334.00000000001205,253.99999999999866,-1041.9999999999873,,554.0000000000323
2020.06.22,1046.999999999998,327.99999999999494,304.00000000001535,-1008.9999999999932,,670.000000000015
2020.06.22,1181.0000000000098,344.99999999999534,249.00000000001032,-1286.9999999999936,,488.0000000000216
2020.06.22,1229.0000000000134,348.9999999999993,180.0000000000024,-1380.9999999999877,,377.0000000000273
2020.06.22,1190.0000000000023,309.0000000000037,124.99999999999733,-1397.0000000000039,,226.99999999999932
2020.06.22,1276.0000000000105,310.0000000000103,121.00000000001555,-1390.0000000000023,,317.0000000000339
2020.06.22,1258.0000000000036,319.0000000000026,113.00000000000753,-1312.9999999999864,,377.0000000000275
2020.06.22,1310.0000000000111,324.9999999999975,75.00000000000284,-1357.9999999999925,,352.0000000000189
2020.06.22,1210.0,327.00000000001063,123.00000000000644,-1163.9999999999873,,496.0000000000298
2020.06.22,1211.0000000000066,330.0000000000081,94.00000000001629,-1149.9999999999843,,485.0000000000466
2020.06.22,1245.9999999999916,324.9999999999975,36.999999999998145,-1168.9999999999977,,438.99999999998954
2020.06.22,1262.0000000000075,331.999999999999,30.0000000000189,-1170.9999999999886,,453.0000000000366
2020.06.23,1225.0000000000093,290.00000000001245,30.0000000000189,-1107.999999999998,,437.00000000004275
2020.06.23,1273.9999999999973,327.99999999999494,78.00000000000028,-1204.9999999999893,,475.0000000000032
2020.06.23,1327.999999999996,348.9999999999993,95.00000000000064,-1275.0000000000039,,496.99999999999204
2020.06.23,1475.000000000004,371.99999999999454,111.00000000001664,-1331.9999999999998,,626.0000000000155
2020.06.23,1478.0000000000016,398.00000000000944,21.00000000000435,-1336.9999999999882,,560.0000000000271
2020.06.23,1591.000000000009,422.00000000001125,69.00000000000794,-1388.999999999996,,693.0000000000323
