date,USDCHF,EURUSD,USDJPY,USDCAD,EURCHF,EURJPY,EURCAD,empty,sum
2015.05.25,-66.99999999999484,-70.99999999999883,-46.00000000000648,-55.000000000005045,-12.999999999996348,-40.99999999999682,-90.99999999999665,,-383.99999999999505
2015.05.25,-204.99999999999963,-409.99999999999926,-75.00000000000284,-191.00000000000784,-263.99999999999756,-407.99999999998704,-383.99999999998437,,-1936.9999999999784
2015.05.25,-173.9999999999964,-289.9999999999903,-105.99999999999454,-196.0000000000184,-235.00000000000742,-281.99999999998226,-164.99999999999292,,-1447.9999999999823
2015.05.25,-59.99999999999339,-68.00000000000139,-67.00000000000728,-14.000000000002899,-90.99999999999665,-51.9999999999925,-93.99999999999409,,-445.9999999999882
2015.05.25,-37.99999999999359,-46.999999999997044,-34.99999999999659,-40.0000000000178,-86.0000000000083,-33.999999999991815,-69.9999999999923,,-349.9999999999974
2015.05.25,-73.00000000000084,-197.00000000000273,-85.99999999999852,-131.99999999999878,-160.00000000000458,-147.99999999999613,-134.99999999999625,,-930.9999999999978
2015.05.25,-124.00000000000189,-259.9999999999936,-248.99999999999523,-128.000000000017,-143.00000000000423,-108.99999999998045,-210.99999999998343,,-1223.999999999976
2015.05.25,-212.00000000000108,-346.9999999999862,-284.000000000006,-192.99999999999872,-185.99999999999727,-138.99999999998158,-234.99999999998522,,-1595.9999999999561
2015.05.25,-147.99999999999258,-329.99999999998585,-245.00000000000455,-147.00000000000824,-178.99999999999582,-152.9999999999916,-246.99999999999721,,-1448.999999999976
2015.05.25,-124.99999999999733,-295.99999999998516,-227.00000000000387,-107.00000000001265,-171.99999999999437,-114.00000000000432,-266.999999999995,,-1307.9999999999927
2015.05.25,-105.99999999999498,-268.9999999999859,-225.9999999999991,-117.00000000001154,-187.99999999998818,-94.99999999999886,-226.99999999999943,,-1227.9999999999782
2015.05.25,-58.000000000002494,-248.00000000000378,-191.0000000000025,-103.00000000000864,-228.00000000000597,-96.00000000000364,-211.99999999998997,,-1136.000000000017
2015.05.25,-9.999999999998899,-219.99999999999798,-195.0000000000074,-99.00000000000463,-225.00000000000853,-67.99999999998363,-207.00000000000162,,-1024.0000000000027
