date,USDCHF,EURUSD,USDJPY,USDCAD,EURCHF,EURJPY,EURCAD,empty,sum
2015.05.25,-48.99999999999905,-38.99999999998904,-34.99999999999659,-23.00000000001745,-9.999999999998899,-9.999999999990905,-45.99999999999049,,-211.99999999998244
2015.05.25,-58.99999999999794,-297.9999999999983,-73.0000000000075,-168.0000000000126,-243.99999999999977,-280.00000000000114,-182.99999999999983,,-1305.000000000017
2015.05.25,-46.999999999997044,-58.000000000002494,-66.0000000000025,-12.000000000012001,-17.000000000000348,3.0000000000143245,-58.000000000002494,,-255.00000000000256
2015.05.25,16.0000000000049,-42.999999999993044,-18.000000000000682,-5.000000000010552,-86.99999999999264,-31.00000000000591,-44.99999999998394,,-212.99999999998187
2015.05.25,13.00000000000745,-34.000000000000696,-31.00000000000591,-22.0000000000109,-82.00000000000429,-2.999999999985903,-17.000000000000348,,-176.0000000000006
2015.05.25,-32.999999999994145,-146.99999999998602,-69.00000000000261,-96.00000000000719,-134.99999999999625,-97.99999999998477,-72.99999999998974,,-650.9999999999608
2015.05.25,-119.00000000000244,-255.00000000000523,-242.00000000000443,-103.00000000000864,-140.0000000000068,-39.99999999999204,-205.99999999999508,,-1105.0000000000146
2015.05.25,-109.99999999999899,-273.9999999999965,-201.99999999999818,-135.00000000001845,-157.00000000000713,-111.99999999999477,-191.99999999999218,,-1182.0000000000061
2015.05.25,-80.99999999999774,-226.99999999999943,-180.00000000000682,-80.00000000001339,-157.00000000000713,-74.99999999998863,-192.99999999999872,,-993.0000000000119
2015.05.25,-97.00000000000264,-265.0000000000041,-224.00000000000375,-100.0000000000112,-164.99999999999292,-73.0000000000075,-215.99999999999397,,-1140.000000000016
2015.05.25,-41.000000000002146,-212.99999999999653,-168.99999999999693,-73.00000000001194,-181.9999999999933,-70.99999999999795,-185.99999999999727,,-934.9999999999961
2015.05.25,14.000000000002899,-184.99999999999073,-162.00000000000614,-34.000000000000696,-214.99999999998744,-43.99999999998272,-194.0000000000053,,-819.99999999997
2015.05.25,17.000000000000348,-178.99999999999582,-192.00000000000728,-84.0000000000174,-221.00000000000452,-4.9999999999954525,-129.99999999998568,,-794.0000000000058
