date,GBPUSD,USDJPY,USDCAD,GBPCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,EURJPY,EURCAD,EURAUD,NZDCAD,AUDNZD,empty,sum
2020.09.07,-48.000000000003595,-12.000000000000455,-9.999999999998899,-125.00000000001954,-17.000000000010118,-17.000000000000348,-19.00000000000235,-107.99999999997567,-60.99999999999284,0.0,-134.00000000001188,-190.00000000000128,-43.999999999999595,,-785.0000000000165
2020.09.07,-74.0000000000185,-18.999999999991246,31.999999999987594,-109.00000000000354,-2.0000000000095497,-56.0000000000005,-4.000000000004,-73.99999999998386,-94.99999999999886,25.999999999992696,-83.00000000001084,-186.99999999999272,-38.0000000000047,,-683.0000000000381
2020.09.07,-180.0000000000024,-6.000000000000227,92.99999999998754,-87.00000000001484,-5.000000000009663,1.0000000000065512,-92.00000000000318,-34.99999999999659,-125.0,43.999999999999595,-242.00000000000887,-221.99999999999997,-24.999999999986144,,-881.0000000000282
2020.09.07,-128.000000000017,-24.999999999991473,185.99999999999727,-19.00000000001345,43.99999999999693,12.000000000000899,-72.0000000000054,-39.99999999999204,-81.00000000000307,234.99999999998522,-215.00000000000963,-185.99999999999727,-31.999999999987594,,-321.0000000000366
2020.09.07,-123.00000000000644,-33.00000000000125,171.99999999999437,-42.0000000000087,72.99999999999329,-17.999999999995797,-55.000000000005045,-53.999999999973625,-54.000000000002046,211.99999999998997,-120.99999999999334,-200.99999999999562,-45.99999999999049,,-289.9999999999947
2020.09.07,-153.00000000000313,-65.99999999998829,183.99999999998417,-8.000000000008,75.9999999999934,-36.0000000000027,-56.0000000000005,-25.999999999982037,-46.999999999997044,197.00000000000273,-90.99999999999665,-201.99999999999108,-45.99999999999049,,-273.9999999999796
2020.09.07,-113.00000000000753,-60.99999999999284,220.99999999998232,-25.00000000000835,75.00000000000284,-41.9999999999976,-22.999999999995246,-7.999999999981355,-90.00000000000341,190.99999999998562,-83.9999999999952,-213.99999999999199,-102.99999999998644,,-275.9999999999892
2020.09.07,-98.0000000000203,-132.99999999999557,165.9999999999995,-60.99999999999994,79.9999999999983,-119.99999999999788,-9.00000000000345,-164.99999999999204,-81.99999999999363,151.9999999999966,-22.999999999995246,-209.9999999999991,-228.99999999999034,,-731.9999999999931
2020.09.07,-92.00000000000318,-111.99999999999477,212.99999999999653,-93.00000000000975,90.99999999999397,-82.99999999999974,-16.0000000000049,-156.99999999998226,-39.99999999999204,181.9999999999933,-34.000000000000696,-178.00000000000037,-163.00000000000205,,-482.0000000000059
2020.09.07,-84.0000000000174,-54.000000000002046,165.9999999999995,-98.0000000000203,40.99999999999682,-114.00000000000298,-31.999999999998696,-55.999999999983174,-64.99999999999773,174.99999999999181,22.999999999995246,-180.99999999999784,-187.00000000000384,,-466.0000000000407
2020.09.07,-176.00000000002058,-18.000000000000682,219.99999999999798,-82.00000000000429,-46.00000000000648,-83.9999999999952,-43.999999999999595,0.0,-150.00000000000568,187.00000000000384,5.999999999994898,-146.99999999999713,-188.9999999999947,,-523.0000000000277
2020.09.07,-197.00000000000273,-31.999999999996476,266.999999999995,-59.000000000009045,-51.00000000000193,-83.9999999999952,-80.99999999999774,94.00000000002251,-155.00000000000114,200.99999999998454,4.000000000004,-164.99999999999292,-157.00000000000713,,-414.9999999999983
2020.09.07,-192.00000000001438,-45.99999999999227,285.00000000000193,-42.0000000000087,-10.000000000005116,-80.00000000000229,-63.99999999999739,75.00000000001705,-100.99999999999909,229.99999999999687,1.0000000000065512,-183.99999999999528,-131.99999999999878,,-259.9999999999909
2020.09.07,-196.0000000000184,-39.99999999999204,295.0000000000008,-14.000000000002899,12.999999999991019,-78.00000000000028,-61.999999999995396,56.000000000011596,-93.99999999999409,241.99999999998667,8.999999999992347,-179.99999999999127,-177.00000000000495,,-226.00000000001688
2020.09.07,-247.00000000001944,-40.99999999999682,298.9999999999826,-6.000000000017103,24.00000000000091,-83.9999999999952,-100.99999999999554,66.0000000000025,-108.99999999999466,285.00000000000193,-5.000000000010552,-191.99999999999218,-185.99999999999727,,-297.0000000000308
2020.09.07,-281.0000000000201,-24.00000000000091,344.99999999999534,48.99999999998794,-16.000000000005343,-76.99999999999375,-128.00000000000588,154.00000000002478,-129.0000000000049,327.99999999999494,28.000000000005798,-210.99999999999451,-202.9999999999976,,-165.0000000000142
2020.09.07,-342.00000000002007,-18.000000000000682,383.99999999998437,65.99999999998829,-28.000000000005798,-83.9999999999952,-172.00000000000549,222.0000000000084,-120.99999999999511,346.0000000000019,25.00000000000835,-207.99999999999707,-221.99999999998886,,-152.00000000001697
2020.09.07,-513.0000000000078,-63.99999999999295,401.99999999999125,112.99999999998533,-20.000000000010232,-90.0000000000012,-234.00000000000088,280.00000000000114,-128.0000000000001,357.99999999999164,-68.00000000000139,-197.99999999999818,-231.99999999998778,,-394.00000000003115
2020.09.07,-559.0000000000206,-54.99999999999261,431.99999999998795,183.99999999998417,4.9999999999954525,-41.9999999999976,-256.0000000000007,280.00000000000114,-186.9999999999976,383.0,-168.99999999999693,-234.00000000000088,-188.9999999999947,,-407.00000000003286
2020.09.07,-592.0000000000148,-19.99999999999602,492.0000000000035,240.9999999999801,-35.0000000000108,-9.999999999998899,-289.0000000000059,425.00000000001137,-189.99999999999773,426.9999999999996,-161.99999999999548,-207.00000000000162,-200.00000000000017,,-120.0000000000268
