date,USDCHF,USDJPY,NZDUSD,EURCHF,CHFJPY,NZDCHF,GBPAUD,EURCAD,EURNZD,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2017.10.09,-65.00000000000395,-58.000000000006935,-33.9999999999896,-7.999999999985796,-90.00000000000341,-50.0000000000056,-184.00000000000637,-68.00000000000139,-80.99999999999774,-7.000000000005002,-82.99999999999974,0.0,-82.00000000000429,,-810.0000000000099
2017.10.09,-58.000000000002494,-2.0000000000095497,-101.99999999999099,7.0000000000014495,-165.00000000000625,-123.00000000000644,-226.00000000001506,-140.0000000000068,-182.0000000000155,-121.99999999999989,-139.00000000000023,-131.99999999999878,-87.00000000001484,,-1471.0000000000653
2017.10.09,-65.99999999999939,-227.00000000000387,-100.99999999999554,32.0000000000098,-171.99999999999704,-121.99999999999989,-280.0000000000136,-199.00000000001583,-107.00000000001265,-120.99999999999511,-159.9999999999935,-134.99999999999625,-11.00000000000545,,-1669.0000000000182
2017.10.09,-60.00000000000449,-193.00000000001205,-95.99999999999609,52.000000000007596,6.000000000000227,-102.00000000000209,-262.00000000000665,-224.000000000002,-63.99999999999739,25.99999999999625,-176.99999999999383,-153.00000000000313,-5.000000000010552,,-1252.000000000024
2017.10.09,-40.00000000000669,-72.00000000000273,-47.9999999999925,73.00000000001194,-73.99999999999807,-73.00000000000084,-218.00000000000708,-231.0000000000034,51.000000000001044,-1.0000000000047748,-169.99999999999238,-98.99999999999353,34.000000000000696,,-867.9999999999884
2017.10.09,-39.00000000000014,-68.00000000001205,-90.99999999999665,79.00000000000685,-81.00000000000307,-118.00000000000699,-260.0000000000158,-228.00000000000597,-15.00000000000945,-72.00000000000273,-192.99999999999872,-143.9999999999997,42.999999999993044,,-1187.0000000000516
2017.10.09,-26.999999999999247,-29.000000000010573,-142.99999999999312,107.00000000001265,-112.99999999999955,-174.00000000000747,-299.00000000000483,-241.00000000000233,-137.00000000000932,-141.9999999999959,-215.99999999999397,-205.99999999999508,-29.999999999996696,,-1649.9999999999952
2017.10.09,-11.00000000000545,40.99999999999682,-139.99999999999568,104.00000000001519,-150.99999999999625,-180.0000000000024,-287.9999999999994,-252.0000000000078,-158.99999999999804,-195.99999999999795,-220.99999999999343,-237.99999999999378,-60.99999999999994,,-1751.9999999999782
2017.10.09,-24.000000000001798,-2.0000000000095497,-152.99999999999204,103.00000000000864,-117.00000000000443,-196.00000000000728,-306.00000000000625,-192.00000000001438,-209.9999999999991,-180.00000000000682,-195.9999999999962,-190.99999999999673,-25.00000000000835,,-1689.0000000000343
2017.10.09,-12.000000000000899,36.99999999999193,-145.9999999999906,87.99999999999919,-129.99999999999545,-195.00000000000074,-283.99999999999534,-124.00000000001299,-226.99999999999943,-194.99999999999318,-153.99999999999858,-187.9999999999993,-121.99999999999989,,-1651.9999999999955
2017.10.09,-56.0000000000005,9.999999999990905,-165.9999999999995,94.00000000001629,-155.00000000000114,-176.0000000000095,-215.00000000000963,-175.99999999999838,-173.00000000000094,-176.00000000000193,-141.00000000000225,-175.00000000000293,-102.00000000000209,,-1607.0000000000216
2017.10.09,-58.000000000002494,-13.00000000000523,-180.99999999999784,90.00000000001229,-155.00000000000114,-185.00000000000182,-243.00000000001543,-156.00000000000057,-163.00000000000205,-177.0000000000067,-144.99999999999514,-187.9999999999993,-66.99999999999484,,-1641.0000000000102
2017.10.09,-38.0000000000047,41.99999999998738,-172.99999999998983,90.99999999999665,-173.99999999999238,-194.0000000000053,-191.00000000000784,-187.00000000000384,-218.00000000000708,-224.99999999999432,-130.99999999999224,-214.00000000000307,-151.00000000001222,,-1763.000000000029
2017.10.09,-17.000000000000348,66.99999999999307,-136.99999999999824,90.00000000001229,-150.00000000000568,-173.00000000000094,-9.000000000014552,-169.00000000001913,-164.00000000000858,-180.99999999999739,-87.99999999999919,-192.99999999999872,-126.0000000000039,,-1250.0000000000412
2017.10.09,-12.000000000000899,-4.0000000000048885,-139.99999999999568,85.00000000000173,-173.99999999999238,-180.0000000000024,148.99999999999915,-147.00000000000824,-185.99999999999727,-180.99999999999739,-46.00000000000159,-197.99999999999818,-202.00000000001327,,-1236.0000000000114
2017.10.09,-11.00000000000545,23.9999999999867,-143.9999999999997,80.00000000001339,-103.9999999999992,-187.00000000000384,139.9999999999846,-182.0000000000155,-205.00000000001074,-164.00000000000148,-61.999999999995396,-203.99999999999307,-245.0000000000063,,-1264.000000000046
2017.10.09,-7.9999999999968985,0.0,-159.9999999999935,67.00000000001705,-94.99999999999886,-208.00000000000819,234.00000000000088,-165.9999999999995,-277.00000000001614,-183.00000000000693,-36.0000000000027,-231.0000000000034,-261.0000000000001,,-1324.0000000000082
2017.10.09,-11.00000000000545,20.999999999986585,-170.99999999999892,58.000000000002494,-105.99999999999454,-218.00000000000708,238.0000000000049,-133.00000000000534,-294.0000000000165,-197.00000000000273,-41.9999999999976,-239.99999999999577,-256.00000000001177,,-1351.0000000000418
2017.10.09,-21.00000000000435,16.999999999995907,-168.99999999999693,14.000000000002899,-144.00000000000546,-218.00000000000708,263.99999999999756,-125.00000000001954,-326.0000000000041,-209.00000000000318,-31.999999999998696,-224.9999999999974,-251.00000000000122,,-1425.0000000000416
2017.10.09,-18.0000000000069,-11.00000000000989,-136.99999999999824,-11.999999999989797,-99.99999999999432,-212.00000000000108,330.9999999999924,-134.00000000001188,-341.00000000001353,-153.99999999999636,-70.99999999999883,-248.99999999999923,-222.00000000001108,,-1330.0000000000389
2017.10.09,-4.999999999999449,22.999999999996135,-122.99999999999534,-44.99999999998394,-194.99999999999318,-207.00000000000162,424.00000000000216,-133.00000000000534,-364.00000000000875,-195.99999999999795,-61.999999999995396,-242.99999999999324,-273.9999999999965,,-1399.9999999999723
2017.10.09,-7.9999999999968985,90.99999999999397,-152.99999999999204,-5.999999999994898,-203.99999999999352,-217.0000000000005,533.0000000000057,-156.00000000000057,-364.00000000000875,-239.00000000000432,-19.999999999997797,-265.99999999999955,-375.0000000000142,,-1384.0000000000034
2017.10.09,9.00000000000345,100.99999999999909,-167.9999999999904,16.000000000016,-165.00000000000625,-237.00000000000944,513.9999999999923,-147.00000000000824,-407.0000000000018,-251.00000000000477,31.000000000003247,-278.00000000000045,-397.0000000000029,,-1379.0000000000102
2017.10.09,24.000000000001798,88.99999999999864,-159.9999999999935,131.00000000001444,-143.00000000000068,-243.00000000000432,502.00000000000244,-173.00000000000094,-251.00000000000122,-236.0000000000042,30.000000000007798,-234.00000000000088,-323.0000000000066,,-986.9999999999873
2017.10.09,-41.000000000002146,47.99999999998761,-155.99999999998948,80.99999999999774,-176.00000000000193,-241.00000000000233,499.9999999999893,-246.00000000001288,-242.00000000000887,-215.0000000000034,47.00000000000814,-248.99999999999923,-415.0000000000098,,-1305.0000000000473
2017.10.09,-41.9999999999976,29.999999999986926,-228.99999999999034,73.99999999999629,-182.00000000000216,-276.00000000000955,939.9999999999853,-248.00000000000378,-319.0000000000026,-269.999999999996,67.00000000000594,-293.99999999999426,-458.00000000000284,,-1207.0000000000246
2017.10.09,-9.00000000000345,39.99999999999204,-231.99999999999886,138.0000000000159,-137.00000000000045,-313.00000000000773,978.9999999999966,-285.00000000000193,-353.0000000000033,-301.00000000000193,16.0000000000049,-358.0000000000028,-503.99999999999335,,-1319.0000000000043
2017.10.09,2.000000000002,73.99999999999807,-218.99999999999142,141.00000000001333,-150.00000000000568,-277.000000000005,966.0000000000002,-292.00000000000335,-317.9999999999961,-290.00000000000625,7.0000000000014495,-351.99999999999676,-446.0000000000131,,-1154.0000000000027
2017.10.09,-21.999999999999797,63.99999999999295,-238.99999999998923,106.00000000000608,-191.99999999999307,-296.0000000000074,1149.9999999999843,-278.00000000000045,-311.0000000000168,-310.0000000000023,50.0000000000056,-334.9999999999964,-497.0000000000141,,-1110.0000000000307
2017.10.09,21.999999999999797,104.99999999998977,-224.9999999999974,161.00000000001114,-152.00000000000102,-349.0000000000104,1251.000000000002,-313.00000000000773,-263.99999999999756,-319.9999999999932,2.000000000002,-334.9999999999964,-415.99999999999415,,-832.9999999999932
