date,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPCAD,GBPAUD,EURJPY,EURNZD,CADJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2017.05.01,-133.99999999998968,-183.99999999998417,-104.99999999999955,-170.99999999999892,-100.00000000000009,-44.99999999998394,-70.99999999999795,-90.0000000000012,-253.99999999999866,-143.00000000000423,-102.00000000000209,-243.99999999999977,-25.000000000005684,-317.0000000000117,-161.99999999999193,-256.9999999999908,0.0,0.0,,-2403.9999999999604
2017.05.01,-2.999999999997449,-190.00000000000128,-76.99999999999375,-187.9999999999993,-146.99999999999713,-65.99999999998829,-105.99999999999454,-108.99999999999244,-289.0000000000059,-165.9999999999995,-34.000000000000696,-238.0000000000049,-84.00000000000318,-333.0000000000055,-213.99999999999864,-313.99999999999295,150.99999999999002,153.00000000000313,,-2253.9999999999823
2017.05.01,-56.99999999999594,-149.9999999999835,-42.999999999993044,-180.99999999999784,-106.00000000000608,-121.99999999999989,-153.99999999999636,-151.00000000000114,-287.9999999999994,-148.99999999999915,-2.0000000000131024,-184.00000000000637,-42.00000000000159,-102.00000000000209,-188.0000000000024,-275.99999999999625,153.00000000000313,258.0000000000027,,-1783.9999999999882
2017.05.01,-55.99999999998939,-96.99999999999153,-95.00000000000064,-175.00000000000293,-143.9999999999997,-131.99999999999878,-55.999999999997385,-175.99999999999838,-290.00000000000136,-185.99999999999727,-147.00000000000824,-248.00000000000378,22.999999999996135,-29.999999999996696,-164.99999999999204,-229.99999999998977,112.000000000001,217.0000000000005,,-1874.9999999999704
2017.05.01,-53.999999999998494,-65.99999999998829,-171.99999999999437,-214.99999999999852,-197.00000000000273,-150.99999999999002,-64.99999999999773,-210.99999999999451,-309.99999999999915,-221.00000000000452,-207.00000000000162,-307.99999999999716,-16.999999999995907,-86.0000000000083,-185.00000000000227,-298.9999999999924,70.99999999999883,177.00000000000495,,-2515.999999999962
2017.05.01,-46.999999999997044,-34.000000000000696,-170.00000000000347,-195.9999999999962,-228.00000000000597,-156.99999999998494,-67.99999999999784,-197.00000000000273,-279.00000000000705,-238.0000000000049,-224.000000000002,-268.0000000000016,-36.000000000001364,-86.0000000000083,-189.99999999999773,-286.00000000000136,85.99999999998609,132.99999999998312,,-2485.000000000044
2017.05.01,-75.00000000000284,-68.99999999998573,-150.00000000000568,-226.99999999999943,-196.00000000000728,-170.99999999998784,-126.99999999999534,-212.00000000000108,-338.00000000000495,-214.99999999999852,-205.00000000001074,-350.9999999999902,-84.00000000000318,-72.0000000000054,-254.0000000000049,-316.0000000000025,116.00000000000499,173.99999999998528,,-2772.000000000015
2017.05.01,-79.99999999999119,-95.999999999985,-99.99999999998899,-236.99999999999832,-129.9999999999968,-188.9999999999947,-121.99999999999989,-208.99999999999253,-387.000000000004,-202.0000000000022,-143.00000000000423,-387.99999999998835,-132.99999999999557,24.999999999986144,-248.00000000000466,-299.99999999999716,165.9999999999995,297.9999999999983,,-2474.9999999999595
2017.05.01,-175.99999999999838,-156.00000000000057,-8.999999999992347,-195.9999999999962,-82.99999999999974,-211.99999999998997,-62.99999999998818,-209.9999999999991,-379.0000000000071,-197.00000000000273,-104.99999999999955,-343.00000000000443,-103.9999999999992,70.99999999999883,-206.99999999999363,-246.9999999999999,180.0000000000024,354.9999999999942,,-2080.999999999976
2017.05.01,-280.9999999999979,-197.99999999998707,29.999999999996696,-136.99999999999824,-41.9999999999976,-221.00000000000452,-259.9999999999909,-224.000000000002,-367.0000000000062,-182.99999999999983,-202.9999999999976,-380.00000000000256,-314.9999999999977,109.99999999998789,-355.99999999999454,-353.9999999999992,161.99999999999548,343.00000000000443,,-2875.9999999999914
2017.05.01,-238.99999999998923,-166.99999999998383,73.00000000001194,-124.99999999999733,-33.000000000005244,-221.00000000000452,-238.9999999999901,-200.99999999999562,-346.0000000000019,-178.99999999999582,-113.99999999999189,-316.0000000000052,-296.99999999999704,119.00000000000244,-329.9999999999983,-358.99999999999466,175.99999999999838,324.9999999999975,,-2472.99999999994
2017.05.01,-190.00000000000128,-156.99999999998494,72.0000000000054,-158.99999999999804,-48.99999999999905,-211.99999999998997,-263.9999999999958,-200.00000000000017,-365.0000000000042,-178.00000000000037,-116.00000000000499,-370.00000000000364,-307.9999999999927,99.00000000000463,-337.99999999999386,-364.9999999999949,217.0000000000005,368.9999999999971,,-2513.9999999999563
2017.05.01,-235.00000000000742,-160.99999999998892,100.99999999999554,-178.00000000000037,-60.99999999999994,-197.99999999998707,-250.99999999999056,-186.99999999999272,-402.00000000000233,-207.00000000000162,-123.00000000000644,-476.9999999999941,-272.99999999999613,46.999999999997044,-301.9999999999925,-381.9999999999908,241.00000000000233,383.99999999998437,,-2663.9999999999714
2017.05.01,-229.99999999999687,-177.99999999998929,103.00000000000864,-183.99999999999528,-73.00000000000084,-194.99999999998963,-236.99999999999477,-190.00000000000128,-414.00000000000324,-214.99999999999852,-127.99999999999478,-492.0000000000035,-275.0000000000057,12.999999999996348,-302.99999999999727,-390.99999999999113,272.00000000000557,387.99999999998835,,-2728.9999999999627
2017.05.01,-231.0000000000034,-187.99999999998818,144.99999999999514,-182.99999999999983,-63.00000000000195,-197.00000000000273,-236.99999999999477,-163.99999999999747,-412.00000000000125,-207.99999999999707,-46.999999999997044,-469.99999999999267,-265.00000000000057,41.000000000002146,-293.99999999999693,-397.99999999999613,339.99999999998477,392.9999999999989,,-2437.999999999989
2017.05.01,-266.999999999995,-190.00000000000128,164.00000000000858,-168.00000000000148,-31.000000000003247,-188.9999999999947,-216.99999999999875,-161.00000000000003,-404.99999999999983,-180.0000000000024,-90.99999999999665,-486.00000000000864,-239.00000000000432,89.00000000000574,-269.999999999996,-354.99999999998977,316.99999999998954,424.00000000000216,,-2254.9999999999864
2017.05.01,-290.9999999999968,-187.00000000000384,168.99999999999693,-214.99999999999852,-55.000000000005045,-194.99999999998963,-195.99999999999795,-161.00000000000003,-448.000000000004,-204.00000000000418,-99.00000000000463,-632.9999999999947,-221.9999999999942,42.999999999993044,-257.99999999999557,-362.99999999999955,314.99999999999864,424.99999999998647,,-2575.000000000013
2017.05.01,-320.9999999999935,-229.99999999999687,161.00000000001114,-214.99999999999852,-43.00000000000415,-187.99999999998818,-265.00000000000057,-166.99999999999494,-453.0000000000034,-192.99999999999872,-134.99999999999625,-635.0000000000077,-263.00000000000523,55.000000000005045,-316.0000000000025,-384.00000000000034,356.00000000000074,465.0000000000043,,-2770.99999999997
2017.05.01,-269.9999999999925,-244.9999999999841,151.00000000001222,-217.99999999999596,-53.00000000000304,-166.99999999998383,-453.9999999999935,-173.00000000000094,-446.00000000000193,-207.99999999999707,-92.00000000000318,-551.9999999999969,-435.0000000000023,-29.00000000001235,-417.99999999999216,-525.9999999999962,360.0000000000048,422.9999999999956,,-3351.9999999999436
2017.05.01,-235.99999999999176,-242.99999999999324,178.00000000001148,-282.99999999999994,-53.00000000000304,-146.99999999998602,-487.99999999999955,-154.99999999999403,-519.0000000000028,-204.00000000000418,25.999999999992696,-644.0000000000001,-489.0000000000043,-52.000000000007596,-447.00000000000273,-551.0000000000019,438.00000000000506,495.99999999998533,,-3372.999999999997
2017.05.01,-238.0000000000049,-248.00000000000378,252.99999999999213,-282.0000000000045,-36.0000000000027,-177.99999999998929,-421.99999999999704,-117.00000000000044,-513.0000000000078,-185.00000000000182,85.00000000000173,-632.9999999999947,-429.9999999999926,51.99999999998539,-353.9999999999992,-484.99999999999943,516.0000000000053,563.0000000000024,,-2652.000000000011
2017.05.01,-170.99999999998784,-190.99999999998562,194.0000000000053,-346.0000000000019,-75.9999999999983,-173.99999999998528,-431.99999999998795,-139.99999999999568,-557.0000000000075,-214.99999999999852,86.0000000000083,-757.999999999992,-432.9999999999927,-19.00000000001345,-382.000000000005,-518.9999999999912,560.0000000000049,580.999999999987,,-2991.999999999938
2017.05.01,-163.00000000000205,-187.99999999998818,168.99999999999693,-417.99999999999613,-118.00000000000699,-170.99999999998784,-501.99999999999534,-144.99999999999514,-602.999999999998,-231.0000000000034,69.9999999999923,-907.9999999999977,-504.99999999999545,-78.00000000000028,-427.99999999999727,-588.9999999999986,577.9999999999897,604.0000000000045,,-3625.999999999978
2017.05.01,-151.9999999999966,-156.00000000000057,184.00000000000637,-397.99999999999835,-136.00000000000279,-170.00000000000347,-496.9999999999999,-103.99999999999298,-577.0000000000052,-241.99999999999778,123.99999999999079,-801.9999999999916,-495.9999999999951,-97.9999999999981,-388.9999999999958,-600.9999999999991,628.9999999999907,581.9999999999936,,-3298.9999999999955
2017.05.01,-136.00000000000279,-136.00000000000279,148.99999999999915,-375.9999999999986,-145.00000000000622,-178.99999999999582,-462.99999999999386,-112.99999999999643,-565.0000000000044,-239.99999999999577,106.00000000000608,-800.0000000000007,-481.9999999999993,-82.00000000000429,-381.0000000000002,-563.999999999993,611.000000000006,556.9999999999853,,-3238.9999999999977
2017.05.01,-90.99999999999665,-120.99999999999334,66.99999999999484,-407.99999999999727,-163.00000000000205,-139.9999999999846,-466.99999999999875,-119.99999999999788,-548.9999999999995,-231.99999999999886,119.00000000000244,-750.9999999999906,-450.9999999999934,-100.99999999999554,-397.00000000000557,-563.0000000000024,594.0000000000057,551.9999999999969,,-3221.999999999957
2017.05.01,-41.000000000002146,-110.99999999999443,-18.999999999991246,-470.00000000000375,-202.0000000000022,-129.99999999998568,-501.99999999999534,-146.99999999999713,-584.0000000000067,-246.99999999999721,31.000000000003247,-872.9999999999905,-462.99999999999386,-180.0000000000024,-456.00000000000307,-615.9999999999997,591.9999999999925,567.9999999999907,,-3849.999999999979
2017.05.01,-51.000000000001044,-116.00000000000499,-1.0000000000065512,-470.00000000000375,-265.0000000000041,-109.99999999998789,-503.9999999999907,-142.99999999999312,-596.0000000000076,-321.0000000000046,8.999999999992347,-916.99999999999,-444.9999999999932,-357.00000000000733,-436.9999999999976,-644.999999999996,575.9999999999987,496.99999999999187,,-4296.0000000000055
2017.05.01,-192.99999999999872,-126.0000000000039,52.99999999999194,-546.000000000002,-402.00000000000233,-107.99999999999699,-449.99999999998863,-119.00000000000244,-667.0000000000065,-451.0000000000014,8.000000000008,-1140.999999999992,-382.99999999999557,-686.0000000000089,-367.00000000000443,-801.0000000000019,678.0000000000008,358.9999999999982,,-5342.000000000006
2017.05.01,-187.99999999998818,-126.0000000000039,-48.000000000003595,-565.9999999999999,-372.0000000000057,-99.99999999998899,-512.0000000000005,-131.00000000000333,-644.0000000000001,-402.9999999999978,-198.00000000000927,-1241.0000000000032,-441.0000000000025,-558.0000000000141,-430.9999999999974,-765.0000000000006,702.0000000000026,426.9999999999996,,-5595.0000000000155
2017.05.01,-99.00000000000463,-51.99999999998539,-60.99999999999994,-666.9999999999953,-374.0000000000077,-119.00000000000244,-588.9999999999986,-117.00000000000044,-736.9999999999987,-372.0000000000057,-147.99999999999258,-1370.9999999999889,-522.0000000000056,-459.99999999999375,-466.99999999999875,-778.9999999999964,716.0000000000056,509.00000000000387,,-5708.999999999966
2017.05.01,-72.99999999998974,-14.999999999987246,-109.00000000000354,-670.9999999999993,-435.0000000000076,-146.00000000000168,-536.9999999999919,-90.99999999999665,-713.0000000000081,-356.9999999999962,-103.99999999999298,-1354.999999999995,-519.0000000000055,-429.00000000001273,-420.99999999999227,-759.0000000000003,760.0000000000051,466.9999999999952,,-5506.999999999981
2017.05.01,-143.00000000000423,-21.00000000000435,-86.99999999999264,-649.999999999995,-475.99999999999864,-147.99999999999258,-558.9999999999975,-132.99999999999423,-714.0000000000035,-473.0000000000012,-201.00000000000674,-1418.9999999999925,-527.000000000001,-668.0000000000019,-448.99999999999807,-869.9999999999903,777.0000000000055,410.99999999998363,,-6349.999999999985
2017.05.01,-168.99999999999693,-31.000000000003247,-80.99999999999774,-670.9999999999993,-575.9999999999987,-239.99999999999577,-509.9999999999909,-200.99999999999562,-822.0000000000005,-645.0000000000067,-238.0000000000049,-1488.0000000000005,-484.99999999999943,-910.0000000000108,-457.9999999999984,-935.9999999999928,788.9999999999952,292.00000000000335,,-7379.999999999994
2017.05.01,-127.99999999999478,4.000000000004,-55.000000000005045,-726.9999999999999,-675.9999999999989,-272.99999999998994,-328.9999999999935,-146.00000000000168,-802.0000000000027,-683.9999999999957,-114.99999999999844,-1537.999999999995,-402.000000000001,-985.999999999998,-290.9999999999968,-944.9999999999932,870.9999999999995,195.9999999999962,,-7025.999999999964
2017.05.01,-56.99999999999594,51.000000000001044,-9.999999999998899,-704.0000000000047,-645.0000000000067,-239.99999999999577,-417.99999999999216,-103.99999999999298,-780.000000000003,-651.999999999997,-5.000000000010552,-1417.0000000000016,-471.00000000000364,-940.0000000000075,-331.99999999999363,-979.9999999999898,910.9999999999951,202.9999999999976,,-6590.0
2017.05.01,-130.0000000000079,26.999999999999247,-82.00000000000429,-687.9999999999998,-643.0000000000047,-288.99999999998374,-422.9999999999876,-205.99999999999508,-824.0000000000025,-709.9999999999995,-178.00000000001148,-1466.9999999999961,-507.000000000005,-978.9999999999966,-420.0000000000017,-1028.9999999999964,844.0000000000003,204.99999999998852,,-7499.000000000005
2017.05.01,-170.00000000000347,-8.999999999992347,-150.00000000000568,-690.9999999999972,-653.999999999999,-319.999999999987,-485.99999999999,-259.9999999999936,-858.9999999999986,-719.000000000003,-326.0000000000041,-1516.9999999999907,-652.000000000001,-1001.0000000000074,-542.9999999999922,-1090.0000000000034,800.0000000000007,200.00000000000017,,-8446.999999999969
2017.05.01,-285.00000000000193,-75.00000000000284,-26.999999999999247,-656.9999999999965,-570.0000000000039,-322.9999999999844,-529.9999999999869,-227.99999999999488,-855.0000000000058,-687.9999999999998,-293.0000000000099,-1563.0000000000032,-647.9999999999961,-890.000000000013,-528.0000000000058,-1076.9999999999982,845.9999999999912,282.9999999999888,,-8108.000000000022
2017.05.01,-238.99999999998923,-65.99999999998829,49.00000000001015,-626.9999999999998,-553.0000000000035,-253.99999999999866,-566.9999999999931,-158.99999999999804,-792.9999999999993,-609.000000000004,-181.9999999999933,-1495.0000000000018,-673.0000000000018,-855.0000000000058,-507.000000000005,-1030.0000000000011,858.0000000000032,266.999999999995,,-7434.9999999999745
2017.05.01,-226.99999999999943,-104.99999999999955,73.99999999999629,-643.0000000000047,-514.9999999999987,-241.00000000000233,-498.9999999999952,-173.9999999999964,-829.9999999999974,-626.9999999999998,-137.00000000000932,-1510.9999999999957,-587.9999999999939,-870.0000000000152,-453.9999999999935,-1007.9999999999956,882.9999999999893,302.0000000000023,,-7170.000000000009
2017.05.01,-239.99999999999577,-78.99999999998464,107.00000000001265,-644.9999999999956,-533.0000000000057,-258.99999999998704,-512.0000000000005,-146.99999999999713,-831.9999999999994,-638.0000000000052,-86.99999999999264,-1553.9999999999886,-620.0000000000045,-870.0000000000152,-457.9999999999984,-1055.9999999999973,934.9999999999969,326.0000000000041,,-7161.9999999999545
2017.05.01,-290.9999999999968,-58.000000000002494,58.000000000002494,-661.0000000000005,-548.0000000000041,-275.000000000003,-489.9999999999949,-166.99999999999494,-846.9999999999977,-653.999999999999,-259.0000000000092,-1658.0000000000039,-602.9999999999944,-893.9999999999948,-460.9999999999985,-1055.9999999999973,930.999999999993,304.9999999999997,,-7627.999999999996
2017.05.01,-327.99999999999494,-51.000000000001044,75.00000000000284,-670.9999999999993,-565.0000000000044,-299.00000000000483,-477.99999999999443,-175.00000000000293,-880.000000000003,-692.0000000000038,-252.0000000000078,-1727.9999999999961,-602.0000000000039,-931.0000000000151,-459.0000000000032,-1069.9999999999932,933.000000000006,297.9999999999983,,-7875.000000000021
2017.05.01,-462.9999999999912,-80.99999999999774,124.00000000001299,-670.9999999999993,-561.0000000000003,-286.99999999999284,-433.9999999999975,-158.99999999999804,-880.9999999999984,-694.0000000000057,-340.9999999999913,-1899.0000000000061,-576.9999999999982,-968.9999999999976,-426.00000000000193,-1051.9999999999925,977.99999999999,299.00000000000483,,-8093.999999999963
2017.05.01,-446.9999999999974,-112.000000000001,154.0000000000097,-663.999999999998,-570.0000000000039,-282.0000000000045,-379.99999999999545,-161.99999999999548,-889.0000000000065,-707.000000000002,-319.0000000000026,-1862.9999999999925,-513.9999999999958,-1004.0000000000049,-379.99999999999545,-1052.9999999999973,958.9999999999987,270.99999999999903,,-7961.9999999999845
2017.05.01,-502.9999999999868,-124.99999999999733,198.99999999999363,-631.9999999999992,-551.0000000000015,-303.9999999999932,-348.99999999998954,-148.99999999999915,-874.0000000000081,-702.9999999999981,-310.0000000000103,-1839.9999999999973,-503.0000000000001,-1002.000000000014,-349.9999999999943,-1024.000000000001,980.0000000000031,272.99999999998994,,-7767.000000000004
2017.05.01,-489.0000000000061,-113.99999999999189,234.00000000000088,-595.9999999999966,-541.9999999999981,-295.99999999998516,-372.99999999999045,-132.99999999999423,-848.0000000000043,-700.999999999996,-290.9999999999968,-1778.9999999999973,-513.9999999999958,-971.0000000000107,-349.00000000000375,-1048.9999999999923,967.9999999999911,221.00000000000452,,-7621.999999999963
2017.05.02,-529.999999999986,-133.99999999998968,185.00000000001293,-573.0000000000013,-522.0000000000002,-292.9999999999877,-402.000000000001,-127.99999999999478,-807.9999999999976,-683.0000000000002,-347.9999999999928,-1863.999999999999,-530.0000000000011,-1063.0000000000139,-350.9999999999991,-1022.9999999999961,869.999999999993,123.99999999999079,,-8072.999999999964
2017.05.02,-483.99999999999557,-117.99999999999588,242.99999999999324,-597.9999999999985,-509.9999999999993,-292.9999999999877,-420.99999999999227,-122.99999999999534,-824.999999999998,-680.9999999999983,-300.99999999999574,-1787.0000000000052,-542.9999999999922,-927.0000000000111,-353.9999999999992,-1021.9999999999914,899.9999999999897,210.99999999998343,,-7632.999999999988
2017.05.02,-476.9999999999941,-116.99999999998934,219.99999999999798,-622.9999999999958,-570.0000000000039,-310.9999999999946,-476.99999999998965,-119.99999999999788,-853.9999999999992,-714.0000000000035,-286.99999999999284,-1791.9999999999936,-655.0000000000011,-997.0000000000034,-414.0000000000015,-1106.9999999999993,946.0000000000024,177.00000000000495,,-8171.999999999955
2017.05.02,-448.000000000004,-38.99999999998904,188.00000000001037,-624.0000000000023,-590.999999999997,-319.999999999987,-540.9999999999968,-114.00000000000298,-840.0000000000074,-714.0000000000035,-310.9999999999946,-1790.0000000000027,-730.000000000004,-964.9999999999936,-450.00000000000284,-1162.9999999999968,958.9999999999987,208.99999999999253,,-8283.999999999984
2017.05.02,-375.9999999999986,-45.99999999999049,198.00000000000927,-634.0000000000013,-643.0000000000047,-326.0000000000041,-512.0000000000005,-117.00000000000044,-841.0000000000028,-753.9999999999991,-188.9999999999947,-1720.9999999999948,-719.9999999999989,-1059.9999999999943,-403.99999999999636,-1146.9999999999914,966.9999999999845,149.9999999999835,,-8174.9999999999945
2017.05.02,-374.999999999992,-14.000000000002899,195.9999999999962,-648.9999999999995,-667.0000000000065,-317.9999999999961,-440.9999999999883,-117.00000000000044,-844.0000000000003,-785.9999999999978,-205.00000000001074,-1749.0000000000005,-623.9999999999952,-1117.0000000000125,-375.0,-1167.9999999999923,948.9999999999999,120.99999999999334,,-8183.000000000005
2017.05.02,-364.9999999999931,-45.99999999999049,148.99999999999915,-700.999999999996,-677.0000000000053,-323.99999999999096,-513.9999999999958,-148.99999999999915,-901.0000000000074,-811.0000000000061,-212.00000000001216,-1795.9999999999975,-694.0000000000026,-1161.9999999999964,-457.9999999999984,-1235.99999999999,980.9999999999875,121.99999999999989,,-8793.999999999995
