date,GBPUSD,USDCAD,AUDUSD,NZDUSD,CADCHF,AUDCHF,NZDCHF,GBPJPY,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.03.22,-62.000000000006494,-5.000000000010552,-72.0000000000054,-59.99999999999339,-31.999999999998696,-90.0000000000012,-68.99999999999685,-360.99999999999,62.000000000006494,1.999999999990898,-218.9999999999941,-228.00000000000864,-250.0,,-1384.000000000008
2021.03.22,-18.0000000000069,5.999999999994898,-53.00000000000304,-65.99999999999939,-58.000000000002494,-99.00000000000463,-109.99999999999899,-301.9999999999925,66.00000000001049,-31.000000000003247,-209.99999999999375,-203.00000000000296,-254.0000000000049,,-1332.0000000000077
2021.03.22,-44.0000000000218,-76.0000000000094,-121.99999999999989,-109.99999999999899,-102.99999999999754,-162.0000000000066,-146.00000000000168,-350.9999999999991,17.000000000000348,-79.99999999999119,-278.99999999999636,-287.00000000000614,-314.00000000000716,,-2057.0000000000355
2021.03.22,36.999999999998145,-18.0000000000069,-58.000000000002494,-66.99999999999484,-90.99999999999665,-126.0000000000039,-124.00000000000189,-230.99999999999454,25.00000000000835,-43.999999999999595,-221.9999999999942,-201.99999999999818,-253.0000000000001,,-1373.9999999999868
2021.03.22,2.999999999997449,-73.00000000001194,-117.99999999999588,-127.99999999999478,-109.00000000000354,-162.0000000000066,-168.99999999999693,-271.99999999999136,7.0000000000014495,-134.99999999999625,-265.00000000000057,-266.00000000000534,-320.0000000000074,,-2007.0000000000118
2021.03.22,79.99999999999119,-32.0000000000098,-36.999999999998145,-57.99999999999139,-95.99999999999609,-102.00000000000209,-114.00000000000298,-234.00000000000887,30.0000000000189,1.999999999990898,-257.99999999999557,-203.00000000000296,-263.00000000000523,,-1285.0000000000123
2021.03.22,168.99999999999693,60.99999999999994,99.00000000000463,48.000000000003595,-77.00000000000485,-7.0000000000014495,-48.000000000003595,-70.99999999999795,50.0000000000167,146.00000000000168,-158.00000000000125,-17.000000000010118,-117.00000000000443,,77.99999999999977
2021.03.22,105.99999999998388,-59.99999999999339,-12.000000000000899,-25.999999999992696,-109.99999999999899,-72.0000000000054,-80.00000000000229,-173.00000000000182,-14.999999999987246,62.99999999999084,-262.00000000000045,-157.0000000000107,-213.99999999999864,,-1012.0000000000177
2021.03.22,45.99999999999049,-109.00000000000354,-33.000000000005244,-56.99999999999594,-116.00000000000499,-72.0000000000054,-89.00000000000574,-179.00000000000205,-41.99999999998649,26.999999999999247,-259.00000000000034,-147.00000000000557,-216.99999999999875,,-1247.000000000024
2021.03.22,5.999999999994898,-168.0000000000126,-48.000000000003595,-65.99999999999939,-121.99999999999989,-58.99999999999794,-73.00000000000084,-133.99999999998613,-37.99999999998249,89.99999999999008,-247.99999999999045,-115.0000000000091,-180.99999999999739,,-1155.9999999999948
2021.03.22,-81.00000000001995,-191.00000000000784,-114.00000000000298,-115.99999999999389,-97.9999999999981,-85.99999999999719,-87.99999999999919,-138.00000000000523,-10.999999999983245,29.999999999996696,-210.99999999999852,-134.00000000000034,-188.0000000000024,,-1426.0000000000123
2021.03.22,-29.00000000001235,-195.9999999999962,-92.99999999999864,-86.99999999999264,-133.00000000000534,-90.99999999999665,-84.0000000000063,-157.0000000000107,-46.999999999997044,69.00000000000794,-265.99999999999113,-155.00000000000114,-198.0000000000075,,-1467.0000000000077
2021.03.22,-135.00000000001845,-280.0000000000136,-143.9999999999997,-135.99999999999167,-175.99999999999838,-133.00000000000534,-124.00000000000189,-288.0000000000109,-107.99999999999699,-1.0000000000065512,-328.9999999999935,-221.00000000000364,-257.99999999999557,,-2333.0000000000364
2021.03.22,-113.00000000000753,-242.99999999999324,-95.00000000000064,-111.99999999998988,-170.99999999999892,-107.99999999999699,-117.99999999999588,-284.9999999999966,-118.99999999998023,-8.999999999992347,-316.99999999999307,-177.0000000000067,-240.99999999999966,,-2107.999999999952
2021.03.22,-175.00000000001404,-266.0000000000107,-87.00000000000374,-101.99999999999099,-178.00000000000037,-92.99999999999864,-104.00000000000409,-328.00000000000296,-130.99999999999224,29.999999999996696,-316.99999999999307,-155.00000000000114,-218.9999999999941,,-2125.000000000009
2021.03.22,-180.0000000000024,-265.0000000000041,-90.0000000000012,-106.99999999999044,-222.99999999999542,-139.00000000000023,-148.99999999999915,-377.00000000000955,-139.00000000000023,9.999999999998899,-340.0000000000034,-182.00000000000216,-245.9999999999951,,-2427.0000000000045
2021.03.22,-147.00000000000824,-239.00000000001143,-92.99999999999864,-127.99999999999478,-229.99999999999687,-163.00000000000205,-187.9999999999993,-286.00000000000136,-157.99999999999147,-90.99999999999665,-295.0000000000017,-156.0000000000059,-242.00000000000443,,-2416.0000000000127
2021.03.22,-137.00000000000932,-224.000000000002,-26.999999999999247,-68.99999999999685,-253.99999999999866,-133.00000000000534,-163.00000000000205,-268.0000000000007,-229.99999999999687,-53.999999999998494,-277.9999999999916,-79.9999999999983,-173.00000000000182,,-2090.000000000001
2021.03.22,-162.00000000001768,-283.000000000011,-99.00000000000463,-146.99999999999713,-272.00000000000557,-187.00000000000384,-224.000000000002,-197.00000000000273,-248.99999999998812,-190.00000000000128,-260.9999999999957,-103.9999999999992,-209.99999999999375,,-2585.0000000000227
2021.03.22,-115.00000000002063,-139.00000000000023,-26.999999999999247,-76.99999999999375,-170.99999999999892,-104.00000000000409,-141.99999999999767,-141.9999999999959,-112.99999999998533,-60.99999999999994,-161.00000000000136,-23.000000000010346,-129.99999999999545,,-1405.0000000000032
2021.03.22,-235.00000000000742,-286.00000000000847,-53.999999999998494,-110.99999999999443,-153.99999999999858,-24.999999999997247,-77.00000000000485,-282.0000000000107,-191.99999999999218,-29.00000000001235,-268.0000000000007,-58.000000000006935,-173.00000000000182,,-1944.0000000000346
2021.03.22,-280.0000000000136,-306.00000000000625,-75.9999999999983,-135.99999999999167,-14.999999999998348,97.00000000000264,29.999999999996696,-300.00000000001137,-86.99999999999264,52.000000000007596,-265.00000000000057,-62.00000000001182,-182.00000000000216,,-1530.0000000000196
2021.03.22,-215.00000000000963,-265.0000000000041,-56.99999999999594,-134.99999999999625,-72.0000000000054,36.0000000000027,-40.00000000000669,-235.00000000001364,-114.99999999999844,-32.0000000000098,-239.99999999999488,-46.00000000000648,-186.00000000000705,,-1602.0000000000457
2021.03.22,-173.00000000000094,-289.0000000000059,-114.99999999999844,-200.99999999999562,-2.999999999997449,63.99999999999739,-29.000000000001247,-153.99999999999636,-88.99999999998354,-130.99999999999224,-235.99999999999,-91.99999999999875,-242.00000000000443,,-1689.9999999999677
2021.03.22,-155.00000000001623,-358.9999999999982,-131.99999999999878,-217.0000000000005,-9.999999999998899,78.00000000000028,-12.999999999996348,-140.99999999999113,-55.99999999998939,-32.0000000000098,-286.9999999999919,-112.99999999999955,-262.00000000000045,,-1698.999999999991
2021.03.22,-170.00000000000347,-347.0000000000084,-126.99999999999933,-205.99999999999508,-19.00000000000235,71.99999999999429,-14.999999999998348,-272.99999999999613,-30.999999999981043,5.999999999994898,-344.99999999999886,-170.0000000000017,-308.9999999999975,,-1933.999999999993
2021.03.22,-320.00000000000915,-417.0000000000007,-224.9999999999974,-282.99999999999994,15.999999999993797,53.999999999998494,-19.00000000000235,-330.99999999998886,63.000000000013046,18.999999999991246,-332.9999999999984,-219.99999999999886,-337.0000000000033,,-2333.0000000000023
2021.03.22,-335.00000000001864,-490.999999999997,-287.9999999999994,-353.99999999999875,37.99999999999359,59.99999999999339,-26.000000000003798,-396.99999999999136,13.000000000018552,-90.99999999999665,-414.0000000000015,-314.9999999999977,-441.0000000000025,,-3041.000000000002
2021.03.22,-265.0000000000041,-412.9999999999967,-229.00000000000142,-315.9999999999941,51.99999999999649,80.99999999999774,-19.00000000000235,-506.0000000000002,89.00000000000574,-21.00000000000435,-466.99999999999875,-353.9999999999992,-493.9999999999998,,-2862.000000000001
2021.03.22,-85.00000000000173,-215.00000000000963,-217.99999999999596,-272.99999999998994,180.0000000000024,103.99999999999298,31.999999999998696,-298.0000000000018,286.00000000000847,28.999999999990145,-320.99999999999795,-337.0000000000033,-439.9999999999977,,-1556.0000000000055
2021.03.22,23.999999999979593,-303.0000000000088,-251.00000000000122,-276.9999999999939,124.00000000000189,66.99999999999484,26.000000000003798,-111.99999999999477,148.00000000001478,-18.0000000000069,-343.0000000000035,-335.00000000000796,-411.00000000000136,,-1661.0000000000236
2021.03.22,89.99999999999008,-178.99999999999582,-219.99999999999798,-244.99999999999523,131.99999999999878,32.999999999994145,-6.0000000000060005,-22.999999999996135,252.0000000000078,7.0000000000014495,-245.9999999999951,-292.0000000000016,-367.999999999995,,-1064.9999999999907
2021.03.22,77.99999999997809,113.00000000000753,-253.0000000000032,-261.0000000000001,387.000000000004,83.9999999999952,53.999999999998494,-38.000000000010914,613.0000000000191,-12.999999999996348,-45.000000000001705,-326.0000000000076,-382.99999999999557,,9.999999999986926
2021.03.22,-4.000000000004,4.999999999988347,-287.0000000000039,-282.99999999999994,341.99999999999784,70.0000000000034,51.99999999999649,-123.99999999999523,528.0000000000174,-12.999999999996348,-117.999999999995,-362.99999999999955,-403.99999999999636,,-598.9999999999869
2021.03.22,-51.000000000001044,-19.00000000001345,-297.9999999999983,-285.9999999999974,451.9999999999969,176.99999999999383,158.99999999999804,-123.99999999999523,565.9999999999999,49.99999999999449,-106.99999999999932,-349.00000000000375,-382.99999999999557,,-213.00000000002092
2021.03.22,-168.0000000000126,21.00000000000435,-329.00000000000153,-328.9999999999904,480.99999999999807,156.99999999999602,126.0000000000039,-174.0000000000066,672.0000000000059,15.999999999993797,-34.99999999999659,-335.9999999999985,-390.00000000000057,,-288.00000000000483
2021.03.22,-266.0000000000107,-42.999999999993044,-316.0000000000052,-324.9999999999975,437.999999999994,161.00000000000003,122.99999999999534,-319.9999999999932,637.0000000000209,76.0000000000094,-99.00000000000375,-344.0000000000083,-406.9999999999965,,-684.9999999999884
2021.03.22,-209.00000000001472,-66.99999999999484,-326.0000000000041,-305.99999999999517,431.0000000000036,159.9999999999935,146.99999999999713,-300.00000000001137,666.000000000011,171.99999999999437,-137.99999999999102,-376.0000000000048,-408.00000000000125,,-554.0000000000177
2021.03.22,-271.0000000000212,-73.00000000001194,-338.00000000000495,-309.99999999999915,431.0000000000036,153.00000000000313,144.99999999999514,-385.9999999999957,685.0000000000023,197.00000000000273,-158.00000000000125,-403.0000000000058,-424.0000000000066,,-752.0000000000397
2021.03.22,-280.0000000000136,-110.00000000001009,-353.0000000000033,-328.9999999999904,393.9999999999944,126.99999999999933,110.99999999999443,-415.9999999999968,641.0000000000027,150.99999999999002,-194.00000000000261,-428.0000000000115,-459.0000000000032,,-1145.0000000000505
2021.03.22,-287.000000000015,-141.00000000001333,-373.99999999999653,-337.99999999999386,361.0000000000002,92.99999999999864,97.00000000000264,-462.99999999999386,600.0000000000006,130.99999999999224,-240.99999999999966,-478.00000000000864,-484.99999999999943,,-1525.000000000026
2021.03.22,-270.00000000001467,-164.99999999999292,-372.0000000000057,-319.99999999999807,343.9999999999999,95.00000000000064,112.99999999999643,-454.00000000000773,579.0000000000184,177.99999999998929,-262.00000000000045,-478.00000000000864,-468.9999999999941,,-1481.0000000000175
2021.03.22,-272.00000000000557,-92.00000000000318,-322.00000000000006,-268.99999999999704,370.9999999999991,124.99999999999733,142.99999999999312,-447.00000000000273,613.0000000000191,238.0000000000049,-207.9999999999984,-419.00000000001114,-409.9999999999966,,-949.0000000000013
2021.03.22,-217.0000000000005,-7.0000000000014495,-304.9999999999997,-255.99999999998957,420.9999999999936,134.0000000000008,151.00000000000114,-403.99999999999636,699.0000000000052,248.00000000000378,-153.99999999999636,-410.0000000000108,-403.99999999999636,,-503.9999999999866
2021.03.22,-266.0000000000107,-62.000000000006494,-317.0000000000006,-214.99999999999852,422.9999999999956,161.99999999999548,224.9999999999974,-459.0000000000032,636.0000000000143,347.9999999999928,-192.99999999999784,-420.0000000000017,-358.0000000000041,,-496.00000000002746
2021.03.22,-257.0000000000183,-52.000000000007596,-273.000000000001,-147.99999999999258,448.9999999999994,185.99999999999727,293.99999999999426,-510.9999999999957,598.0000000000097,350.00000000000585,-200.00000000000284,-418.00000000000637,-311.9999999999976,,-294.0000000000157
2021.03.22,-206.00000000001728,-52.99999999999194,-268.99999999999704,-115.99999999999389,493.99999999999443,241.00000000000233,354.9999999999942,-430.0000000000068,591.0000000000082,516.0000000000053,-182.00000000000216,-399.0000000000009,-269.999999999996,,271.99999999999864
2021.03.22,-217.0000000000005,-43.999999999999595,-275.99999999999847,-117.99999999999588,473.0000000000012,234.00000000000088,341.0000000000024,-457.9999999999984,601.000000000007,439.99999999999596,-180.99999999999739,-413.0000000000109,-278.99999999999636,,103.00000000000989
2021.03.23,-231.0000000000034,-25.999999999992696,-233.00000000000543,43.00000000000415,424.00000000000216,219.00000000000253,443.99999999999994,-432.9999999999927,630.0000000000194,902.0000000000028,-171.99999999999704,-335.9999999999985,-78.00000000000296,,1153.0000000000384
2021.03.23,-249.00000000001032,-17.000000000000348,-202.0000000000022,72.0000000000054,451.0000000000014,265.99999999999955,490.00000000000153,-449.99999999998863,652.0000000000082,978.9999999999966,-170.99999999999227,-304.00000000000205,-48.00000000000182,,1469.000000000015
2021.03.23,-227.00000000002163,2.999999999997449,-217.99999999999596,189.00000000000583,437.999999999994,229.99999999999687,575.0000000000033,-415.9999999999968,647.0000000000198,1222.9999999999964,-147.99999999999613,-314.9999999999977,82.99999999999841,,2064.0000000000036
2021.03.23,-219.00000000001364,-45.000000000006146,-278.9999999999959,132.0000000000099,424.00000000000216,181.9999999999933,534.9999999999966,-377.00000000000955,601.000000000007,1100.9999999999964,-164.99999999999204,-368.0000000000092,36.000000000001364,,1557.99999999998
2021.03.23,-131.00000000001444,18.999999999991246,-185.99999999999727,241.00000000000233,383.99999999999545,195.9999999999962,568.0000000000018,-349.9999999999943,648.0000000000041,1329.0000000000025,-158.99999999999181,-300.00000000001137,120.99999999999511,,2379.9999999999795
2021.03.23,-130.0000000000079,8.000000000008,-126.99999999999933,331.0000000000035,387.000000000004,254.99999999999412,656.000000000001,-368.9999999999998,681.0000000000205,1593.0,-177.99999999999727,-248.00000000000466,209.99999999999375,,3069.000000000016
2021.03.23,-63.000000000013046,14.000000000002899,-119.99999999999788,362.00000000000676,378.999999999996,256.0000000000007,675.9999999999989,-305.0000000000068,707.0000000000132,1682.0000000000057,-177.99999999999727,-243.99999999999977,236.99999999999477,,3403.0000000000036
2021.03.23,-81.00000000001995,45.000000000006146,-97.9999999999981,326.0000000000041,409.0000000000038,286.99999999999284,658.0000000000031,-222.0000000000084,684.000000000018,1530.9999999999934,-96.9999999999942,-167.0000000000016,251.00000000000477,,3526.0000000000036
2021.03.23,-5.000000000010552,123.00000000000644,7.9999999999968985,369.0000000000082,448.000000000004,378.999999999996,687.9999999999998,-91.00000000000819,715.0000000000211,1564.999999999994,-15.000000000000568,-21.000000000000796,322.9999999999933,,4485.999999999999
2021.03.23,-25.00000000000835,148.99999999999915,53.999999999998494,502.00000000000244,473.99999999999665,425.99999999999307,815.9999999999945,-131.00000000000023,753.0000000000036,1878.0000000000018,-6.999999999990791,15.999999999991132,457.9999999999984,,5362.999999999979
2021.03.23,-86.0000000000083,96.99999999999153,19.00000000000235,478.0000000000006,449.9999999999948,402.00000000000233,802.0000000000027,-192.00000000000728,748.9999999999997,1875.9999999999889,-39.99999999999204,-20.000000000010232,432.00000000000216,,4966.999999999967
2021.03.23,-106.00000000000608,90.99999999999665,34.000000000000696,489.0000000000061,463.9999999999977,431.99999999999903,827.9999999999955,-151.9999999999868,761.0000000000117,1936.9999999999886,-10.99999999999568,30.000000000001137,474.9999999999943,,5272.000000000004
2021.03.23,-72.0000000000054,148.99999999999915,90.99999999999665,537.0000000000097,478.9999999999961,468.00000000000176,853.0000000000038,-149.0000000000009,771.0000000000106,1981.9999999999948,9.000000000000341,72.99999999999329,510.9999999999957,,5701.999999999995
2021.03.23,27.999999999983594,200.00000000000017,161.99999999999548,597.0000000000031,478.9999999999961,507.9999999999973,885.999999999998,-48.00000000000182,782.000000000016,2075.0000000000045,42.00000000000159,150.99999999999625,572.9999999999933,,6434.9999999999845
2021.03.23,73.99999999999629,241.00000000000233,265.0000000000041,628.0000000000064,498.9999999999939,597.9999999999985,907.9999999999977,-32.99999999998704,822.0000000000116,2133.0000000000073,51.00000000000193,242.999999999995,587.9999999999939,,7017.000000000021
2021.03.23,61.99999999998429,252.99999999999213,282.99999999999994,664.000000000009,515.9999999999942,624.0000000000023,951.0000000000018,-27.999999999991587,869.0000000000086,2259.9999999999955,69.00000000000261,271.99999999999136,635.9999999999957,,7430.9999999999845
2021.03.23,5.999999999994898,228.00000000000597,324.9999999999975,702.0000000000026,500.9999999999959,665.9999999999999,990.9999999999974,-75.9999999999934,861.0000000000007,2374.0000000000095,58.9999999999975,323.99999999999807,685.9999999999928,,7646.999999999999
2021.03.23,-2.0000000000131024,184.99999999999073,315.9999999999941,718.0000000000075,461.0000000000003,639.0000000000007,990.9999999999974,-26.999999999986812,817.000000000001,2421.0000000000064,63.00000000000239,342.9999999999893,731.9999999999993,,7656.999999999989
2021.03.23,-93.00000000000975,127.99999999999478,192.99999999999872,669.0000000000085,443.99999999999994,542.9999999999935,961.0000000000008,-177.99999999999727,773.0000000000015,2340.0000000000086,-10.99999999999568,182.00000000000216,653.0000000000058,,6604.000000000012
2021.03.23,-69.00000000000794,208.99999999999253,271.9999999999945,812.0000000000016,200.00000000000017,331.0000000000035,831.000000000004,-198.0000000000075,567.0000000000064,2329.9999999999877,18.000000000000682,239.99999999999488,781.0000000000059,,6323.999999999976
2021.03.23,277.9999999999783,279.99999999999136,302.9999999999977,803.0000000000092,188.9999999999947,314.0000000000032,776.9999999999943,181.0000000000116,483.0000000000112,2120.999999999995,67.99999999999784,277.9999999999916,772.9999999999961,,6847.999999999974
2021.03.23,261.9999999999845,272.99999999998994,276.9999999999939,766.0,197.00000000000273,295.99999999999625,754.9999999999945,181.0000000000116,563.0000000000024,2133.0000000000073,76.00000000000762,257.99999999999557,743.9999999999998,,6780.999999999986
2021.03.23,492.9999999999879,452.99999999999227,397.99999999999835,917.0000000000011,297.00000000000284,405.9999999999952,888.9999999999953,448.0000000000075,733.0000000000059,2441.000000000004,209.00000000000318,397.99999999999613,915.0000000000063,,8996.999999999996
2021.03.23,604.9999999999889,567.0000000000064,466.9999999999952,998.00000000001,339.0000000000004,446.00000000000193,941.000000000003,677.9999999999973,817.000000000001,2574.999999999994,350.9999999999991,536.9999999999919,1060.0000000000023,,10380.99999999999
2021.03.23,793.9999999999836,644.0000000000001,565.9999999999999,1176.0000000000105,383.99999999999545,536.9999999999986,1105.999999999996,1186.000000000007,930.0000000000086,3031.000000000006,576.9999999999982,811.9999999999976,1406.000000000006,,13149.000000000007
2021.03.23,690.9999999999972,565.9999999999999,473.99999999999665,1059.00000000001,302.9999999999977,417.0000000000007,966.0000000000002,991.9999999999902,731.9999999999993,2620.0,477.00000000000387,664.999999999992,1236.9999999999948,,11198.999999999982
2021.03.23,683.9999999999957,607.0000000000019,507.0000000000019,1062.0000000000073,280.9999999999979,402.9999999999978,934.0000000000015,878.9999999999907,698.0000000000208,2550.9999999999923,444.0000000000026,643.0000000000007,1192.9999999999977,,10886.000000000007
2021.03.23,619.9999999999983,534.9999999999966,480.0000000000027,1078.0000000000011,261.0000000000001,397.99999999999835,963.9999999999982,881.0000000000002,646.0000000000132,2615.999999999996,433.9999999999975,650.9999999999962,1240.9999999999995,,10805.0
2021.03.23,436.9999999999985,443.99999999999994,412.00000000000125,1117.0000000000014,156.00000000000057,286.99999999999284,953.9999999999993,674.0000000000066,638.0000000000052,2825.999999999995,370.00000000000455,576.9999999999982,1281.9999999999964,,10173.999999999998
2021.03.23,442.9999999999934,452.99999999999227,376.99999999999403,1121.0000000000052,149.99999999999457,246.00000000000176,951.0000000000018,634.9999999999909,651.0000000000016,2842.9999999999955,346.00000000000364,512.999999999991,1262.0000000000005,,9990.999999999965
2021.03.23,569.9999999999816,533.0000000000057,473.0000000000012,1245.0000000000073,90.0000000000012,234.00000000000088,968.9999999999976,699.0000000000123,565.9999999999999,2933.9999999999923,359.00000000000887,575.9999999999934,1356.9999999999993,,10605.000000000002
2021.03.23,608.9999999999928,387.99999999998835,385.000000000002,1202.000000000003,-28.000000000005798,114.00000000000298,897.9999999999987,718.9999999999941,371.00000000001023,2804.999999999991,248.00000000000466,466.99999999999875,1301.9999999999925,,9479.999999999973
2021.03.23,463.9999999999977,280.9999999999979,376.99999999999403,1234.0000000000018,-129.00000000000134,76.99999999999375,900.9999999999962,534.9999999999966,261.0000000000001,2898.0000000000005,156.99999999999648,442.99999999999784,1320.999999999998,,8819.99999999997
2021.03.23,414.9999999999876,351.99999999999676,368.9999999999971,1130.0000000000089,-70.99999999999883,83.9999999999952,809.9999999999997,491.9999999999902,341.00000000001353,2637.0000000000005,215.0000000000034,441.99999999999307,1210.9999999999986,,8426.999999999985
2021.03.23,462.9999999999912,296.9999999999917,346.9999999999973,1177.000000000006,-129.00000000000134,37.99999999999359,834.9999999999968,515.9999999999911,243.99999999999977,2717.999999999998,158.00000000000125,399.9999999999915,1248.0000000000045,,8311.999999999962
2021.03.23,436.9999999999985,234.00000000000088,346.0000000000019,1123.0000000000073,-156.99999999999602,43.999999999999595,792.0000000000039,573.0000000000075,180.0000000000024,2608.9999999999945,165.00000000000625,445.99999999999795,1236.9999999999948,,8029.000000000019
2021.03.23,567.9999999999907,268.0000000000016,454.9999999999943,1185.0000000000027,-153.99999999999858,131.00000000000333,836.0000000000034,623.9999999999952,127.00000000001043,2646.9999999999995,135.00000000000512,513.9999999999958,1254.000000000005,,8590.00000000001
2021.03.23,635.9999999999922,353.0000000000033,524.0000000000023,1279.000000000008,-124.00000000000189,170.99999999999892,902.0000000000028,675.9999999999877,214.00000000000307,2856.9999999999986,182.00000000000216,577.9999999999887,1346.999999999994,,9594.99999999998
2021.03.23,654.9999999999834,75.99999999998718,537.9999999999941,1269.000000000009,-302.9999999999977,171.99999999999437,881.9999999999939,633.0000000000098,-128.99999999997914,2814.9999999999895,-45.000000000001705,557.9999999999927,1301.9999999999925,,8422.999999999969
