date,GBPUSD,USDCAD,AUDUSD,NZDUSD,CADCHF,AUDCHF,NZDCHF,GBPJPY,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.03.22,-81.00000000001995,-56.99999999999594,-99.00000000000463,-66.99999999999484,-60.00000000000449,-114.00000000000298,-85.00000000000173,-365.0000000000091,-150.99999999999002,-127.99999999999478,-224.00000000000375,-230.00000000000398,-251.99999999999534,,-1913.0000000000218
2021.03.22,-98.0000000000203,-69.9999999999923,-106.00000000000608,-111.99999999998988,-63.99999999999739,-121.99999999999989,-116.00000000000499,-437.9999999999882,21.00000000000435,-93.00000000000975,-271.0000000000008,-270.00000000001023,-299.99999999999716,,-2039.0000000000127
2021.03.22,-81.00000000001995,-90.99999999999665,-131.99999999999878,-119.99999999999788,-111.00000000000554,-172.00000000000549,-155.00000000000514,-385.9999999999957,3.0000000000196536,-126.0000000000039,-280.9999999999917,-287.00000000000614,-319.0000000000026,,-2258.0000000000095
2021.03.22,-51.000000000001044,-80.00000000001339,-122.99999999999534,-119.99999999999788,-129.00000000000134,-175.99999999999838,-165.9999999999995,-359.00000000000887,-19.999999999997797,-110.99999999999443,-295.0000000000017,-289.0000000000015,-323.99999999999807,,-2243.000000000009
2021.03.22,-82.00000000000429,-93.99999999999409,-178.99999999999582,-175.99999999999838,-124.99999999999733,-201.00000000000674,-195.00000000000074,-316.0000000000025,-19.999999999997797,-211.00000000000563,-275.99999999999625,-311.00000000000705,-350.9999999999991,,-2537.0000000000055
2021.03.22,-11.00000000000545,-83.00000000001084,-126.99999999999933,-140.99999999999113,-112.99999999999643,-165.00000000000404,-173.00000000000094,-298.0000000000018,-12.999999999996348,-137.00000000000932,-287.9999999999967,-278.0000000000058,-334.0000000000032,,-2161.0000000000214
2021.03.22,54.99999999998284,-69.00000000000794,-58.99999999999794,-76.99999999999375,-126.99999999999933,-121.99999999999989,-133.00000000000534,-243.99999999999977,-15.999999999993797,-25.999999999992696,-271.99999999999136,-210.99999999999852,-272.00000000000557,,-1573.0000000000032
2021.03.22,75.99999999998718,-78.00000000000028,-21.999999999999797,-37.99999999999359,-124.99999999999733,-77.00000000000485,-102.99999999999754,-227.00000000000387,-17.999999999984695,48.99999999998794,-283.9999999999918,-173.00000000000182,-245.00000000000455,,-1265.000000000005
2021.03.22,13.999999999980695,-123.00000000000644,-68.99999999999685,-90.99999999999665,-121.99999999999989,-92.99999999999864,-109.99999999999899,-187.99999999998818,-48.99999999998794,-15.00000000000945,-269.999999999996,-168.00000000000637,-240.99999999999966,,-1525.000000000004
2021.03.22,3.999999999981796,-171.99999999999437,-61.999999999995396,-81.9999999999932,-133.00000000000534,-90.0000000000012,-106.00000000000608,-219.99999999999886,-57.99999999998029,-5.000000000010552,-286.00000000000136,-178.00000000001148,-239.99999999999488,,-1628.0000000000114
2021.03.22,-88.0000000000214,-200.00000000000017,-124.99999999999733,-118.99999999999133,-126.99999999999933,-102.00000000000209,-97.9999999999981,-165.99999999999682,-45.99999999999049,18.0000000000069,-246.9999999999999,-144.00000000000546,-198.0000000000075,,-1642.000000000003
2021.03.22,-105.00000000002174,-234.00000000000088,-136.00000000000279,-131.99999999999878,-155.00000000000514,-107.99999999999699,-106.00000000000608,-230.99999999999454,-73.99999999999629,4.999999999988347,-295.0000000000017,-197.00000000000273,-239.00000000000432,,-2007.0000000000439
2021.03.22,-170.00000000000347,-287.9999999999994,-155.00000000000514,-161.00000000000003,-178.00000000000037,-140.0000000000068,-140.0000000000068,-302.99999999999727,-117.99999999999588,-56.99999999999594,-331.00000000000307,-221.00000000000364,-265.00000000000057,,-2527.000000000018
2021.03.22,-156.00000000000057,-283.000000000011,-151.9999999999966,-152.99999999999204,-178.00000000000037,-136.99999999999824,-129.00000000000134,-306.99999999998795,-132.99999999998312,-45.99999999999049,-334.0000000000032,-225.9999999999991,-269.00000000000546,,-2502.9999999999695
2021.03.22,-184.00000000000637,-276.00000000000955,-104.00000000000409,-119.99999999999788,-197.99999999999818,-118.00000000000699,-129.9999999999968,-399.0000000000009,-161.99999999999548,-19.999999999997797,-363.9999999999901,-209.00000000000318,-272.00000000000557,,-2556.0000000000127
2021.03.22,-249.00000000001032,-334.9999999999964,-153.99999999999858,-161.99999999999548,-224.000000000002,-140.0000000000068,-148.99999999999915,-395.00000000001023,-162.99999999997982,-43.999999999999595,-352.00000000000387,-216.00000000000819,-272.00000000000557,,-2855.0000000000155
2021.03.22,-209.00000000001472,-276.00000000000955,-131.99999999999878,-156.99999999999602,-246.00000000000176,-189.00000000000583,-209.00000000000364,-378.9999999999907,-176.99999999998272,-137.9999999999937,-340.0000000000034,-198.99999999999807,-263.00000000000523,,-2914.0000000000045
2021.03.22,-226.00000000001506,-300.99999999999574,-139.00000000000023,-173.9999999999964,-268.0000000000016,-197.99999999999818,-224.000000000002,-307.9999999999927,-244.9999999999841,-174.99999999999181,-307.00000000000216,-168.00000000000637,-250.0,,-2982.999999999987
2021.03.22,-214.00000000000307,-302.0000000000023,-121.00000000000443,-163.99999999999747,-289.0000000000059,-212.99999999999653,-245.0000000000063,-276.00000000001046,-296.9999999999917,-245.99999999999068,-278.99999999999636,-128.0000000000001,-230.99999999999454,,-3005.0
2021.03.22,-204.00000000000418,-302.0000000000023,-114.00000000000298,-161.00000000000003,-273.9999999999965,-190.00000000000128,-226.99999999999943,-217.00000000001296,-257.99999999998045,-202.9999999999976,-265.00000000000057,-111.0000000000042,-218.00000000000352,,-2744.000000000006
2021.03.22,-255.00000000000523,-295.0000000000008,-78.00000000000028,-127.99999999999478,-222.99999999999542,-114.00000000000298,-148.99999999999915,-326.9999999999982,-223.99999999997976,-119.00000000000244,-278.99999999999636,-81.00000000000307,-201.00000000000762,,-2472.9999999999864
2021.03.22,-347.0000000000084,-384.00000000000654,-111.00000000000554,-171.99999999999437,-161.99999999999548,-29.000000000001247,-84.0000000000063,-355.99999999999454,-205.99999999999508,-63.99999999999739,-310.99999999999284,-85.00000000000796,-219.99999999999886,,-2531.0000000000045
2021.03.22,-370.00000000000364,-339.0000000000004,-131.99999999999878,-184.99999999999073,-80.99999999999774,34.99999999999615,-41.9999999999976,-334.0000000000032,-126.99999999998823,-58.000000000002494,-265.99999999999113,-93.00000000000352,-215.0000000000034,,-2206.9999999999845
2021.03.22,-274.00000000001864,-303.9999999999932,-124.00000000000189,-206.99999999999054,-75.9999999999983,29.000000000001247,-46.00000000000159,-260.9999999999957,-133.99999999998968,-137.9999999999937,-243.99999999999977,-97.00000000000841,-245.00000000000455,,-2120.9999999999945
2021.03.22,-291.00000000001904,-446.9999999999974,-187.00000000000384,-264.999999999993,-65.00000000000395,29.999999999996696,-58.000000000002494,-312.0000000000118,-162.99999999997982,-146.00000000000168,-360.99999999999,-182.00000000000216,-317.0000000000073,,-2764.000000000016
2021.03.22,-190.00000000000128,-373.00000000000114,-151.9999999999966,-244.99999999999523,-23.00000000000635,66.99999999999484,-23.00000000000635,-288.0000000000109,-114.99999999999844,-106.99999999999044,-352.00000000000387,-177.0000000000067,-314.00000000000716,,-2292.0000000000296
2021.03.22,-322.00000000000006,-465.0000000000043,-248.00000000000378,-286.99999999999284,-26.999999999999247,20.999999999993246,-34.000000000000696,-338.99999999999864,-63.99999999999739,-53.999999999998494,-396.0000000000008,-254.0000000000049,-365.99999999999966,,-2835.0000000000077
