date,NZDCHF,empty,sum
2017.04.03,-183.99999999999528,,-183.99999999999528
2017.04.03,-194.0000000000053,,-194.0000000000053
2017.04.03,-243.99999999999977,,-243.99999999999977
2017.04.03,-212.99999999999653,,-212.99999999999653
2017.04.03,-134.0000000000008,,-134.0000000000008
2017.04.03,-175.00000000000293,,-175.00000000000293
2017.04.03,-153.99999999999858,,-153.99999999999858
2017.04.03,-175.99999999999838,,-175.99999999999838
2017.04.03,-205.99999999999508,,-205.99999999999508
2017.04.03,-207.99999999999707,,-207.99999999999707
2017.04.03,-165.00000000000404,,-165.00000000000404
2017.04.03,-192.00000000000327,,-192.00000000000327
2017.04.03,-183.99999999999528,,-183.99999999999528
2017.04.03,-151.00000000000114,,-151.00000000000114
2017.04.03,-126.99999999999933,,-126.99999999999933
2017.04.03,-75.00000000000284,,-75.00000000000284
2017.04.03,-65.00000000000395,,-65.00000000000395
2017.04.03,-27.999999999994696,,-27.999999999994696
2017.04.03,-34.000000000000696,,-34.000000000000696
2017.04.03,4.999999999999449,,4.999999999999449
2017.04.03,14.999999999998348,,14.999999999998348
2017.04.03,-87.99999999999919,,-87.99999999999919
2017.04.03,-63.00000000000195,,-63.00000000000195
2017.04.03,-14.999999999998348,,-14.999999999998348
2017.04.03,-48.000000000003595,,-48.000000000003595
2017.04.03,-121.00000000000443,,-121.00000000000443
2017.04.03,-161.99999999999548,,-161.99999999999548
2017.04.03,-165.00000000000404,,-165.00000000000404
2017.04.03,-190.00000000000128,,-190.00000000000128
2017.04.03,-180.0000000000024,,-180.0000000000024
2017.04.03,-156.99999999999602,,-156.99999999999602
2017.04.03,-141.00000000000225,,-141.00000000000225
2017.04.03,-148.0000000000037,,-148.0000000000037
2017.04.03,-122.99999999999534,,-122.99999999999534
2017.04.03,-109.00000000000354,,-109.00000000000354
2017.04.03,-149.99999999999457,,-149.99999999999457
2017.04.03,-202.0000000000022,,-202.0000000000022
2017.04.03,-173.9999999999964,,-173.9999999999964
2017.04.03,-117.99999999999588,,-117.99999999999588
2017.04.03,-119.00000000000244,,-119.00000000000244
2017.04.03,-104.00000000000409,,-104.00000000000409
2017.04.03,-80.99999999999774,,-80.99999999999774
