date,AUDUSD,NZDCHF,EURGBP,GBPCAD,empty,sum
2016.12.12,-104.00000000000409,-58.000000000002494,-82.00000000000429,-55.99999999998939,,-300.0000000000003
2016.12.12,-86.0000000000083,-43.999999999999595,-59.000000000009045,-85.99999999998609,,-275.000000000003
2016.12.12,-116.00000000000499,-19.00000000000235,-118.00000000000699,-452.99999999999227,,-706.0000000000066
2016.12.12,-156.00000000000057,-107.00000000000153,-113.00000000000753,-439.99999999999596,,-816.0000000000057
2016.12.12,-121.00000000000443,-100.99999999999554,-53.999999999998494,-136.99999999998712,,-412.99999999998556
2016.12.12,-112.000000000001,-121.99999999999989,-26.000000000003798,-180.99999999998673,,-440.99999999999136
2016.12.12,-246.00000000000176,-141.00000000000225,-111.00000000000554,-319.999999999987,,-817.9999999999966
2016.12.12,-281.00000000000904,-165.9999999999995,-161.00000000000003,-344.99999999999534,,-953.0000000000039
2016.12.12,-237.00000000000944,-190.99999999999673,-184.00000000000637,-265.0000000000041,,-877.0000000000166
2016.12.12,-212.00000000000108,-185.99999999999727,-231.99999999999886,-249.99999999999466,,-879.9999999999919
2016.12.12,-207.00000000000162,-164.99999999999292,-304.00000000000426,-354.9999999999942,,-1030.9999999999932
2016.12.12,-170.00000000000347,-202.9999999999976,-238.0000000000049,-279.99999999999136,,-890.9999999999973
2016.12.12,-230.000000000008,-256.99999999999613,-216.0000000000051,-275.9999999999874,,-978.9999999999966
2016.12.12,-204.99999999999963,-248.99999999999923,-203.00000000000873,-296.9999999999917,,-953.9999999999993
2016.12.12,-199.00000000000472,-195.9999999999962,-197.99999999999818,-278.9999999999848,,-871.9999999999839
2016.12.12,-194.0000000000053,-244.99999999999523,-208.00000000000819,-255.99999999998957,,-902.9999999999982
2016.12.12,-181.00000000000892,-232.99999999999432,-229.00000000000142,-353.0000000000033,,-996.000000000008
2016.12.12,-243.00000000000432,-302.9999999999977,-260.00000000000466,-383.0,,-1189.0000000000068
2016.12.12,-192.00000000000327,-292.00000000000335,-309.99999999999915,-380.9999999999869,,-1174.9999999999927
2016.12.12,-230.000000000008,-324.9999999999975,-253.0000000000032,-304.9999999999997,,-1113.0000000000084
2016.12.12,-241.00000000000233,-337.99999999999386,-278.00000000000045,-177.00000000000495,,-1034.0000000000016
2016.12.12,-241.00000000000233,-336.9999999999984,-287.9999999999994,-269.9999999999925,,-1135.9999999999925
2016.12.12,-338.00000000000495,-254.99999999999412,-474.00000000000773,-417.0000000000007,,-1484.0000000000075
2016.12.12,-329.00000000000153,-275.000000000003,-599.0000000000051,-470.9999999999992,,-1674.0000000000086
2016.12.12,-326.9999999999995,-307.0000000000017,-511.0000000000059,-236.99999999999832,,-1382.0000000000055
