date,GBPUSD,USDJPY,NZDUSD,CHFJPY,EURGBP,EURJPY,AUDJPY,AUDNZD,empty,sum
2016.07.04,-290.9999999999968,49.000000000006594,152.00000000000767,-49.000000000006594,-93.99999999999409,30.000000000001137,-174.99999999999716,-57.00000000001815,,-434.9999999999974
2016.07.04,-377.0000000000051,-31.999999999996476,163.00000000000205,-186.00000000000705,-97.9999999999981,-51.00000000000193,-201.99999999999818,-72.0000000000054,,-855.0000000000102
2016.07.04,-398.9999999999938,24.00000000000091,282.0000000000045,-104.00000000001342,-66.99999999999484,-87.0000000000033,-259.00000000000034,-53.00000000001415,,-663.0000000000143
2016.07.04,-417.0000000000007,2.0000000000095497,215.00000000000963,-59.00000000001171,-132.99999999999423,-40.99999999999682,-240.99999999999966,-102.00000000000209,,-775.9999999999859
2016.07.04,-483.99999999999557,50.00000000001137,147.00000000000824,-42.00000000000159,-129.00000000000134,-48.00000000000182,-224.00000000000375,-233.00000000001654,,-963.0000000000009
2016.07.04,-417.99999999998505,136.0000000000099,114.00000000000298,54.99999999999261,-151.00000000000114,131.00000000000023,-126.00000000000477,-239.00000000001143,,-497.99999999999665
2016.07.04,-394.00000000000546,73.99999999999807,195.00000000000074,-32.00000000001069,-108.99999999999244,37.00000000000614,-221.9999999999942,-188.00000000001037,,-639.0000000000082
2016.07.04,-367.99999999999056,28.000000000005798,193.00000000000983,-128.0000000000001,-95.99999999999609,-7.999999999995566,-335.9999999999985,-301.0000000000179,,-1015.9999999999832
2016.07.04,-300.99999999999574,10.000000000005116,167.00000000000603,-159.00000000000603,-41.9999999999976,-48.00000000000182,-405.00000000000114,-396.00000000001853,,-1174.0000000000095
2016.07.04,-412.9999999999967,-12.000000000000455,230.000000000008,-149.0000000000009,-83.9999999999952,-114.00000000000432,-582.9999999999984,-533.0000000000057,,-1657.9999999999939
2016.07.04,-655.9999999999899,-36.000000000001364,195.00000000000074,-281.0000000000059,-190.99999999999673,-200.9999999999934,-582.9999999999984,-567.0000000000064,,-2319.999999999991
2016.07.04,-578.9999999999961,-119.99999999999034,172.00000000000549,-328.00000000000296,-166.99999999999494,-254.0000000000049,-612.9999999999995,-555.0000000000166,,-2444.0
2016.07.04,-550.000000000006,-102.99999999999443,139.00000000000023,-320.0000000000074,-143.9999999999997,-236.0000000000042,-623.0000000000047,-636.9999999999986,,-2474.0000000000146
2016.07.04,-443.99999999999994,-162.9999999999967,216.0000000000051,-386.0000000000099,-79.99999999999119,-305.9999999999974,-617.0000000000044,-446.9999999999974,,-2226.999999999992
2016.07.04,-492.9999999999879,-104.99999999998977,191.00000000000784,-332.00000000000784,-103.99999999999298,-250.0,-582.0000000000078,-504.0000000000156,,-2178.999999999994
2016.07.04,-428.9999999999905,-110.99999999999,212.00000000000108,-297.00000000001125,-91.99999999999208,-227.99999999999443,-581.0000000000031,-456.00000000001194,,-1981.9999999999923
2016.07.04,-565.9999999999999,-104.99999999998977,302.0000000000023,-359.99999999999943,-127.99999999999478,-280.00000000000114,-652.000000000001,-443.0000000000156,,-2231.999999999999
2016.07.04,-448.9999999999883,-75.9999999999934,336.00000000000296,-303.0000000000115,-101.99999999999099,-188.99999999999295,-706.0000000000031,-489.0000000000061,,-1977.9999999999834
2016.07.04,-478.999999999985,3.0000000000001137,312.00000000000114,-201.00000000000762,-78.99999999999574,-152.00000000000102,-759.0000000000003,-682.0000000000048,,-2036.9999999999934
2016.07.04,-317.9999999999961,-80.99999999998886,298.0000000000094,-193.00000000001205,-140.99999999999113,-27.999999999991587,-783.0000000000013,-650.0000000000173,,-1895.9999999999889
2016.07.04,-441.99999999998687,-79.9999999999983,229.00000000000142,-194.00000000000261,-146.00000000000168,-121.99999999999989,-768.0000000000007,-728.0000000000175,,-2251.0000000000064
2016.07.04,-351.99999999999676,-91.99999999999875,239.0000000000003,-192.00000000000728,-129.00000000000134,-76.99999999999818,-814.9999999999977,-763.0000000000026,,-2181.0000000000023
2016.07.04,-478.999999999985,-77.99999999998875,285.00000000000193,-125.0,-337.99999999999386,102.00000000000387,-811.9999999999976,-707.0000000000132,,-2151.9999999999727
2016.07.04,-110.99999999999443,-46.999999999997044,243.00000000000432,-28.000000000005798,-85.00000000000173,117.999999999995,-698.0000000000075,-648.0000000000041,,-1256.0000000000114
2016.07.04,-268.9999999999859,-0.999999999990564,353.0000000000033,-10.000000000005116,-113.99999999999189,72.00000000000273,-781.0000000000059,-646.9999999999976,,-1396.999999999971
2016.07.04,-397.0000000000029,25.000000000005684,412.00000000000125,-64.00000000000716,-110.99999999999443,-9.000000000000341,-832.0000000000078,-655.0000000000056,,-1631.0000000000114
