date,GBPUSD,AUDUSD,NZDUSD,NZDCHF,EURNZD,AUDJPY,NZDJPY,AUDCAD,empty,sum
2018.10.29,-86.99999999999264,-45.000000000006146,-45.99999999999049,-77.00000000000485,-56.000000000011596,-51.00000000000193,-33.999999999991815,-70.99999999999883,,-466.9999999999983
2018.10.29,-89.99999999999008,-82.99999999999974,-49.99999999999449,-90.0000000000012,-23.00000000001745,-89.00000000001285,-40.99999999999682,-104.00000000000409,,-570.0000000000167
2018.10.29,-99.00000000000463,-111.00000000000554,-51.99999999999649,-84.0000000000063,-23.00000000001745,-131.00000000000023,-61.99999999999761,-106.00000000000608,,-668.0000000000343
2018.10.29,-79.99999999999119,-92.99999999999864,-34.000000000000696,-84.0000000000063,-33.00000000001635,-141.00000000000534,-61.99999999999761,-96.00000000000719,,-623.0000000000233
2018.10.29,-69.00000000000794,-74.00000000000739,-43.999999999999595,-121.99999999999989,-100.0000000000112,-146.0000000000008,-120.99999999999511,-101.00000000000664,,-777.0000000000285
2018.10.29,-113.99999999999189,-9.999999999998899,-42.999999999993044,-124.00000000000189,-123.00000000000644,-117.00000000000443,-134.00000000000034,-43.00000000000415,,-708.0000000000011
2018.10.29,-58.000000000002494,0.999999999995449,-30.999999999992145,-138.00000000000477,-176.00000000002058,-82.00000000000784,-105.00000000000398,-55.000000000005045,,-644.0000000000414
2018.10.29,-45.99999999999049,10.999999999994348,-29.999999999996696,-134.0000000000008,-152.0000000000188,-37.00000000000614,-85.99999999999852,-42.0000000000087,,-516.0000000000257
2018.10.29,-60.99999999999994,0.999999999995449,-21.999999999999797,-109.99999999999899,-73.00000000001194,14.999999999986358,-9.999999999990905,-48.000000000003595,,-308.00000000002336
2018.10.29,-55.99999999998939,-36.999999999998145,-66.99999999999484,-170.99999999999892,-203.00000000001984,-44.00000000001114,-64.99999999999773,-91.00000000000774,,-734.0000000000177
2018.10.29,-97.9999999999981,-104.99999999999955,-134.99999999999625,-206.00000000000617,-353.0000000000033,-117.00000000000443,-128.99999999999068,-168.00000000000148,,-1311.0
2018.10.29,-133.99999999998968,-112.000000000001,-120.99999999999334,-196.00000000000728,-318.00000000001825,-165.00000000000625,-143.00000000000068,-165.9999999999995,,-1355.0000000000161
2018.10.29,-119.99999999998678,-90.0000000000012,-115.99999999999389,-197.00000000000273,-347.0000000000084,-128.0000000000001,-144.99999999999602,-143.9999999999997,,-1286.9999999999889
2018.10.29,-95.00000000000064,-78.00000000000028,-134.99999999999625,-226.00000000000398,-403.00000000002,-172.00000000001125,-212.0000000000033,-148.99999999999915,,-1470.0000000000346
2018.10.29,-133.99999999998968,-167.00000000000603,-266.999999999995,-343.9999999999999,-713.0000000000081,-265.00000000000057,-364.9999999999949,-231.99999999999886,,-2486.9999999999927
2018.10.29,-121.99999999999989,-121.99999999999989,-246.99999999999721,-331.999999999999,-669.0000000000085,-194.00000000000261,-329.9999999999983,-208.00000000000819,,-2224.0000000000136
2018.10.29,-144.99999999999514,-92.00000000000318,-237.99999999999378,-328.0000000000061,-653.0000000000147,-160.0000000000108,-310.99999999999284,-202.0000000000022,,-2129.0000000000186
2018.10.29,-178.99999999999582,-39.00000000000014,-173.00000000000094,-264.0000000000087,-472.00000000000574,-70.00000000000739,-224.00000000000375,-136.00000000000279,,-1557.000000000025
2018.10.29,-182.99999999999983,-79.00000000000685,-192.99999999999872,-269.00000000000813,-458.00000000000284,-161.00000000000136,-275.99999999999625,-189.00000000000583,,-1808.00000000002
2018.10.29,-150.99999999999002,-165.9999999999995,-280.9999999999979,-351.0000000000013,-513.0000000000078,-223.0000000000132,-346.9999999999942,-226.99999999999943,,-2259.0000000000036
2018.10.29,-116.99999999998934,-180.0000000000024,-303.9999999999932,-413.0000000000078,-763.0000000000026,-234.00000000000887,-387.00000000000045,-239.0000000000003,,-2637.000000000005
2018.10.29,69.00000000000794,-120.00000000000898,-254.99999999999412,-413.0000000000078,-781.0000000000094,-186.00000000000705,-326.9999999999982,-174.00000000000747,,-2187.000000000025
2018.10.29,89.00000000000574,-47.00000000000814,-246.99999999999721,-451.0000000000014,-973.0000000000016,-163.0000000000109,-340.0000000000034,-103.00000000000864,,-2235.000000000026
2018.10.29,0.0,-63.00000000000195,-284.9999999999908,-504.9999999999999,-991.0000000000085,-269.00000000000546,-504.99999999999545,-100.00000000000009,,-2718.000000000002
2018.10.29,-148.99999999999915,-158.0000000000026,-337.99999999999386,-514.0000000000033,-1008.0000000000089,-389.00000000001,-551.0000000000019,-142.00000000000878,,-3249.000000000028
2018.10.29,-151.9999999999966,-121.00000000000443,-295.99999999999625,-474.00000000000773,-742.0000000000205,-385.0000000000051,-566.0000000000025,-94.00000000000519,,-2830.0000000000377
2018.10.29,-265.0000000000041,-106.00000000000608,-289.9999999999903,-464.00000000000887,-731.000000000015,-438.0000000000024,-616.9999999999902,-70.0000000000034,,-2981.0000000000205
2018.10.29,-279.00000000000705,-45.000000000006146,-253.99999999999866,-433.0000000000056,-590.0000000000016,-402.000000000001,-614.9999999999949,-26.000000000003798,,-2644.0000000000186
2018.10.29,-60.99999999999994,-13.00000000000745,-242.99999999999324,-452.00000000000796,-823.0000000000182,-386.0000000000099,-599.9999999999943,1.999999999990898,,-2576.00000000004
2018.10.29,-24.000000000001798,-18.0000000000069,-251.99999999999667,-475.0000000000032,-869.0000000000086,-420.0000000000017,-626.9999999999953,-53.00000000000304,,-2738.0000000000177
2018.10.29,14.000000000002899,18.999999999991246,-196.99999999999162,-419.00000000000273,-823.0000000000182,-350.0000000000085,-557.0000000000022,-70.0000000000034,,-2383.0000000000323
2018.10.29,-36.999999999998145,58.99999999999794,-173.00000000000094,-396.00000000000745,-680.0000000000139,-348.0000000000132,-561.9999999999976,43.999999999999595,,-2093.0000000000337
2018.10.29,-1.999999999990898,113.99999999999189,-114.99999999999844,-342.000000000009,-623.000000000018,-346.00000000000364,-560.9999999999928,-21.999999999999797,,-1897.0000000000207
2018.10.29,100.99999999999554,96.99999999999153,-128.99999999999022,-348.00000000000387,-523.0000000000068,-328.00000000000296,-536.0000000000014,-62.000000000006494,,-1728.0000000000248
2018.10.29,104.99999999999955,107.00000000000153,-120.99999999999334,-336.00000000000296,-512.0000000000014,-317.0000000000073,-528.9999999999964,-33.000000000005244,,-1636.0000000000055
2018.10.29,-35.00000000000725,46.00000000000159,-156.99999999999602,-373.00000000000114,-453.0000000000145,-373.00000000000466,-572.0000000000027,-60.00000000000449,,-1977.000000000029
2018.10.29,147.00000000000824,151.00000000000114,-101.99999999999099,-346.0000000000019,-323.0000000000066,-271.0000000000008,-513.9999999999958,-41.000000000002146,,-1298.9999999999889
2018.10.29,194.0000000000053,225.99999999999287,-44.99999999999504,-387.000000000004,-353.0000000000033,-191.0000000000025,-453.00000000000296,98.99999999999353,,-910.000000000016
2018.10.29,229.99999999999687,234.00000000000088,-53.999999999998494,-401.00000000000693,-403.00000000002,-218.00000000000352,-488.9999999999901,57.99999999999139,,-1043.00000000003
2018.10.29,198.99999999999363,221.99999999999997,-74.99999999999174,-403.0000000000089,-348.00000000001495,-208.00000000001262,-495.9999999999951,113.99999999999189,,-995.0000000000376
2018.10.29,140.0000000000068,236.99999999999832,-75.9999999999983,-368.00000000000165,-253.00000000001432,-149.0000000000009,-459.99999999999375,134.0000000000008,,-795.0000000000031
2018.10.29,129.00000000000134,256.99999999999613,-81.9999999999932,-353.0000000000033,-263.00000000001324,-102.00000000000387,-439.9999999999977,136.99999999999824,,-717.0000000000157
2018.10.29,174.00000000000747,275.99999999999847,-84.99999999999064,-360.0000000000048,-257.0000000000183,-42.00000000000159,-402.9999999999916,120.99999999999334,,-576.0000000000076
2018.10.29,181.9999999999933,300.0000000000003,-54.999999999993946,-353.99999999999875,-248.00000000000378,-27.000000000001023,-363.9999999999901,95.00000000000064,,-470.99999999999335
2018.10.29,212.00000000001216,305.99999999999517,-35.999999999991594,-352.00000000000784,-249.00000000001032,-20.000000000010232,-363.9999999999901,127.99999999999478,,-375.0000000000081
2018.10.29,212.99999999999653,307.99999999999716,-29.999999999996696,-324.00000000000205,-333.0000000000055,15.999999999991132,-325.9999999999934,154.99999999999403,,-321.0000000000189
2018.10.29,232.99999999999432,307.99999999999716,-19.999999999997797,-360.0000000000048,-417.0000000000007,3.0000000000001137,-337.99999999999386,143.9999999999997,,-447.0000000000059
2018.10.29,273.0000000000121,295.0000000000008,-21.999999999999797,-348.9999999999993,-403.00000000002,-29.000000000010573,-341.99999999999875,143.9999999999997,,-433.0000000000158
2018.10.30,235.00000000000742,296.9999999999917,-37.99999999999359,-357.00000000000733,-433.0000000000167,-25.000000000005684,-352.00000000000387,139.00000000000023,,-534.0000000000279
2018.10.30,234.00000000000088,309.99999999999915,-45.99999999999049,-375.9999999999986,-471.0000000000214,-1.0000000000047748,-367.999999999995,157.99999999999147,,-560.0000000000188
2018.10.30,228.00000000000597,304.9999999999997,-42.999999999993044,-369.0000000000082,-433.0000000000167,-5.000000000009663,-359.99999999999943,149.99999999999457,,-527.0000000000268
2018.10.30,215.00000000000963,274.9999999999919,-64.99999999999284,-382.00000000000455,-463.0000000000134,-43.00000000000637,-387.00000000000045,125.99999999999278,,-724.0000000000232
2018.10.30,209.9999999999991,229.00000000000142,-88.99999999999464,-421.0000000000047,-503.000000000009,-149.0000000000009,-462.99999999999386,127.99999999999478,,-1058.000000000008
2018.10.30,197.00000000000273,188.9999999999947,-119.99999999999788,-455.0000000000054,-603.0000000000202,-253.0000000000001,-557.0000000000022,88.99999999999464,,-1513.000000000034
2018.10.30,187.00000000000384,143.9999999999997,-152.99999999999204,-503.000000000009,-686.0000000000089,-356.00000000000875,-640.9999999999911,54.999999999993946,,-1953.0000000000123
2018.10.30,187.00000000000384,143.9999999999997,-139.99999999999568,-496.00000000000756,-673.0000000000125,-345.0000000000131,-637.0000000000005,52.99999999999194,,-1907.0000000000339
2018.10.30,151.00000000001222,175.99999999999838,-136.99999999999824,-481.0000000000092,-647.0000000000198,-333.0000000000126,-631.0000000000002,78.99999999999574,,-1823.0000000000337
2018.10.30,123.00000000000644,-46.00000000000159,-227.99999999999488,-560.0000000000049,-791.0000000000084,-633.0000000000098,-777.9999999999916,-114.00000000000298,,-3027.0000000000077
2018.10.30,126.0000000000039,12.999999999996348,-219.99999999999798,-568.0000000000018,-807.0000000000022,-554.000000000002,-759.9999999999909,-51.000000000001044,,-2820.9999999999955
2018.10.30,126.0000000000039,12.000000000000899,-252.99999999999213,-592.9999999999991,-855.0000000000058,-552.0000000000067,-798.9999999999924,-69.00000000000794,,-2982.999999999999
2018.10.30,143.00000000000423,4.999999999999449,-269.9999999999925,-622.0000000000003,-964.0000000000093,-599.0000000000038,-852.0000000000039,-97.00000000000264,,-3256.000000000009
2018.10.30,168.99999999999693,-30.000000000007798,-303.9999999999932,-639.0000000000007,-1006.000000000018,-630.0000000000097,-878.0000000000001,-152.00000000000767,,-3470.00000000004
2018.10.30,171.99999999999437,-52.000000000007596,-339.0000000000004,-680.9999999999983,-1117.0000000000125,-658.0000000000013,-926.9999999999925,-173.00000000000094,,-3775.000000000019
2018.10.30,198.00000000000927,-18.0000000000069,-305.99999999999517,-641.0000000000027,-1040.0000000000186,-595.0000000000131,-866.9999999999902,-150.00000000000568,,-3419.0000000000227
2018.10.30,212.00000000001216,-9.00000000000345,-293.99999999999426,-616.0000000000055,-1006.000000000018,-605.000000000004,-861.9999999999948,-148.99999999999915,,-3329.0000000000073
2018.10.30,225.99999999999287,-24.000000000001798,-296.9999999999917,-612.0000000000015,-1107.0000000000136,-635.0000000000051,-887.999999999991,-152.00000000000767,,-3489.0000000000196
2018.10.30,180.0000000000024,-94.00000000000519,-373.00000000000114,-656.000000000001,-1174.0000000000084,-702.0000000000124,-956.9999999999936,-212.00000000000108,,-3988.0000000000205
2018.10.30,371.99999999999454,-26.999999999999247,-302.9999999999977,-687.0000000000043,-1268.0000000000025,-686.000000000007,-944.0000000000026,-150.00000000000568,,-3693.0000000000246
2018.10.30,489.0000000000061,-39.00000000000014,-290.9999999999968,-701.0000000000072,-1189.0000000000177,-738.0000000000138,-957.9999999999984,-99.00000000000463,,-3526.0000000000327
2018.10.30,426.9999999999996,-59.000000000009045,-303.9999999999932,-701.0000000000072,-1170.0000000000043,-753.0000000000001,-965.0000000000034,-120.00000000000898,,-3645.0000000000264
2018.10.30,417.0000000000007,-4.000000000004,-247.99999999999267,-639.0000000000007,-1026.0000000000157,-678.0000000000115,-897.9999999999961,-134.0000000000008,,-3210.000000000021
2018.10.30,492.0000000000035,-8.000000000008,-232.99999999999432,-584.0000000000067,-1003.0000000000206,-656.0000000000059,-849.9999999999943,-170.00000000000347,,-3012.00000000003
2018.10.30,595.0000000000122,21.999999999999797,-213.99999999999199,-595.0000000000011,-1171.000000000011,-657.0000000000107,-864.9999999999949,-159.00000000000912,,-3044.000000000007
2018.10.30,666.9999999999953,3.999999999992898,-249.99999999999466,-609.000000000004,-1191.0000000000086,-676.0000000000019,-890.0000000000006,-179.00000000000693,,-3124.000000000028
2018.10.30,757.999999999992,-60.99999999999994,-275.99999999999847,-644.0000000000001,-1410.0000000000002,-746.9999999999999,-929.000000000002,-265.99999999999955,,-3575.0000000000086
