date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,NZDJPY,AUDNZD,empty,sum
2017.05.22,-61.999999999995396,-246.99999999999721,-83.9999999999952,-122.99999999999045,-29.00000000001235,-166.99999999999494,-127.00000000001043,-89.00000000000574,-34.99999999999659,-68.99999999999685,-19.999999999997797,-70.99999999999883,-204.99999999999963,-24.00000000000091,-236.99999999999832,-120.99999999999334,0.0,0.0,-93.99999999999409,-52.000000000007596,-63.00000000000239,-154.0000000000097,,-2072.9999999999977
2017.05.22,-34.000000000000696,-285.00000000000193,-86.0000000000083,-150.99999999999625,-76.99999999999375,-79.99999999999119,-143.00000000000423,-83.9999999999952,177.99999999999727,-56.99999999999594,33.000000000005244,24.000000000001798,-116.00000000000499,258.0000000000098,-339.0000000000004,310.0000000000103,183.9999999999975,102.99999999998644,-7.0000000000014495,153.00000000000313,-70.00000000000739,-198.99999999999363,,-484.9999999999838
2017.05.22,-70.99999999999883,-283.99999999999534,-89.00000000000574,-268.0000000000007,-12.000000000012001,-42.999999999993044,-201.00000000000674,-56.99999999999594,232.99999999998988,-99.00000000000463,-24.999999999997247,-56.0000000000005,-114.99999999999844,401.00000000001046,-290.9999999999968,280.0000000000136,244.99999999999034,31.999999999987594,-41.000000000002146,86.99999999999264,-187.00000000001182,-188.9999999999947,,-750.0000000000302
2017.05.22,-63.99999999999739,-275.9999999999874,-80.99999999999774,-289.0000000000015,-7.0000000000014495,-44.99999999999504,-181.9999999999933,-5.000000000010552,295.99999999999227,-95.00000000000064,-58.99999999999794,-129.9999999999968,-85.00000000000173,463.99999999999864,-261.9999999999845,202.9999999999976,344.99999999999886,75.99999999998718,-96.00000000000719,-92.00000000000318,-297.00000000001125,-144.99999999999514,,-826.0000000000081
2017.05.22,-14.999999999998348,-313.00000000000773,-112.000000000001,-239.99999999999488,4.000000000004,-5.999999999994898,-156.00000000000057,-15.00000000000945,292.99999999999216,-70.99999999999883,-36.999999999998145,-114.00000000000298,-87.99999999999919,389.00000000001,-307.99999999999716,223.00000000001762,295.0000000000017,182.99999999999983,-45.000000000006146,-76.99999999999375,-294.00000000001114,-52.000000000007596,,-555.9999999999965
2017.05.22,-36.999999999998145,-208.99999999999253,-66.00000000001049,-302.99999999999727,-41.000000000002146,-34.99999999999615,-100.99999999999554,-25.00000000000835,322.00000000000273,-75.9999999999983,-12.000000000000899,-115.99999999999389,-58.99999999999794,409.9999999999966,-207.00000000000162,218.00000000000708,327.99999999998875,165.9999999999995,-14.000000000002899,-100.0000000000112,-318.00000000001205,-52.99999999999194,,-328.00000000001666
2017.05.22,-124.99999999999733,-158.99999999999804,-45.000000000006146,-464.9999999999892,-119.00000000000244,-78.00000000000028,-114.99999999999844,-21.00000000000435,316.0000000000025,-92.99999999999864,-32.999999999994145,-115.99999999999389,-65.00000000000395,394.00000000000546,-215.99999999999397,68.00000000000139,344.99999999999886,113.99999999999189,-69.00000000000794,-97.9999999999981,-350.0000000000085,-95.00000000000064,,-1024.9999999999957
2017.05.22,-157.99999999999147,-5.999999999994898,4.999999999988347,-500.0,-234.00000000000088,-125.99999999999278,5.999999999994898,-19.999999999997797,381.0000000000002,-78.99999999999574,-36.0000000000027,-107.00000000000153,12.000000000000899,307.00000000001637,-66.99999999999484,-32.999999999994145,385.9999999999957,150.00000000000568,-65.00000000000395,-72.0000000000054,-344.99999999999886,-96.00000000000719,,-696.9999999999801
2017.05.22,-188.9999999999947,43.999999999999595,97.9999999999981,-580.9999999999889,-268.0000000000016,-143.9999999999997,-49.99999999999449,-26.999999999999247,408.00000000000125,-67.00000000000594,-31.000000000003247,-115.99999999999389,-6.0000000000060005,372.0000000000141,-166.99999999998383,59.000000000009045,411.00000000000136,190.00000000000128,-52.000000000007596,-102.00000000000209,-390.00000000000057,-52.99999999999194,,-660.9999999999492
2017.05.22,-173.9999999999964,-9.999999999998899,48.99999999998794,-501.99999999999534,-231.0000000000034,-153.99999999999858,-69.9999999999923,-4.000000000004,432.9999999999927,-83.9999999999952,-12.999999999996348,-148.0000000000037,-12.000000000000899,486.99999999999477,-153.9999999999875,153.00000000000313,459.99999999999375,184.99999999999073,-5.999999999994898,-137.9999999999937,-400.0000000000057,-42.999999999993044,,-375.999999999997
2017.05.22,-184.99999999999073,-22.999999999995246,55.99999999998939,-544.9999999999875,-147.99999999999258,-149.99999999999457,-114.99999999999844,-15.999999999993797,447.00000000000273,-121.00000000000443,-39.00000000000014,-195.9999999999962,-65.99999999999939,515.9999999999911,-140.99999999999113,170.00000000000347,456.99999999999363,69.9999999999923,-80.00000000001339,-279.00000000000705,-448.0000000000075,51.000000000001044,,-784.9999999999985
2017.05.22,-181.9999999999933,-48.000000000003595,68.99999999998573,-542.9999999999922,-156.00000000000057,-93.99999999999409,-107.99999999999699,-15.999999999993797,454.9999999999983,-112.000000000001,-75.9999999999983,-200.99999999999562,-60.00000000000449,545.0000000000159,-171.99999999999437,82.00000000000429,465.999999999994,92.00000000000318,-150.00000000000568,-295.0000000000008,-472.0000000000084,18.0000000000069,,-957.9999999999749
