date,USDCHF,GBPUSD,EURUSD,USDJPY,NZDUSD,GBPCHF,EURCHF,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURCAD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2021.04.05,-80.99999999999774,-126.99999999998823,15.00000000000945,-49.99999999999716,-70.99999999999883,-207.99999999998596,-56.000000000011596,-48.000000000003595,-168.00000000000148,34.000000000000696,-103.999999999985,-86.0000000000083,-55.00000000000682,110.00000000001009,-100.99999999999909,-79.9999999999983,-12.000000000000455,-97.00000000000264,-202.00000000001327,,-1386.9999999999782
2021.04.05,-104.99999999999955,-124.99999999999733,2.0000000000131024,-64.99999999999773,-26.000000000003798,-133.99999999998968,-41.000000000002146,-29.000000000001247,-153.99999999999858,22.999999999995246,-111.99999999999477,-47.00000000001925,-43.00000000000637,144.0000000000108,-69.00000000000261,-91.99999999999875,-31.00000000000591,-107.99999999999699,-204.00000000000418,,-1215.9999999999998
2021.04.05,-97.9999999999981,-146.99999999998602,80.00000000001339,-87.0000000000033,-26.000000000003798,-197.99999999998707,-86.0000000000083,-87.00000000000374,-174.00000000000747,41.9999999999976,-219.99999999999886,-107.00000000001265,-156.99999999998226,192.00000000001438,-171.00000000000648,-173.00000000000182,-75.00000000000284,-85.99999999999719,-293.99999999999426,,-1871.9999999999688
2021.04.05,-105.99999999999498,-117.99999999999588,78.00000000000028,-121.99999999999989,-18.0000000000069,-178.99999999999582,-95.00000000000064,-116.00000000000499,-175.00000000000293,60.00000000000449,-235.99999999999,-47.00000000001925,-198.99999999998386,162.00000000001768,-213.99999999999864,-216.00000000000819,-88.99999999999864,-65.00000000000395,-348.00000000001495,,-2042.999999999997
2021.04.05,-78.99999999999574,-113.99999999999189,90.99999999999665,-126.00000000000477,-60.99999999999994,-133.99999999998968,-79.00000000000685,-104.00000000000409,-196.00000000000728,80.00000000000229,-231.99999999999932,-9.000000000014552,-216.99999999998454,155.00000000001623,-233.0000000000041,-252.00000000000955,-146.0000000000008,-107.99999999999699,-336.00000000000296,,-2099.9999999999977
2021.04.05,-36.0000000000027,-200.99999999998454,133.00000000000534,-82.99999999999841,-120.00000000000898,-150.99999999999002,-66.99999999999484,-93.00000000000975,-221.00000000000452,55.000000000005045,-260.9999999999957,-55.000000000005045,-211.9999999999891,164.00000000000858,-228.00000000000864,-280.00000000000114,-180.00000000000682,-153.99999999999858,-322.00000000000006,,-2311.99999999998
2021.04.05,-68.00000000000139,-158.99999999999804,114.99999999999844,-63.00000000000239,-117.00000000000044,-154.99999999999403,-87.00000000001484,-102.00000000000209,-239.0000000000003,63.00000000000195,-192.99999999998363,-38.0000000000047,-168.99999999998272,164.00000000000858,-195.0000000000074,-246.00000000000932,-162.9999999999967,-163.99999999999747,-304.00000000001535,,-2120.000000000002
2021.04.05,-60.99999999999994,-184.00000000000637,104.99999999999955,-25.99999999999625,-99.00000000000463,-173.00000000000094,-68.00000000000139,-111.00000000000554,-214.00000000000307,43.999999999999595,-171.99999999999704,-43.00000000001525,-114.00000000000432,129.00000000000134,-182.00000000000216,-246.00000000000932,-114.99999999999488,-133.00000000000534,-370.00000000000364,,-2033.0000000000496
2021.04.05,-20.999999999993246,-228.99999999999034,139.00000000000023,36.99999999999193,-78.00000000000028,-158.99999999999804,-56.99999999999594,-54.00000000000959,-169.00000000000804,39.999999999995595,-132.000000000005,-152.0000000000188,-73.99999999998386,215.00000000000963,-100.00000000000853,-168.99999999999693,-49.99999999999716,-128.00000000000588,-364.00000000000875,,-1505.0000000000232
2021.04.05,-10.999999999994348,-295.0000000000008,156.00000000000057,1.9999999999953388,-140.0000000000068,-204.99999999998852,-58.000000000002494,-68.00000000000139,-219.00000000000253,14.999999999998348,-251.00000000000477,-177.00000000000495,-132.99999999998136,191.00000000000784,-155.00000000000114,-230.00000000000398,-143.00000000000068,-180.0000000000024,-310.9999999999946,,-2211.9999999999886
