date,USDCHF,GBPUSD,EURUSD,USDJPY,NZDUSD,GBPCHF,EURCHF,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURCAD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2021.04.05,-121.99999999999989,-234.00000000000088,-31.999999999987594,-69.00000000000261,-73.00000000000084,-215.99999999999397,-56.000000000011596,-56.0000000000005,-203.00000000000873,-16.0000000000049,-262.00000000000045,-173.00000000000094,-100.99999999999909,-38.99999999998904,-109.99999999999943,-103.00000000000864,-99.99999999999432,-151.00000000000114,-217.0000000000005,,-2333.000000000005
2021.04.05,-121.99999999999989,-185.99999999999727,0.0,-73.99999999999807,-70.99999999999883,-215.99999999999397,-56.000000000011596,-52.000000000007596,-202.0000000000022,-4.999999999999449,-262.00000000000045,-155.00000000001623,-74.99999999998863,104.00000000001519,-125.0,-100.00000000000853,-102.00000000000387,-153.00000000000313,-222.99999999999542,,-2075.0000000000095
2021.04.05,-124.99999999999733,-208.99999999999253,-1.999999999990898,-97.99999999999898,-121.99999999999989,-234.00000000000088,-123.00000000000644,-100.00000000000009,-239.0000000000003,16.0000000000049,-227.00000000000387,-215.00000000000963,-164.99999999999204,136.00000000000279,-178.00000000001148,-180.00000000000682,-150.00000000000568,-200.00000000000017,-331.999999999999,,-2747.000000000008
2021.04.05,-112.99999999999643,-150.00000000000568,56.99999999999594,-121.99999999999989,-55.000000000005045,-187.00000000000384,-103.00000000000864,-118.00000000000699,-201.00000000000674,41.9999999999976,-237.99999999999955,-116.00000000000499,-198.99999999998386,147.00000000000824,-221.00000000000364,-216.99999999999875,-103.9999999999992,-123.00000000000644,-365.0000000000153,,-2386.000000000043
2021.04.05,-141.99999999999767,-123.99999999999079,36.999999999998145,-153.99999999999636,-70.0000000000034,-198.99999999999363,-114.99999999999844,-126.0000000000039,-211.00000000000563,61.999999999995396,-258.99999999998613,-65.00000000000395,-227.99999999998022,146.00000000000168,-240.99999999999966,-256.0000000000002,-158.00000000000125,-119.00000000000244,-361.9999999999957,,-2583.9999999999636
2021.04.05,-78.00000000000028,-209.9999999999991,92.00000000000318,-126.99999999999534,-129.00000000000134,-173.99999999998528,-82.00000000000429,-107.00000000000153,-234.00000000000088,44.99999999999504,-269.9999999999818,-81.00000000001995,-227.00000000000387,145.00000000001734,-237.00000000000898,-290.9999999999968,-191.0000000000025,-163.99999999999747,-336.00000000000296,,-2655.9999999999864
2021.04.05,-95.00000000000064,-180.0000000000024,72.0000000000054,-125.0,-119.00000000000244,-174.99999999999181,-87.00000000001484,-104.00000000000409,-240.00000000000688,46.999999999997044,-290.9999999999968,-85.00000000000173,-234.99999999998522,152.0000000000188,-239.00000000000432,-310.0000000000023,-200.00000000000284,-173.00000000000094,-348.00000000001495,,-2735.000000000011
2021.04.05,-93.99999999999409,-243.99999999999977,89.00000000000574,-96.9999999999942,-143.9999999999997,-220.99999999998232,-93.00000000000975,-118.00000000000699,-256.0000000000007,17.000000000000348,-236.99999999999477,-92.00000000000318,-188.99999999999295,108.00000000001918,-216.00000000000819,-295.0000000000017,-177.99999999999727,-174.00000000000747,-374.0000000000077,,-2807.9999999999754
2021.04.05,-65.99999999999939,-235.99999999999176,96.99999999999153,-34.99999999999659,-119.00000000000244,-178.99999999999582,-78.00000000000028,-113.00000000000753,-218.00000000000708,33.000000000005244,-171.99999999999704,-164.00000000000858,-118.99999999999977,123.00000000000644,-184.0000000000117,-250.0,-111.99999999999477,-163.99999999999747,-392.00000000001455,,-2348.000000000022
2021.04.05,-29.999999999996696,-322.00000000000006,124.00000000001299,1.9999999999953388,-187.9999999999993,-217.0000000000005,-65.00000000000395,-75.00000000000284,-255.00000000000523,4.000000000004,-263.9999999999816,-196.0000000000184,-138.99999999998158,177.00000000000495,-158.00000000000125,-254.0000000000049,-171.00000000000648,-226.00000000000398,-387.000000000004,,-2639.9999999999936
