date,EURCHF,CADCHF,EURNZD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2018.06.04,119.00000000000244,-32.999999999994145,198.99999999999363,-24.999999999997247,-162.0000000000066,156.00000000000057,,253.99999999999864
2018.06.04,150.00000000000568,39.00000000000014,131.99999999999878,-70.99999999999883,-182.00000000000438,163.00000000000205,,231.00000000000344
2018.06.04,157.99999999999147,19.999999999997797,227.99999999998377,-43.999999999999595,-190.00000000000128,139.00000000000023,,310.9999999999724
2018.06.04,194.99999999998963,45.000000000006146,307.99999999999716,4.000000000004,-125.00000000000844,151.9999999999966,,578.9999999999851
2018.06.04,194.99999999998963,17.000000000000348,379.99999999998033,-52.99999999999194,-139.00000000000023,208.99999999999253,,608.9999999999707
2018.06.04,255.99999999998957,70.0000000000034,418.9999999999916,-52.99999999999194,-101.00000000000664,251.99999999998556,,842.9999999999716
2018.06.04,323.99999999999096,106.00000000000608,301.99999999998005,-182.99999999999983,-177.00000000000495,306.9999999999906,,678.9999999999629
2018.06.04,390.9999999999858,161.00000000000003,292.9999999999877,-168.99999999999693,-167.00000000000603,297.9999999999983,,806.9999999999688
2018.06.04,374.999999999992,126.99999999999933,265.99999999998846,-197.99999999999818,-179.00000000000693,290.9999999999968,,681.9999999999715
2018.06.04,436.9999999999985,168.99999999999693,153.9999999999875,-300.0000000000003,-270.0000000000036,322.00000000000006,,511.99999999997914
2018.06.04,414.00000000000324,146.00000000000168,78.99999999998464,-342.9999999999933,-323.0000000000066,309.99999999998806,,282.9999999999777
2018.06.04,411.0000000000058,136.00000000000279,90.99999999999665,-368.00000000000165,-325.00000000000864,334.9999999999964,,279.99999999999136
2018.06.04,434.9999999999854,143.9999999999997,200.99999999998454,-485.99999999999756,-276.00000000000955,523.9999999999911,,541.9999999999536
2018.06.04,377.0000000000051,104.00000000000409,177.99999999998929,-461.0000000000003,-289.0000000000059,478.999999999985,,387.9999999999773
2018.06.04,351.99999999999676,87.99999999999919,131.99999999999878,-473.99999999999665,-313.00000000000773,465.99999999998863,,250.99999999997902
2018.06.04,401.99999999999125,109.99999999999899,148.99999999999915,-488.999999999995,-319.0000000000026,475.99999999998755,,328.99999999997925
2018.06.04,444.9999999999843,138.00000000000477,122.99999999998423,-559.9999999999939,-334.00000000000097,534.9999999999966,,346.99999999997505
2018.06.04,367.0000000000062,89.00000000000574,130.99999999999224,-500.00000000000045,-322.00000000000006,480.99999999999807,,246.00000000000176
