date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,GBPCHF,NZDCHF,GBPJPY,empty,sum
2019.01.28,-4.999999999999449,-265.99999999998846,-83.9999999999952,18.0000000000069,9.999999999998899,-229.99999999999687,55.000000000005045,-307.9999999999927,,-809.9999999999618
2019.01.28,36.0000000000027,-249.99999999999466,-81.9999999999821,4.000000000004,-43.999999999999595,-218.99999999999142,72.0000000000054,-271.99999999999136,,-754.999999999947
2019.01.28,-12.999999999996348,-214.00000000000307,-99.99999999998899,-2.999999999997449,-56.99999999999594,-167.00000000000603,60.99999999999994,-233.0000000000041,,-725.999999999992
2019.01.28,-19.00000000000235,-231.99999999998778,-116.99999999998934,45.000000000006146,-26.000000000003798,-180.0000000000024,97.9999999999981,-108.00000000000409,,-538.9999999999856
2019.01.28,-41.9999999999976,-156.00000000000057,-136.99999999998712,2.0000000000131024,-48.99999999999905,-69.9999999999923,89.00000000000574,68.00000000001205,,-294.9999999999458
2019.01.28,-43.00000000000415,-187.99999999998818,-104.99999999999955,5.000000000010552,-71.99999999999429,-103.99999999999298,97.9999999999981,69.99999999999318,,-338.99999999997726
2019.01.28,-53.00000000000304,-116.99999999998934,-132.99999999998312,-45.99999999999049,-107.99999999999699,-18.999999999991246,141.00000000000225,162.00000000000614,,-172.99999999994589
2019.01.28,-44.99999999999504,-124.99999999999733,-139.00000000000023,-38.99999999998904,-200.99999999999562,-36.999999999998145,226.00000000000398,1.0000000000047748,,-358.9999999999667
2019.01.28,-29.999999999996696,-82.99999999998863,-104.99999999999955,-29.999999999996696,-173.00000000000094,-14.000000000002899,268.0000000000016,75.9999999999934,,-90.9999999999904
2019.01.28,-51.99999999999649,-112.000000000001,-127.99999999999478,-48.99999999998794,-187.00000000000384,-18.0000000000069,285.00000000000193,144.00000000000546,,-116.99999999998363
2019.01.28,-19.999999999997797,-116.99999999998934,-129.00000000000134,-82.00000000000429,-207.00000000000162,-62.000000000006494,336.9999999999984,79.00000000000773,,-200.99999999999477
2019.01.28,-41.9999999999976,-157.99999999999147,-184.99999999999073,-121.99999999999989,-253.99999999999866,-69.00000000000794,380.999999999998,42.00000000000159,,-406.99999999998676
