date,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,AUDNZD,empty,sum
2017.05.15,-70.99999999999883,-51.000000000001044,-79.9999999999983,0.0,-36.0000000000027,-104.00000000001519,-104.99999999999955,-70.99999999999795,-35.999999999991594,-33.000000000005244,-64.0000000000085,-90.0000000000012,0.0,0.0,-5.999999999994898,-101.99999999998965,-121.99999999999989,-51.000000000001044,-55.99999999998939,-43.99999999999693,-143.99999999998857,,-1265.9999999999804
2017.05.15,-100.99999999999554,-34.000000000000696,-93.00000000000352,94.00000000001629,-29.999999999996696,-194.0000000000053,-103.00000000000864,-58.9999999999975,-29.999999999996696,-97.00000000000264,-87.00000000000374,-70.0000000000034,135.99999999999568,196.0000000000184,93.99999999999409,-141.9999999999959,-146.99999999998602,-36.999999999998145,14.000000000002899,-95.99999999998943,-140.99999999999113,,-926.9999999999476
2017.05.15,-101.99999999997988,-76.99999999999375,-114.99999999999488,111.00000000001664,-4.000000000004,-242.00000000000887,-124.00000000001299,-49.99999999999716,-78.00000000000028,-143.9999999999997,-153.00000000000313,-68.99999999999685,104.00000000001342,182.99999999999983,1.0000000000065512,-133.99999999998613,-144.99999999999514,-92.00000000000318,-63.99999999999739,-132.99999999999557,-136.00000000000279,,-1462.9999999999354
2017.05.15,-64.99999999998174,-87.00000000001484,-146.0000000000008,124.99999999999733,-63.00000000000195,-234.00000000000088,-129.00000000000134,-27.999999999991587,-78.00000000000028,-114.00000000000298,-240.00000000000688,-60.00000000000449,104.00000000001342,209.9999999999991,102.00000000000209,-115.99999999999966,-97.9999999999981,-16.000000000016,-278.00000000000045,-74.99999999998863,-131.99999999999878,,-1417.9999999999975
2017.05.15,-40.99999999997994,-93.99999999999409,-185.99999999999284,168.0000000000126,-42.999999999993044,-209.9999999999991,-106.00000000000608,-89.9999999999892,-63.99999999999739,-84.0000000000063,-231.0000000000034,-39.999999999995595,185.00000000000227,253.99999999999866,127.00000000001043,-152.9999999999916,-157.99999999999147,-12.000000000012001,-232.99999999999432,-111.99999999999477,5.000000000010552,,-1117.9999999999068
2017.05.15,-31.999999999987594,-95.00000000000064,-141.9999999999959,212.99999999999653,-46.999999999997044,-178.00000000001148,-99.00000000000463,-31.999999999996476,-27.999999999994696,-116.00000000000499,-201.00000000000674,-65.99999999999939,86.00000000001273,260.0000000000158,25.00000000000835,-104.99999999998977,-177.99999999998929,-46.999999999997044,-201.99999999999108,-129.99999999999545,-22.999999999995246,,-1136.999999999924
2017.05.15,-47.99999999998139,-51.000000000001044,-224.99999999999432,182.0000000000155,4.999999999999449,-178.99999999999582,-124.99999999999733,-140.00000000000057,-27.999999999994696,-123.00000000000644,-225.00000000000853,-97.9999999999981,127.00000000000955,279.00000000000705,-2.999999999997449,-261.99999999998624,-273.9999999999965,-34.000000000000696,-187.99999999998818,-210.99999999999852,-21.999999999988695,,-1642.9999999999027
2017.05.15,-78.00000000000028,-86.0000000000083,-245.9999999999951,151.9999999999966,-17.000000000000348,-300.99999999999574,-158.99999999999804,-115.99999999999966,-105.99999999999498,-180.99999999999784,-324.00000000000205,-78.99999999999574,218.9999999999941,248.00000000000378,41.000000000002146,-231.99999999999932,-173.99999999998528,-76.0000000000094,-359.99999999998255,-225.9999999999991,5.999999999994898,,-2094.999999999972
2017.05.15,-72.99999999998974,-96.00000000000719,-292.0000000000016,136.00000000000279,-14.000000000002899,-260.0000000000158,-114.99999999999844,-135.99999999999568,-83.9999999999952,-228.00000000000597,-296.0000000000074,-43.00000000000415,319.0000000000168,251.00000000000122,-119.00000000000244,-240.99999999999966,-123.99999999999079,-222.99999999999542,-366.999999999984,-310.0000000000023,0.0,,-2314.999999999978
2017.05.15,-70.99999999999883,-66.00000000001049,-277.000000000001,97.00000000001374,1.0000000000065512,-258.0000000000027,-138.0000000000159,-152.00000000000102,-108.99999999999244,-256.0000000000007,-334.00000000000097,-48.99999999999905,300.00000000001137,184.00000000000637,-191.00000000000784,-258.99999999998613,-103.99999999999298,-251.00000000000122,-407.99999999998613,-328.9999999999935,-1.0000000000065512,,-2670.999999999959
2017.05.15,-129.99999999998568,-60.99999999999994,-212.0000000000033,43.00000000001525,-36.0000000000027,-312.00000000000114,-150.00000000000568,-99.99999999999432,-120.99999999999334,-228.00000000000597,-304.00000000000426,-46.00000000000159,263.00000000000523,168.0000000000126,-133.99999999998968,-208.99999999998897,-86.99999999999264,-218.00000000000708,-357.99999999999164,-287.9999999999967,5.000000000010552,,-2514.9999999999213
2017.05.15,-115.99999999998278,-63.000000000013046,-210.99999999999852,-161.99999999999548,36.999999999998145,-302.0000000000023,-148.00000000001478,-96.9999999999942,-232.99999999999432,-224.9999999999974,-335.0000000000075,-24.000000000001798,277.9999999999916,-70.99999999999883,-72.0000000000054,-198.99999999999807,-18.999999999991246,-217.0000000000005,-438.9999999999894,-278.99999999999636,46.0000000000127,,-2850.9999999999795
2017.05.15,-206.99999999997942,-59.000000000009045,-228.9999999999992,-265.0000000000041,53.999999999998494,-338.0000000000161,-114.0000000000141,-146.0000000000008,-271.9999999999945,-195.00000000000074,-302.0000000000023,-14.999999999998348,359.00000000000887,-190.00000000000128,2.999999999997449,-239.99999999999488,219.99999999999798,-168.0000000000126,-375.9999999999986,-289.0000000000015,39.00000000001125,,-2730.000000000013
