date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPJPY,EURJPY,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.05.03,-78.00000000000028,-100.0000000000112,-106.99999999999044,-86.0000000000083,-90.0000000000012,-280.00000000000244,-18.000000000000682,-40.00000000000669,-72.0000000000054,-326.9999999999995,-27.000000000015234,-34.99999999999659,-202.9999999999976,-598.999999999994,0.0,-111.0000000000042,-380.00000000000966,,-2553.000000000043
2021.05.03,-88.99999999999464,37.99999999998249,-43.999999999999595,-75.00000000000284,-48.000000000003595,-87.00000000000374,147.99999999999613,49.99999999999449,3.999999999992898,-69.9999999999923,163.99999999998727,50.99999999998772,-171.99999999999437,-448.000000000004,37.9999999999967,-31.00000000000591,-136.0000000000099,,-707.0000000000732
2021.05.03,-93.99999999999409,36.999999999998145,-57.99999999998029,-43.00000000001525,-64.0000000000085,-100.99999999999554,146.0000000000008,98.99999999999353,7.0000000000014495,14.999999999998348,183.9999999999975,68.9999999999884,-140.0000000000068,-618.0000000000074,97.99999999999898,-22.999999999996135,-61.99999999999761,,-548.0000000000244
2021.05.03,-107.99999999999699,99.99999999998899,-55.99999999998939,-12.000000000012001,-46.00000000000159,-82.00000000000429,236.99999999999477,202.0000000000022,68.99999999999685,28.000000000005798,331.99999999999363,80.99999999998886,-127.99999999999478,-605.9999999999955,186.00000000000705,13.999999999995794,-55.00000000000682,,155.9999999999726
2021.05.03,-117.00000000000044,86.99999999999264,-49.99999999999449,-12.000000000012001,-41.9999999999976,-70.99999999999883,210.99999999999852,215.99999999999397,87.99999999999919,36.999999999998145,290.9999999999968,73.99999999998386,-123.00000000000644,-625.0000000000089,188.0000000000024,-11.00000000000989,-64.99999999999773,,75.99999999993918
2021.05.03,-105.99999999999498,95.999999999985,-29.999999999996696,11.999999999989797,-46.00000000000159,-66.99999999999484,210.99999999999852,229.99999999999687,85.00000000000173,48.000000000003595,292.0000000000016,70.99999999999795,-106.00000000000608,-607.0000000000019,195.99999999999795,-11.00000000000989,-57.00000000000216,,210.99999999996487
2021.05.03,-170.99999999999892,49.99999999999449,-97.9999999999981,-2.999999999997449,-58.99999999999794,-83.9999999999952,198.99999999999807,243.99999999999977,114.00000000000298,79.00000000000685,317.99999999998363,62.99999999998818,-79.00000000000685,-588.9999999999951,198.0000000000075,30.000000000001137,-32.00000000001069,,179.99999999998238
2021.05.03,-144.99999999999514,190.99999999998562,-9.999999999998899,73.99999999999629,66.99999999999484,50.0000000000056,256.9999999999908,287.9999999999994,217.99999999999596,175.00000000000293,508.99999999998613,193.9999999999884,-55.99999999998939,-375.9999999999986,308.00000000000693,180.99999999999739,131.9999999999908,,2056.999999999959
2021.05.03,-139.00000000000023,235.99999999999176,-13.999999999980695,59.99999999999339,66.99999999999484,36.0000000000027,253.0000000000001,290.00000000000136,212.99999999999653,170.99999999999892,515.9999999999911,193.9999999999884,-79.99999999999119,-418.9999999999916,290.9999999999968,191.99999999999307,128.99999999999068,,1995.9999999999761
2021.05.03,-147.99999999999258,176.99999999998272,-32.999999999994145,24.000000000001798,13.999999999991797,-14.000000000002899,289.0000000000015,265.99999999999955,168.00000000000148,128.00000000000588,555.9999999999832,234.99999999998522,-106.99999999999044,-506.9999999999908,302.99999999999727,155.9999999999917,96.9999999999942,,1603.9999999999654
2021.05.03,-190.00000000000128,125.99999999998168,-86.99999999999264,-85.00000000000173,-26.999999999999247,-43.999999999999595,272.99999999999613,248.00000000000378,161.00000000000003,124.00000000000189,532.0000000000107,193.9999999999884,-139.00000000000023,-507.9999999999973,260.0000000000051,123.99999999999523,66.99999999999307,,1028.999999999984
2021.05.03,-207.99999999999707,95.00000000000064,-117.99999999999588,-145.00000000001734,-51.000000000001044,-4.000000000004,275.99999999999625,222.99999999999542,158.99999999999804,192.99999999999872,566.0000000000025,210.00000000000796,-191.00000000000784,-326.0000000000041,243.0000000000092,135.99999999999568,164.99999999999204,,1222.999999999969
2021.05.03,-204.99999999999963,104.99999999999955,-106.99999999999044,-154.0000000000097,-39.00000000000014,-26.999999999999247,310.0000000000023,209.00000000000364,164.99999999999292,165.00000000000404,591.0000000000082,239.00000000000432,-211.99999999998997,-429.99999999999704,243.99999999999977,152.9999999999916,149.99999999999147,,1157.0000000000114
2021.05.03,-197.00000000000273,148.99999999999915,-90.99999999999665,-99.00000000000463,-7.0000000000014495,-10.999999999994348,356.9999999999993,241.00000000000233,192.99999999999872,167.00000000000603,700.9999999999934,295.99999999999227,-161.99999999999548,-402.9999999999978,311.9999999999976,221.9999999999942,176.9999999999925,,1844.9999999999825
2021.05.03,-224.9999999999974,125.99999999998168,-119.99999999998678,-124.99999999999733,-8.000000000008,17.000000000000348,375.0,226.99999999999943,205.99999999999508,191.00000000000784,711.9999999999891,311.9999999999834,-180.99999999998673,-326.9999999999884,311.00000000000705,246.9999999999999,225.9999999999991,,1963.9999999999982
2021.05.03,-224.9999999999974,122.99999999998423,-130.99999999999224,-138.0000000000159,-17.000000000000348,-31.000000000003247,372.99999999999045,232.99999999999432,195.9999999999962,163.00000000000205,730.9999999999945,317.0000000000073,-174.00000000000747,-425.0000000000087,317.99999999999784,243.99999999999977,188.99999999999295,,1745.9999999999345
