date,USDCHF,GBPUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.03.18,-5.999999999994898,-14.999999999987246,-27.999999999991587,-5.000000000010552,-21.00000000000435,-24.000000000001798,-29.999999999996696,-24.000000000001798,-40.99999999999682,-9.999999999998899,0.0,-35.00000000002501,-58.000000000002494,-35.00000000000725,0.0,-69.00000000000794,-45.99999999999049,-17.000000000010118,-34.99999999999659,-0.999999999995449,-53.999999999998494,-22.999999999995246,,-577.0000000000136
2019.03.18,-19.999999999997797,13.000000000018552,-27.000000000001023,41.000000000002146,-11.00000000000545,-17.999999999995797,1.0000000000065512,-31.000000000003247,-45.000000000001705,-45.99999999999049,29.000000000001247,-22.00000000001978,-70.0000000000145,-73.99999999999629,21.99999999999136,-151.9999999999966,-121.99999999999989,3.0000000000001137,-34.000000000006025,-2.000000000002,-52.000000000007596,-31.000000000003247,,-648.0000000000216
2019.03.18,-15.00000000000945,-9.999999999998899,-48.99999999999238,48.99999999998794,14.000000000002899,9.999999999998899,-83.00000000001084,-8.999999999992347,-39.00000000000148,-45.99999999999049,-24.000000000001798,-64.00000000002137,-112.000000000001,-163.00000000000205,-27.000000000001023,-156.00000000000057,-124.99999999999733,-7.000000000005002,-6.000000000000227,-29.999999999996696,-23.00000000000635,-39.999999999995595,,-955.0000000000352
2019.03.18,39.999999999995595,-42.999999999993044,-92.99999999998931,53.999999999998494,0.999999999995449,12.000000000000899,-109.00000000000354,-11.999999999989797,-51.00000000000193,4.999999999999449,-40.00000000000669,-162.00000000000614,-153.00000000000313,-127.99999999999478,-5.000000000009663,-42.0000000000087,-70.99999999999883,-40.00000000000625,-43.00000000000637,14.000000000002899,-25.00000000000835,-45.000000000006146,,-936.0000000000399
2019.03.18,14.000000000002899,-18.999999999991246,-105.99999999999454,32.999999999994145,-51.000000000001044,-39.00000000000014,-87.99999999999919,-26.999999999999247,-66.0000000000025,20.0000000000089,-23.00000000000635,-153.00000000002,-109.00000000000354,-85.00000000000173,24.999999999991473,-19.999999999997797,-48.99999999998794,-57.00000000000216,-88.99999999999864,31.000000000003247,-75.00000000000284,-51.000000000001044,,-984.0000000000093
2019.03.18,14.000000000002899,3.0000000000196536,-87.0000000000033,21.999999999988695,-84.0000000000063,-60.00000000000449,-38.0000000000047,-28.000000000005798,-57.00000000000216,39.00000000000014,22.999999999995246,-62.00000000001182,-42.0000000000087,79.99999999999119,28.999999999996362,31.000000000003247,-38.99999999998904,-40.00000000000625,-94.99999999999886,67.00000000000594,-97.9999999999981,-72.99999999998974,,-495.0000000000259
2019.03.18,26.999999999999247,48.000000000003595,-109.99999999999943,2.999999999997449,-34.000000000000696,-4.000000000004,-9.999999999998899,-36.999999999998145,-76.99999999999818,9.00000000000345,29.000000000001247,-96.00000000000364,-39.00000000001125,2.999999999997449,31.999999999996476,-56.000000000011596,-144.99999999999514,-76.00000000000762,-55.999999999997385,26.999999999999247,-57.00000000000705,-109.00000000000354,,-728.0000000000384
2019.03.18,18.999999999991246,48.000000000003595,-101.99999999998965,-35.00000000000725,-50.0000000000056,10.999999999994348,-7.0000000000014495,-44.99999999998394,-82.99999999999841,24.000000000001798,56.0000000000005,-68.00000000001205,49.99999999999449,66.99999999999484,75.9999999999934,-35.00000000000725,-173.99999999998528,-99.00000000000375,-52.99999999999727,-5.999999999994898,22.999999999995246,-114.99999999999844,,-498.0000000000158
2019.03.18,21.00000000000435,51.000000000001044,-135.99999999999568,-43.00000000001525,-87.00000000000374,4.000000000004,4.999999999988347,-55.000000000005045,-114.99999999999488,42.0000000000087,66.99999999999484,-103.00000000000864,95.00000000000064,119.00000000000244,106.99999999999932,-6.000000000017103,-168.99999999999693,-128.0000000000001,-84.00000000000318,23.00000000000635,26.999999999999247,-148.99999999999915,,-514.0000000000305
2019.03.18,5.999999999994898,13.000000000018552,-155.00000000000114,-135.00000000001845,-250.00000000000577,-97.9999999999981,-7.0000000000014495,-99.00000000000463,-153.0000000000058,87.00000000000374,78.00000000000028,-176.00000000001614,120.99999999999334,231.99999999998778,167.99999999999216,76.99999999999375,-136.99999999998712,-202.0000000000124,-206.00000000000307,67.00000000000594,-45.000000000006146,-251.00000000000122,,-1065.0000000000712
2019.03.18,-43.999999999999595,7.0000000000014495,-128.99999999999068,-175.99999999999838,-309.99999999999915,-178.99999999999582,-1.0000000000065512,-89.00000000000574,-165.99999999999682,202.0000000000022,83.9999999999952,-162.00000000000614,144.99999999999514,522.0000000000002,212.99999999999386,303.9999999999932,-2.999999999997449,-204.00000000000773,-268.0000000000007,197.99999999999818,-119.00000000000244,-255.00000000000523,,-430.0000000000331
2019.03.18,-49.99999999999449,-30.999999999981043,-100.99999999999909,-196.0000000000184,-312.00000000000114,-224.000000000002,21.999999999988695,-82.00000000000429,-165.00000000000625,259.0000000000092,95.99999999999609,-152.00000000001523,179.99999999998016,709.9999999999884,209.99999999999375,417.99999999998505,133.00000000000534,-205.0000000000125,-299.99999999999716,258.9999999999981,-172.00000000000549,-208.99999999999253,,87.99999999991527
