date,USDCHF,USDCAD,AUDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,empty,sum
2015.08.31,-176.0000000000095,-42.999999999993044,-9.00000000000345,-224.000000000002,-277.000000000001,-140.0000000000068,-204.99999999999963,-67.9999999999903,-30.0000000000189,-130.99999999997004,-63.99999999999295,-90.00000000001229,-39.999999999995595,-102.99999999998644,-46.00000000000648,-47.99999999998761,,-1693.999999999976
2015.08.31,-236.00000000000287,-58.000000000002494,48.99999999999905,-322.00000000000006,-167.0000000000016,-131.00000000000333,-79.99999999999119,-109.99999999999899,-22.0000000000109,25.999999999992696,-27.000000000015234,-128.000000000017,69.00000000000794,-195.9999999999962,-33.00000000000125,48.00000000000182,,-1318.0000000000396
2015.08.31,-201.00000000000674,-157.99999999999147,-114.99999999999844,-324.9999999999975,-114.99999999999488,-53.00000000000304,-175.99999999999838,-143.9999999999997,-197.00000000000273,-632.9999999999725,-21.000000000015007,-278.00000000000045,-459.99999999999375,-811.9999999999905,-224.00000000000375,-324.99999999998863,,-4236.999999999957
2015.08.31,-160.00000000000458,-293.99999999999426,-173.00000000000094,-432.0000000000102,-167.0000000000016,-185.00000000000182,-281.99999999999335,-283.99999999999534,-422.00000000001125,-835.9999999999701,-128.99999999999068,-747.0000000000088,-914.9999999999991,-1386.9999999999827,-448.99999999999807,-486.99999999999477,,-7348.999999999958
2015.08.31,-74.00000000000739,-279.99999999999136,-143.00000000000423,-388.0000000000106,-144.99999999999602,-207.00000000000162,-256.99999999999613,-287.9999999999994,-443.9999999999777,-791.9999999999927,-96.00000000000364,-750.0000000000063,-778.9999999999964,-953.9999999999882,-444.0000000000026,-480.99999999999454,,-6521.999999999969
2015.08.31,-35.00000000000725,-336.00000000000296,-134.99999999999625,-418.0000000000073,-46.00000000000648,-240.00000000000688,-288.9999999999948,-319.99999999999807,-513.9999999999923,-750.9999999999906,-125.0,-866.0000000000113,-927.9999999999955,-814.999999999988,-435.0000000000023,-435.99999999999284,,-6688.999999999993
2015.08.31,-38.0000000000047,-337.99999999999386,-168.00000000000148,-504.9999999999999,-67.00000000000728,-251.00000000000122,-337.99999999999386,-360.9999999999891,-516.0000000000053,-937.9999999999721,-212.99999999999386,-910.9999999999951,-1126.0000000000048,-896.9999999999923,-459.0000000000032,-491.9999999999902,,-7617.999999999948
2015.08.31,-3.0000000000085514,-275.000000000003,-178.00000000000037,-504.9999999999999,-73.0000000000075,-335.0000000000075,-398.9999999999938,-366.9999999999951,-518.0000000000184,-980.9999999999875,-201.99999999999818,-992.0000000000151,-1173.0000000000018,-1200.0000000000011,-531.0000000000059,-583.999999999989,,-8316.000000000033
2015.08.31,-16.0000000000049,-299.00000000000483,-175.99999999999838,-487.99999999999955,-70.99999999999795,-326.0000000000041,-407.99999999999727,-354.9999999999942,-579.9999999999806,-956.0000000000013,-217.00000000001296,-977.0000000000057,-1137.9999999999945,-2174.9999999999936,-492.999999999995,-542.9999999999922,,-9217.999999999976
2015.08.31,-35.00000000000725,-409.99999999999926,-167.00000000000603,-533.0000000000057,-138.9999999999958,-321.0000000000046,-335.99999999999187,-347.9999999999928,-823.9999999999803,-1059.00000000001,-183.9999999999975,-1188.0000000000114,-1184.9999999999916,-2123.9999999999927,-612.9999999999995,-563.999999999993,,-10029.999999999978
