date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,EURCAD,EURAUD,EURNZD,AUDJPY,NZDJPY,NZDCAD,empty,sum
2015.03.02,-75.9999999999983,-14.000000000002899,-42.00000000000159,-63.99999999999739,-42.0000000000087,-144.0000000000108,-39.00000000001125,-150.00000000000568,-39.00000000000014,-101.00000000000664,-58.000000000002494,-4.999999999999449,-109.00000000000887,-21.999999999988695,-35.00000000000725,-73.00000000001194,-68.00000000001205,-66.99999999999307,-50.0000000000056,,-1198.000000000073
2015.03.02,-85.00000000000173,-14.000000000002899,-4.0000000000048885,-99.00000000000463,-4.999999999999449,-160.00000000000458,-46.0000000000127,-138.00000000000523,-39.00000000000014,-65.00000000000395,-112.000000000001,-4.000000000004,-99.99999999999432,16.000000000016,46.999999999997044,-79.00000000000685,-48.00000000000182,-104.99999999998977,-132.0000000000099,,-1172.000000000035
2015.03.02,-136.99999999999824,-177.99999999998929,-107.00000000001353,-156.00000000000057,-179.00000000000693,-217.0000000000005,-26.999999999999247,-88.00000000000807,-67.00000000000594,-65.00000000000395,-53.00000000000304,-68.99999999999685,-153.99999999999636,-102.99999999998644,65.00000000000395,28.999999999990145,-182.00000000000216,-36.99999999999193,-52.000000000007596,,-1777.0000000000161
2015.03.02,-153.00000000000313,-208.00000000000819,-152.00000000000102,-180.0000000000024,-211.00000000000563,-107.99999999999699,59.99999999999339,-73.0000000000075,-63.00000000000195,19.999999999997797,-3.999999999992898,-34.000000000000696,-90.00000000000341,-144.99999999999514,139.00000000000023,-58.000000000002494,-185.00000000000227,-51.9999999999925,-27.00000000001035,,-1524.0000000000355
2015.03.02,-224.9999999999974,-202.9999999999976,-254.0000000000049,-218.00000000000708,-224.000000000002,-214.00000000000307,4.999999999988347,-39.00000000000148,-92.00000000000318,-52.000000000007596,-103.99999999999298,-36.0000000000027,-287.00000000000614,-110.99999999999443,39.999999999995595,-131.00000000001444,-132.000000000005,-182.00000000000216,-97.00000000000264,,-2556.0000000000605
2015.03.02,-223.00000000000654,-168.99999999999693,-222.0000000000084,-212.99999999999653,-241.00000000000233,-231.0000000000034,-22.0000000000109,-58.9999999999975,-97.9999999999981,-4.000000000004,-73.00000000000084,-12.000000000000899,-253.99999999999068,-58.99999999998684,141.99999999999767,19.999999999997797,-170.0000000000017,-89.9999999999892,-16.0000000000049,,-1994.0000000000045
2015.03.02,-213.00000000000762,-143.00000000000423,-187.00000000001182,-180.0000000000024,-242.00000000000887,-228.00000000000597,-52.000000000007596,-97.99999999999898,-156.00000000000057,-11.00000000000545,-80.00000000000229,7.0000000000014495,-217.9999999999893,-107.99999999999699,221.99999999998886,54.99999999998284,-204.00000000000773,-71.99999999998852,9.999999999998899,,-1898.0000000000662
2015.03.02,-219.99999999999798,-140.99999999999113,-162.00000000000614,-144.99999999999514,-232.00000000000998,-195.9999999999962,-65.00000000000395,-114.00000000000432,-153.00000000000313,-52.000000000007596,-66.99999999999484,15.999999999993797,-112.99999999999955,-109.99999999998789,158.99999999999804,66.99999999999484,-194.00000000000261,-49.99999999999716,39.00000000000014,,-1733.0000000000107
2015.03.02,-243.00000000000432,-90.99999999999665,-176.00000000000193,-133.00000000000534,-264.0000000000087,-221.00000000000452,-126.0000000000039,-143.00000000000068,-177.00000000000495,-17.000000000000348,-49.99999999999449,39.999999999995595,-112.99999999999955,-69.9999999999923,241.99999999998667,144.99999999999514,-214.00000000001285,-4.9999999999954525,54.999999999993946,,-1561.0000000000548
2015.03.02,-282.0000000000045,-103.00000000000864,-190.00000000001194,-144.99999999999514,-357.00000000000733,-238.0000000000049,-173.00000000000094,-130.00000000000966,-218.00000000000708,9.999999999998899,-5.999999999994898,68.00000000000139,-106.99999999999932,-95.00000000000064,380.9999999999869,337.99999999999386,-310.0000000000023,61.00000000000705,196.99999999999162,,-1299.0000000000675
2015.03.02,-279.00000000000705,-107.99999999999699,-196.00000000001216,-131.99999999999878,-351.0000000000013,-164.99999999999292,-144.0000000000108,-115.99999999999966,-168.99999999999693,105.99999999999498,46.999999999997044,97.9999999999981,-26.00000000001046,-48.99999999998794,536.9999999999875,418.9999999999916,-307.00000000000216,94.0000000000083,216.99999999998943,,-524.0000000000499
2015.03.02,-224.000000000002,-78.00000000000028,-179.00000000000205,-129.00000000000134,-409.0000000000038,-129.00000000000134,-114.99999999999844,-61.00000000000705,-163.99999999999747,164.99999999999292,80.00000000000229,107.00000000000153,-44.999999999987494,-80.99999999999774,624.9999999999867,438.9999999999894,-386.0000000000099,109.00000000000887,230.99999999999233,,-244.00000000003485
2015.03.02,-202.0000000000022,-53.999999999998494,-179.00000000000205,-82.00000000000429,-404.0000000000044,-69.00000000000794,-94.00000000001629,-17.000000000010118,-162.0000000000066,231.99999999999886,124.99999999999733,114.00000000000298,-30.000000000001137,-75.00000000000284,753.0000000000036,529.999999999986,-380.00000000000966,154.00000000001057,291.99999999999227,,451.9999999999254
2015.03.02,-200.00000000000017,-48.99999999998794,-177.0000000000067,-70.99999999999883,-403.0000000000089,-99.00000000000463,-118.00000000001809,-28.999999999996362,-156.00000000000057,161.00000000000003,92.99999999999864,117.00000000000044,-68.9999999999884,-51.99999999998539,635.0000000000077,465.99999999998863,-367.00000000000443,108.00000000000409,257.9999999999916,,47.999999999990564
