names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,10,"['AUDJPY', 'USDJPY', 'CADJPY', 'EURAUD']",100.0,-0.9,B
GBPUSD,20,"['GBPAUD', 'AUDCHF', 'NZDCHF']",100.0,-1.0,B
USDCAD,15,"['AUDCHF', 'EURAUD', 'AUDCAD', 'NZDUSD']",80.0,0.956,S
AUDUSD,20,['EURCAD'],80.0,0.494581390831391,S
NZDUSD,20,"['EURJPY', 'CADCHF', 'NZDCAD']",80.0,0.26,S
EURCHF,20,"['EURJPY', 'NZDUSD']",100.0,-0.9855151515151515,B
CHFJPY,15,"['CADCHF', 'USDCHF', 'NZDCAD', 'EURCAD']",100.0,-0.05160966810966812,B
CADCHF,10,['NZDUSD'],80.0,-0.9719999999999999,B
GBPJPY,10,['EURUSD'],100.0,1.0,S
GBPCAD,10,"['GBPCAD', 'GBPJPY']",80.0,0.42224603174603176,S
GBPAUD,20,['AUDNZD'],80.0,-0.27996764346764347,B
EURJPY,50,['EURUSD'],100.0,0.31932885123304655,S
EURNZD,10,"['CADCHF', 'EURCAD', 'NZDCAD']",100.0,0.056738095238095226,S
NZDJPY,15,"['CADCHF', 'USDCHF', 'NZDCAD', 'EURCAD']",100.0,-0.043753968253968226,B
AUDNZD,10,"['GBPJPY', 'GBPCAD']",100.0,-0.376031746031746,B
