date,USDCHF,GBPUSD,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,NZDJPY,AUDNZD,empty,sum
2020.01.20,-21.999999999999797,-1.999999999990898,-52.99999999999194,-20.0000000000089,-28.999999999990145,-19.00000000001345,-18.999999999991246,-46.999999999997044,-155.00000000000114,-119.00000000000244,-57.99999999998029,-49.99999999999716,-161.00000000001114,-0.999999999990564,-2.999999999997449,,-757.9999999999636
2020.01.20,23.00000000000635,-34.99999999998504,-58.000000000002494,-33.000000000005244,-12.999999999996348,12.999999999996348,2.0000000000095497,-29.000000000001247,-98.00000000001319,-131.99999999999878,-90.99999999999665,-16.000000000005343,-192.00000000001438,-9.000000000000341,79.99999999999119,,-588.0000000000157
2020.01.20,16.0000000000049,8.000000000008,-82.00000000000429,-77.00000000000485,-42.999999999993044,-9.999999999998899,31.00000000000591,-31.000000000003247,-145.00000000001023,-174.00000000000747,-152.99999999998093,-60.000000000002274,-226.99999999999943,8.000000000009777,131.99999999999878,,-806.9999999999773
2020.01.20,53.00000000000304,22.0000000000109,-62.000000000006494,-98.0000000000092,-91.99999999999208,48.000000000003595,60.000000000002274,22.999999999995246,-213.00000000002228,-198.99999999999363,-153.9999999999875,-106.00000000000875,-124.00000000001299,82.99999999999841,116.99999999998934,,-642.0000000000301
2020.01.20,35.00000000000725,35.00000000000725,-82.00000000000429,-93.00000000000975,-95.99999999999609,78.00000000000028,67.00000000000728,2.000000000002,-240.0000000000091,-222.99999999999542,-133.99999999998968,-168.00000000000637,-209.9999999999991,94.0000000000083,85.99999999998609,,-848.9999999999912
2020.01.20,29.000000000001247,5.000000000010552,-90.99999999999665,-84.0000000000063,-67.9999999999903,41.99999999998649,93.00000000000352,-9.00000000000345,-225.00000000002274,-212.99999999999653,-104.99999999999955,-148.00000000001035,-212.00000000001216,90.00000000000341,121.99999999999989,,-774.0000000000329
2020.01.20,17.000000000000348,2.0000000000131024,-92.00000000000318,-96.00000000000719,-102.99999999999754,49.99999999999449,84.00000000000318,-9.999999999998899,-153.00000000002,-171.00000000001003,-167.9999999999904,-118.99999999999977,-155.00000000001623,81.00000000000307,109.00000000000354,,-724.0000000000256
2020.01.20,12.000000000000899,17.000000000000348,-79.99999999999119,-82.99999999999974,-88.99999999999464,48.000000000003595,106.00000000000875,-19.999999999997797,-171.99999999999704,-161.99999999999548,-170.99999999998784,-124.00000000000944,-173.00000000000094,85.99999999999852,110.99999999999443,,-693.9999999999675
2020.01.20,39.00000000000014,11.00000000000545,-89.99999999999008,-113.00000000000753,-89.99999999999008,75.99999999998718,87.0000000000033,-9.00000000000345,-179.00000000000205,-160.00000000000458,-256.99999999999613,-143.00000000000068,-121.99999999999989,118.00000000000921,124.99999999999733,,-706.9999999999918
2020.01.20,19.999999999997797,19.00000000001345,-102.00000000000209,-99.00000000000463,-78.99999999999574,65.00000000000395,112.99999999999955,-21.999999999999797,-180.00000000000682,-182.0000000000155,-210.99999999998343,-146.0000000000008,-185.00000000001293,103.9999999999992,143.00000000000423,,-742.0000000000035
