Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,USDCHF,10,['EURJPY'],80.0,-0.4285555555555557,S
1,EURUSD,10,['EURCHF'],80.0,-1.0,S
2,USDJPY,20,"['CHFJPY', 'AUDNZD']",80.0,1.0,B
3,AUDUSD,50,"['AUDJPY', 'NZDJPY', 'CADJPY', 'AUDCAD', 'EURJPY', 'GBPAUD']",80.0,0.6834841269841272,B
4,CADCHF,15,"['CHFJPY', 'USDJPY', 'AUDCAD', 'NZDCAD']",100.0,0.98,B
5,EURCAD,30,"['CHFJPY', 'AUDCAD', 'EURCAD', 'NZDCAD', 'CADCHF']",80.0,-1.0,S
6,CADJPY,10,"['AUDCHF', 'AUDNZD', 'AUDCAD', 'EURNZD', 'CHFJPY', 'NZDCHF']",80.0,1.0,B
7,AUDJPY,10,"['USDJPY', 'EURGBP', 'CADJPY', 'NZDUSD', 'GBPAUD', 'GBPCAD', 'AUDCHF']",80.0,0.96,B
8,NZDJPY,10,"['AUDJPY', 'CHFJPY']",80.0,0.6287222222222223,B
9,NZDCAD,20,['GBPCHF'],80.0,0.6664985292485293,B
