date,USDCHF,USDJPY,USDCAD,AUDUSD,CADCHF,EURCAD,CADJPY,AUDJPY,NZDCAD,empty,sum
2016.08.01,-73.00000000000084,-207.9999999999984,-7.0000000000014495,-26.000000000003798,-57.00000000000705,-186.0000000000195,-197.9999999999933,-197.00000000000273,0.0,,-952.0000000000271
2016.08.01,-85.00000000000173,-162.9999999999967,49.99999999999449,29.000000000001247,-82.99999999999974,-311.0000000000168,-149.99999999999147,-78.99999999999352,34.000000000000696,,-758.0000000000036
2016.08.01,-71.99999999999429,-72.00000000000273,73.99999999999629,17.000000000000348,-60.99999999999994,-341.00000000001353,-72.00000000000273,-9.000000000000341,134.0000000000008,,-402.00000000001614
2016.08.01,-86.99999999999264,123.99999999999523,135.9999999999806,12.000000000000899,-42.0000000000087,-360.0000000000048,46.00000000000648,129.99999999999545,192.00000000000327,,150.9999999999758
2016.08.01,-93.99999999999409,63.99999999999295,253.99999999999866,-2.000000000002,-72.0000000000054,-393.0000000000211,-54.000000000002046,70.99999999999795,197.00000000000273,,-29.000000000032287
2016.08.01,-102.00000000000209,84.00000000000318,304.9999999999997,-60.99999999999994,-118.00000000000699,-438.00000000000506,-61.99999999999761,9.000000000000341,174.00000000000747,,-209.000000000001
2016.08.01,-86.99999999999264,88.99999999999864,203.99999999998198,-61.999999999995396,-113.00000000000753,-508.00000000001955,-63.00000000000239,1.0000000000047748,139.00000000000023,,-400.00000000003183
2016.08.01,-83.9999999999952,113.99999999999011,225.99999999999287,-26.999999999999247,-81.00000000000884,-426.00000000001523,-7.999999999995566,93.00000000000352,182.00000000000438,,-11.000000000023249
2016.08.01,-70.99999999999883,81.99999999999363,175.99999999999838,-70.99999999999883,-84.0000000000063,-449.0000000000105,-30.9999999999917,10.99999999999568,185.00000000000182,,-252.00000000001666
2016.08.01,-100.00000000000009,245.9999999999951,161.99999999999548,-122.99999999999534,-81.00000000000884,-439.0000000000116,106.99999999999932,102.99999999999443,195.00000000000074,,69.99999999996925
2016.08.01,-82.99999999999974,313.0000000000024,68.00000000000139,12.000000000000899,-34.000000000000696,-355.0000000000164,173.00000000000182,257.99999999999557,313.00000000000773,,664.999999999993
2016.08.01,-63.00000000000195,353.9999999999992,52.99999999999194,151.00000000000114,5.999999999994898,-231.0000000000034,262.00000000000045,415.9999999999968,380.00000000000256,,1327.9999999999816
2016.08.01,-93.99999999999409,262.999999999991,104.99999999999955,82.99999999999974,-4.000000000004,-245.0000000000063,183.00000000000693,280.00000000000114,378.00000000000057,,948.9999999999947
2016.08.01,-91.99999999999208,280.00000000000114,88.99999999998354,78.00000000000028,7.9999999999968985,-267.0000000000172,186.9999999999976,296.0000000000065,346.9999999999973,,925.9999999999739
2016.08.01,-30.999999999992145,104.99999999998977,69.9999999999923,139.00000000000023,-9.999999999998899,-301.0000000000179,100.00000000000853,221.9999999999942,346.0000000000019,,639.999999999978
2016.08.01,-35.999999999991594,91.99999999999875,37.99999999998249,146.00000000000168,7.9999999999968985,-273.0000000000121,94.99999999999886,224.00000000000375,431.99999999999903,,725.9999999999777
2016.08.01,-75.9999999999983,129.99999999999545,44.99999999998394,151.9999999999966,4.999999999999449,-296.0000000000074,97.99999999999898,251.99999999999534,417.0000000000007,,726.9999999999648
2016.08.01,-85.99999999999719,188.99999999999295,78.99999999998464,160.00000000000458,2.999999999997449,-293.0000000000099,106.99999999999932,301.00000000000193,424.9999999999976,,884.9999999999714
2016.08.01,-115.99999999999389,194.00000000000261,131.99999999999878,55.000000000005045,-29.000000000001247,-255.00000000000523,106.99999999999932,213.99999999999864,365.99999999999966,,668.0000000000036
2016.08.01,-156.00000000000057,247.99999999999045,190.99999999998562,-17.999999999995797,-6.0000000000060005,-317.0000000000117,114.00000000000432,180.99999999999739,178.00000000000037,,414.9999999999641
2016.08.01,-134.0000000000008,245.9999999999951,240.9999999999801,-48.99999999999905,-82.99999999999974,-371.00000000001023,81.00000000000307,131.00000000000023,175.99999999999838,,237.9999999999671
2016.08.01,-37.99999999999359,128.99999999999068,221.99999999998886,-29.000000000001247,-140.0000000000068,-355.0000000000164,0.0,64.00000000000716,184.00000000000637,,36.99999999997502
2016.08.01,-24.999999999997247,84.99999999999375,170.99999999998784,-48.000000000003595,-160.00000000000458,-383.0,-25.99999999999625,13.999999999995794,201.00000000000674,,-171.0000000000176
2016.08.01,-7.0000000000014495,-5.000000000009663,173.99999999998528,-139.00000000000023,-213.00000000000762,-417.0000000000007,-171.99999999999704,-141.00000000000534,173.00000000000094,,-747.0000000000358
2016.08.01,18.0000000000069,-88.99999999999864,378.999999999996,-143.9999999999997,-280.00000000000244,-537.0000000000097,-280.00000000000114,-209.99999999999375,216.0000000000051,,-926.9999999999972
2016.08.01,34.000000000000696,-84.00000000000318,400.00000000000034,-117.99999999999588,-287.0000000000039,-637.0000000000209,-283.00000000000125,-191.0000000000025,324.00000000000205,,-842.0000000000246
2016.08.01,19.999999999997797,-34.000000000006025,434.000000000001,-172.00000000000549,-279.00000000000705,-626.0000000000155,-237.99999999999955,-194.00000000000261,248.99999999999923,,-840.0000000000381
2016.08.01,-32.999999999994145,-20.000000000010232,444.9999999999843,-194.0000000000053,-253.99999999999866,-558.0000000000141,-268.0000000000007,-228.9999999999992,231.99999999999886,,-879.0000000000391
2016.08.01,-42.999999999993044,-14.000000000010004,468.9999999999861,-268.0000000000016,-277.000000000005,-592.0000000000148,-233.99999999999466,-239.00000000000432,199.00000000000472,,-999.0000000000325
