date,EURUSD,AUDJPY,NZDCAD,empty,sum
2017.10.16,-15.00000000000945,-19.99999999999602,-26.000000000003798,,-61.000000000009265
2017.10.16,-21.00000000000435,8.000000000009777,-70.0000000000034,,-82.99999999999797
2017.10.16,-52.99999999999194,35.0000000000108,-65.99999999999939,,-83.99999999998053
2017.10.16,-52.99999999999194,37.00000000000614,-137.00000000000932,,-152.9999999999951
2017.10.16,-63.99999999999739,42.00000000000159,-140.0000000000068,,-162.0000000000026
2017.10.16,-63.000000000013046,85.99999999999852,-131.00000000000333,,-108.00000000001785
2017.10.16,17.000000000000348,57.00000000000216,-141.00000000000225,,-66.99999999999974
2017.10.16,-2.0000000000131024,51.00000000000193,-174.00000000000747,,-125.00000000001864
2017.10.16,-42.0000000000087,16.000000000005343,-165.9999999999995,,-192.00000000000284
2017.10.16,-109.00000000000354,14.000000000010004,-185.00000000000182,,-279.99999999999534
2017.10.16,-139.00000000000023,48.00000000000182,-130.0000000000079,,-221.0000000000063
2017.10.16,-96.00000000000719,88.00000000000807,-114.99999999999844,,-122.99999999999756
2017.10.16,-95.00000000000064,34.000000000006025,-157.00000000000713,,-218.00000000000176
2017.10.16,-100.0000000000112,6.000000000000227,-124.00000000000189,,-218.00000000001285
2017.10.16,-60.99999999999994,-15.000000000000568,-136.00000000000279,,-212.0000000000033
2017.10.16,-73.99999999999629,-36.000000000001364,-111.00000000000554,,-221.00000000000318
2017.10.16,-68.00000000000139,-33.999999999991815,-133.00000000000534,,-234.99999999999855
2017.10.16,-181.00000000000892,-28.999999999996362,-153.99999999999858,,-364.00000000000387
2017.10.16,-221.00000000000452,-57.00000000000216,-202.0000000000022,,-480.00000000000887
2017.10.16,-283.000000000011,-70.99999999999795,-203.00000000000873,,-557.0000000000177
2017.10.16,-314.99999999999864,-104.99999999998977,-192.99999999999872,,-612.9999999999872
2017.10.16,-256.99999999999613,-72.99999999999329,-270.0000000000036,,-599.999999999993
2017.10.16,-276.9999999999939,-75.9999999999934,-290.00000000000136,,-642.9999999999886
2017.10.16,-270.99999999999903,-79.9999999999983,-285.00000000000193,,-635.9999999999993
2017.10.16,-263.00000000001324,-121.99999999999989,-385.000000000002,,-770.0000000000151
2017.10.16,-278.00000000000045,-103.9999999999992,-404.99999999999983,,-786.9999999999995
2017.10.16,-222.99999999999542,-143.99999999999125,-487.0000000000041,,-853.9999999999908
2017.10.16,-127.99999999999478,-182.00000000000216,-514.9999999999987,,-824.9999999999957
2017.10.16,-112.000000000001,-214.9999999999892,-697.9999999999986,,-1024.9999999999889
2017.10.16,-75.00000000000284,-196.99999999998852,-750.0000000000063,,-1021.9999999999976
2017.10.16,-100.99999999999554,-180.99999999999739,-748.0000000000042,,-1029.9999999999973
2017.10.16,-161.99999999999548,-176.00000000000193,-758.9999999999985,,-1096.999999999996
2017.10.16,-100.0000000000112,-150.99999999999625,-718.0000000000075,,-969.000000000015
2017.10.16,-124.99999999999733,-179.9999999999926,-670.000000000004,,-974.9999999999939
2017.10.16,-163.00000000000205,-272.99999999999613,-664.000000000009,,-1100.0000000000073
2017.10.16,-168.99999999999693,-347.999999999999,-718.0000000000075,,-1235.0000000000034
2017.10.16,-156.00000000000057,-307.9999999999927,-667.0000000000065,,-1130.9999999999998
2017.10.16,-42.0000000000087,-338.99999999999864,-575.9999999999987,,-957.0000000000061
2017.10.16,-56.99999999999594,-349.9999999999943,-574.0000000000078,,-980.9999999999982
2017.10.16,-49.00000000001015,-296.99999999999704,-581.0000000000093,,-927.0000000000165
2017.10.16,-99.00000000000463,-268.99999999999125,-539.0000000000006,,-906.9999999999965
2017.10.16,-93.00000000000975,-223.99999999998954,-436.00000000000307,,-753.0000000000024
2017.10.16,-190.00000000000128,-197.9999999999933,-422.00000000000017,,-809.9999999999948
2017.10.16,-228.00000000000597,-118.99999999999977,-342.000000000009,,-689.0000000000148
2017.10.16,-259.9999999999936,-90.99999999999397,-346.0000000000019,,-696.9999999999894
2017.10.16,-234.00000000000088,-93.99999999999409,-365.99999999999966,,-693.9999999999947
2017.10.16,-201.00000000000674,-97.99999999999898,-339.0000000000004,,-638.0000000000061
2017.10.16,-171.99999999999437,-92.99999999998931,-334.00000000000097,,-598.9999999999847
2017.10.17,-164.99999999999292,-86.99999999998909,-362.00000000000676,,-613.9999999999887
2017.10.17,-161.99999999999548,-128.0000000000001,-790.0000000000018,,-1079.9999999999973
2017.10.17,-188.9999999999947,-74.99999999998863,-561.0000000000003,,-824.9999999999836
2017.10.17,-208.00000000000819,-98.99999999998954,-625.0000000000089,,-932.0000000000066
2017.10.17,-242.99999999999324,-106.99999999999932,-568.0000000000018,,-917.9999999999943
