date,EURUSD,AUDJPY,NZDCAD,empty,sum
2017.10.16,28.000000000005798,7.000000000005002,18.999999999991246,,54.000000000002046
2017.10.16,-18.0000000000069,84.00000000000318,-37.00000000000925,,28.999999999987025
2017.10.16,-8.999999999992347,84.00000000000318,-37.00000000000925,,38.00000000000158
2017.10.16,-52.000000000007596,46.00000000000648,-80.00000000000229,,-86.00000000000341
2017.10.16,-52.99999999999194,106.99999999999932,-123.00000000000644,,-68.99999999999906
2017.10.16,25.999999999992696,94.0000000000083,-96.00000000000719,,23.999999999993804
2017.10.16,29.999999999996696,64.00000000000716,-103.00000000000864,,-9.000000000004775
2017.10.16,5.999999999994898,132.000000000005,-150.00000000000568,,-12.000000000005798
2017.10.16,-32.0000000000098,17.000000000010118,-111.00000000000554,,-126.00000000000523
2017.10.16,-90.00000000001229,73.0000000000075,-121.99999999999989,,-139.00000000000466
2017.10.16,-95.00000000000064,103.00000000000864,-86.0000000000083,,-78.0000000000003
2017.10.16,-42.0000000000087,115.0000000000091,-94.00000000000519,,-21.00000000000479
2017.10.16,-90.99999999999665,56.000000000011596,-69.00000000000794,,-103.999999999993
2017.10.16,-58.000000000002494,12.000000000000455,-112.000000000001,,-158.00000000000304
2017.10.16,-39.999999999995595,5.000000000009663,-109.00000000000354,,-143.99999999998948
2017.10.16,-29.00000000001235,-6.999999999990791,-84.0000000000063,,-120.00000000000944
2017.10.16,-63.99999999999739,-4.9999999999954525,-130.0000000000079,,-199.00000000000074
2017.10.16,-156.00000000000057,-21.99999999999136,-123.00000000000644,,-300.99999999999835
2017.10.16,-209.9999999999991,-52.99999999999727,-163.00000000000205,,-425.9999999999984
2017.10.16,-280.9999999999979,-57.00000000000216,-103.00000000000864,,-441.0000000000087
2017.10.16,-181.00000000000892,-68.9999999999884,-185.00000000000182,,-434.99999999999915
2017.10.16,-191.00000000000784,-58.9999999999975,-241.00000000000233,,-491.0000000000077
2017.10.16,-235.99999999999176,-45.99999999999227,-279.00000000000705,,-560.9999999999911
2017.10.16,-222.99999999999542,-66.99999999999307,-274.00000000000756,,-563.9999999999961
2017.10.16,-229.00000000001253,-86.99999999998909,-352.00000000000784,,-668.0000000000094
2017.10.16,-222.00000000001108,-76.99999999999818,-400.00000000000034,,-699.0000000000095
2017.10.16,-127.00000000001043,-141.9999999999959,-458.9999999999983,,-728.0000000000047
2017.10.16,-102.00000000000209,-159.9999999999966,-506.0000000000064,,-768.0000000000051
2017.10.16,8.999999999992347,-177.99999999999727,-624.0000000000023,,-793.0000000000072
2017.10.16,-63.99999999999739,-180.99999999999739,-742.0000000000093,,-987.0000000000041
2017.10.16,-78.00000000000028,-82.99999999999841,-589.0000000000061,,-750.0000000000048
2017.10.16,-51.000000000001044,-138.9999999999958,-704.0000000000047,,-894.0000000000015
2017.10.16,-99.00000000000463,-109.99999999999943,-618.0000000000074,,-827.0000000000115
2017.10.16,-96.00000000000719,-159.9999999999966,-608.0000000000085,,-864.0000000000123
