date,USDCHF,EURUSD,EURGBP,EURJPY,EURCAD,empty,sum
2015.03.23,-16.0000000000049,-19.999999999997797,-12.000000000000899,-37.99999999998249,-156.00000000000057,,-241.99999999998664
2015.03.23,212.00000000000108,195.9999999999962,73.00000000000084,80.0000000000125,-165.9999999999995,,395.0000000000112
2015.03.23,296.9999999999917,276.00000000000955,108.99999999999244,102.00000000000387,-13.000000000018552,,770.999999999979
2015.03.23,248.99999999999923,283.99999999999534,90.99999999999665,177.99999999999727,-5.000000000010552,,796.9999999999778
2015.03.23,269.9999999999925,388.0000000000106,122.99999999999534,316.0000000000025,93.99999999999409,,1190.999999999995
2015.03.23,324.9999999999975,516.0000000000053,161.00000000000003,461.00000000001273,176.99999999998272,,1639.9999999999982
2015.03.23,342.9999999999933,523.0000000000068,193.99999999999417,490.0000000000091,240.9999999999801,,1790.9999999999836
2015.03.23,345.99999999999073,554.00000000001,188.9999999999947,515.0000000000148,266.999999999995,,1871.0000000000052
2015.03.23,378.00000000000057,594.0000000000057,217.99999999999596,531.0000000000059,316.99999999998954,,2037.9999999999977
2015.03.23,441.99999999999795,714.999999999999,239.99999999999577,628.0000000000143,391.9999999999924,,2416.999999999999
2015.03.23,442.9999999999934,651.0000000000016,217.0000000000005,623.9999999999952,379.99999999998033,,2314.999999999971
2015.03.23,365.99999999999966,565.9999999999999,204.99999999999963,524.0000000000009,352.9999999999811,,2013.9999999999811
2015.03.23,245.99999999999068,329.00000000000153,141.00000000000225,435.0000000000023,330.9999999999924,,1481.999999999989
2015.03.23,313.99999999999204,456.9999999999963,175.99999999999838,543.0000000000064,401.99999999999125,,1891.9999999999845
2015.03.23,263.99999999999756,476.0000000000098,176.99999999999383,531.0000000000059,437.99999999998283,,1885.99999999999
2015.03.23,256.99999999999613,507.9999999999973,156.99999999999602,532.0000000000107,417.0000000000007,,1871.0000000000007
2015.03.23,249.99999999999466,426.9999999999996,135.99999999999167,534.9999999999966,339.99999999998477,,1687.9999999999675
2015.03.23,205.99999999999508,401.00000000000693,60.99999999999994,490.0000000000091,298.9999999999826,,1456.9999999999936
2015.03.23,283.99999999999534,577.0000000000052,88.99999999999464,612.0000000000232,403.99999999998215,,1966.0000000000005
2015.03.23,265.99999999999955,487.99999999999955,-36.0000000000027,461.00000000001273,181.9999999999933,,1361.0000000000023
2015.03.23,408.9999999999927,717.9999999999964,14.999999999998348,658.0000000000155,366.999999999984,,2166.999999999987
2015.03.23,517.0000000000008,720.9999999999939,-101.00000000000664,604.0000000000134,266.999999999995,,2007.9999999999964
2015.03.23,208.99999999999253,398.00000000000944,-223.00000000000654,402.00000000001523,-66.00000000001049,,720.0000000000002
