date,USDCHF,EURUSD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,EURJPY,EURAUD,AUDJPY,NZDCAD,AUDNZD,empty,sum
2016.09.05,-24.999999999997247,-24.999999999986144,-8.000000000008,-51.000000000001044,120.99999999999334,12.999999999996348,-57.00000000000705,-14.999999999998348,-68.00000000000139,-26.000000000003798,-9.000000000000341,-71.99999999998319,44.00000000001114,-102.00000000000209,-93.99999999999409,,-373.9999999999819
2016.09.05,-63.00000000000195,-34.000000000000696,-26.999999999999247,-78.00000000000028,134.99999999999625,-24.000000000001798,-138.00000000000477,-102.00000000000209,-122.99999999999534,-32.0000000000098,40.99999999999682,-148.99999999999915,20.000000000010232,-111.00000000000554,-79.99999999999119,,-765.0000000000086
2016.09.05,-53.00000000000304,-11.999999999989797,-18.0000000000069,-76.0000000000094,38.99999999998904,2.999999999997449,-97.00000000000264,-60.99999999999994,-102.00000000000209,-109.00000000000354,-3.0000000000001137,-45.99999999999049,24.00000000000091,-160.00000000000458,-56.99999999999594,,-728.000000000021
2016.09.05,-60.99999999999994,0.0,-20.0000000000089,-161.00000000000003,49.99999999999449,-25.999999999992696,-104.00000000000409,-70.0000000000034,-190.99999999999673,-124.00000000000189,-15.000000000000568,-31.000000000003247,20.000000000010232,-270.99999999999903,-180.0000000000024,,-1184.0000000000082
2016.09.05,-55.000000000005045,9.000000000014552,45.99999999999049,-121.00000000000443,43.999999999999595,-28.999999999990145,-94.00000000000519,2.000000000002,-149.99999999999457,-129.00000000000134,30.000000000001137,124.99999999999733,-84.99999999999375,-229.99999999999687,-212.99999999999653,,-849.9999999999827
2016.09.05,-48.99999999999905,12.999999999996348,47.9999999999925,-123.00000000000644,48.000000000003595,-24.999999999986144,-69.00000000000794,7.0000000000014495,-148.0000000000037,-126.0000000000039,106.00000000000875,134.99999999999625,-143.99999999999125,-256.0000000000007,-215.99999999999397,,-798.9999999999942
2016.09.05,24.000000000001798,80.00000000001339,-93.00000000000975,-264.0000000000087,55.000000000005045,-8.999999999992347,-121.00000000000443,-73.99999999999629,-231.99999999999886,-108.00000000000809,224.00000000000375,-51.000000000001044,-126.99999999999534,-304.00000000000426,-222.99999999999542,,-1222.9999999999907
2016.09.05,-23.00000000000635,9.999999999998899,-43.999999999999595,-212.00000000000108,49.99999999999449,7.0000000000014495,-111.00000000000554,-61.999999999995396,-217.0000000000005,-99.00000000000463,147.99999999999613,-53.999999999998494,-71.99999999998852,-300.0000000000003,-215.00000000000963,,-1194.000000000019
2016.09.05,-29.000000000001247,29.00000000001235,-84.0000000000063,-251.00000000000122,76.0000000000094,-18.999999999991246,-131.00000000000333,-112.000000000001,-258.0000000000027,-104.00000000000409,150.99999999999625,-126.99999999998823,-43.99999999999693,-331.0000000000035,-218.99999999999142,,-1452.9999999999732
2016.09.05,-70.99999999999883,11.00000000000545,-112.000000000001,-276.00000000000955,147.00000000000824,-46.999999999997044,-158.99999999999804,-163.99999999999747,-312.00000000000114,-80.00000000000229,63.00000000000239,-180.99999999998673,53.00000000001148,-368.00000000000165,-215.99999999999397,,-1711.99999999996
2016.09.05,-45.000000000006146,36.999999999998145,-173.00000000000094,-353.99999999999875,133.99999999998968,-45.99999999999049,-156.00000000000057,-205.99999999999508,-375.0000000000031,-90.0000000000012,43.99999999999693,-264.9999999999819,111.0000000000042,-451.0000000000014,-241.00000000000233,,-2075.9999999999927
2016.09.05,12.999999999996348,79.00000000000685,-247.00000000000833,-445.0000000000065,129.00000000000134,-18.999999999991246,-168.00000000000148,-231.99999999999886,-417.99999999999613,-73.00000000000084,277.000000000001,-350.9999999999902,-0.999999999990564,-495.9999999999964,-269.00000000000813,,-2220.999999999983
2016.09.05,31.000000000003247,96.00000000000719,-248.99999999999923,-434.000000000001,126.99999999998823,-17.000000000000348,-182.99999999999983,-222.99999999999542,-392.9999999999989,-70.0000000000034,335.9999999999985,-337.99999999999386,-48.00000000000182,-443.99999999999994,-248.00000000000378,,-2057.0000000000005
2016.09.05,41.9999999999976,97.00000000001374,-248.99999999999923,-443.0000000000045,110.99999999999443,-8.000000000008,-163.99999999999747,-214.00000000000307,-398.9999999999938,-71.00000000000995,319.0000000000026,-334.9999999999964,-39.00000000000148,-470.9999999999992,-262.00000000000665,,-2086.0000000000114
2016.09.05,29.999999999996696,90.99999999999665,-259.0000000000092,-508.00000000000847,171.99999999999437,-11.00000000000545,-197.00000000000273,-234.00000000000088,-468.9999999999972,-35.00000000000725,296.0000000000065,-363.9999999999866,-9.000000000000341,-524.9999999999977,-337.0000000000095,,-2359.0000000000314
