date,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,CHFJPY,CADCHF,EURGBP,GBPJPY,EURJPY,EURNZD,AUDJPY,NZDCAD,AUDNZD,empty,sum
2016.08.08,1.0000000000065512,-106.00000000000608,12.000000000000455,-52.99999999999194,-86.0000000000083,-215.99999999999397,94.99999999999886,145.00000000000622,-87.00000000000374,9.999999999990905,-103.9999999999992,-167.00000000000603,-100.99999999999909,-21.00000000000435,80.99999999999774,,-597.0000000000119
2016.08.08,45.99999999999049,-59.000000000009045,-6.999999999990791,-48.99999999998794,-90.0000000000012,-283.99999999999534,39.00000000000148,165.9999999999995,-51.99999999999649,-8.000000000009777,-16.000000000005343,-506.0000000000064,-120.00000000000455,195.9999999999962,-168.99999999999693,,-913.0000000000163
2016.08.08,-24.000000000001798,-41.000000000002146,46.999999999997044,-100.99999999999554,-57.00000000000705,-232.99999999999432,165.99999999999682,163.99999999999747,-107.00000000000153,-3.9999999999906777,-88.00000000000807,-388.9999999999949,-36.000000000001364,85.99999999999719,-152.99999999998093,,-769.9999999999898
2016.08.08,22.0000000000109,-113.00000000000753,296.0000000000065,-109.00000000000354,-65.99999999999939,-256.99999999999613,436.9999999999976,153.00000000000313,-141.00000000000225,-377.00000000000955,-439.00000000000716,-585.9999999999976,144.00000000000546,134.0000000000008,-200.00000000000017,,-1101.9999999999989
2016.08.08,62.99999999999084,-93.99999999999409,280.00000000000114,-58.99999999998684,-17.000000000000348,-310.9999999999946,405.00000000000114,187.9999999999993,-97.9999999999981,-400.0000000000057,-397.99999999999613,-548.9999999999995,180.99999999999739,156.00000000000057,-263.99999999999756,,-916.9999999999825
2016.08.08,25.999999999992696,-70.99999999999883,121.00000000000932,-75.00000000000284,-19.00000000000235,-293.0000000000099,222.99999999999898,192.00000000000327,-107.99999999999699,-145.99999999998658,-200.00000000000284,-534.9999999999966,57.00000000000216,158.0000000000026,-270.99999999999903,,-940.9999999999868
2016.08.08,163.00000000000205,-83.00000000001084,94.99999999999886,-11.999999999989797,-18.0000000000069,-407.0000000000018,222.0000000000084,212.00000000000108,-26.999999999999247,-262.00000000000045,-183.00000000000693,-398.9999999999938,37.9999999999967,107.99999999999699,-166.99999999998383,,-719.9999999999895
2016.08.08,113.00000000000753,-38.0000000000047,168.99999999999693,-90.99999999999665,-118.00000000000699,-378.999999999996,278.99999999999636,180.99999999999784,-26.000000000003798,-302.99999999999727,-219.99999999999886,-614.0000000000034,-9.000000000000341,214.99999999999852,-214.99999999998744,,-1055.9999999999984
2016.08.08,133.00000000000534,-89.99999999999008,170.0000000000017,-38.99999999998904,-80.00000000000229,-347.0000000000084,323.0000000000075,180.99999999999784,-58.000000000002494,-328.00000000000296,-272.99999999999613,-734.9999999999968,31.00000000000591,287.0000000000039,-302.0000000000023,,-1126.9999999999684
2016.08.08,130.99999999999224,-121.99999999999989,210.99999999999852,-17.000000000000348,-85.00000000000173,-282.0000000000045,418.99999999999693,153.99999999999858,-78.00000000000028,-383.0000000000098,-355.000000000004,-886.9999999999934,58.9999999999975,366.9999999999951,-370.999999999988,,-1239.0000000000232
2016.08.08,165.9999999999995,-137.00000000000932,91.99999999999875,77.00000000001594,-26.000000000003798,-310.0000000000103,299.99999999999716,206.00000000000617,-70.0000000000034,-258.99999999998613,-236.0000000000042,-809.9999999999997,28.000000000005798,365.99999999999966,-380.9999999999869,,-993.9999999999808
2016.08.08,156.00000000000057,-171.99999999999437,109.00000000000887,60.99999999999994,-26.999999999999247,-312.00000000000114,307.00000000000216,202.0000000000022,-102.00000000000209,-271.99999999999136,-290.9999999999968,-825.0000000000091,40.00000000000625,337.99999999999386,-359.99999999998255,,-1147.9999999999627
2016.08.08,167.00000000000603,-208.99999999999253,61.99999999999761,90.00000000001229,-6.0000000000060005,-293.0000000000099,287.9999999999967,204.00000000000418,-125.99999999999278,-221.00000000000364,-277.000000000001,-831.000000000004,28.000000000005798,331.999999999999,-361.9999999999957,,-1153.999999999984
2016.08.08,150.99999999999002,-232.99999999999432,82.00000000000784,73.99999999999629,-58.000000000002494,-246.00000000001288,329.9999999999983,175.00000000000293,-151.00000000000114,-229.99999999998977,-320.99999999999795,-899.0000000000053,-13.999999999995794,341.0000000000024,-308.9999999999815,,-1307.9999999999836
2016.08.08,123.99999999999079,-204.00000000000418,99.00000000000375,73.99999999999629,-47.00000000000814,-217.0000000000005,347.0000000000084,172.00000000000549,-146.00000000000168,-227.00000000000387,-310.0000000000023,-927.0000000000111,10.99999999999568,380.00000000000256,-376.9999999999829,,-1248.0000000000118
2016.08.08,127.00000000001043,-245.0000000000063,73.0000000000075,100.99999999999554,2.999999999997449,-214.00000000000307,329.00000000000773,185.99999999999727,-175.99999999999838,-195.99999999999795,-326.0000000000076,-892.0000000000039,43.00000000000637,348.9999999999993,-378.999999999996,,-1216.9999999999918
2016.08.08,140.99999999999113,-235.00000000000742,123.00000000000466,70.99999999999883,17.000000000000348,-242.99999999999324,364.9999999999949,178.00000000000037,-156.99999999999602,-272.99999999999613,-365.99999999999966,-740.0000000000073,94.99999999999886,243.99999999999977,-308.9999999999815,,-1088.9999999999925
2016.08.08,93.99999999999409,-143.00000000000423,140.00000000000057,-14.999999999987246,-31.000000000003247,-251.00000000000122,338.99999999999864,153.99999999999858,-119.00000000000244,-250.0,-296.99999999999704,-723.9999999999914,55.999999999997385,256.0000000000007,-308.9999999999815,,-1099.9999999999786
