date,EURCHF,empty,sum
2020.06.29,-51.000000000001044,,-51.000000000001044
2020.06.29,-63.000000000013046,,-63.000000000013046
2020.06.29,-72.0000000000054,,-72.0000000000054
2020.06.29,-86.0000000000083,,-86.0000000000083
2020.06.29,-60.000000000015596,,-60.000000000015596
2020.06.29,-89.00000000000574,,-89.00000000000574
2020.06.29,-80.00000000001339,,-80.00000000001339
2020.06.29,-119.00000000000244,,-119.00000000000244
2020.06.29,-177.00000000000495,,-177.00000000000495
2020.06.29,-165.9999999999995,,-165.9999999999995
2020.06.29,-179.00000000001802,,-179.00000000001802
2020.06.29,-214.00000000000307,,-214.00000000000307
2020.06.29,-189.00000000001694,,-189.00000000001694
2020.06.29,-171.00000000001003,,-171.00000000001003
2020.06.29,-195.00000000001182,,-195.00000000001182
2020.06.29,-175.99999999999838,,-175.99999999999838
2020.06.29,-232.00000000000998,,-232.00000000000998
2020.06.29,-242.00000000000887,,-242.00000000000887
2020.06.29,-303.0000000000088,,-303.0000000000088
2020.06.29,-263.99999999999756,,-263.99999999999756
2020.06.29,-285.00000000000193,,-285.00000000000193
2020.06.29,-234.00000000000088,,-234.00000000000088
2020.06.29,-181.00000000000892,,-181.00000000000892
2020.06.29,-243.99999999999977,,-243.99999999999977
2020.06.29,-248.00000000000378,,-248.00000000000378
2020.06.29,-270.99999999999903,,-270.99999999999903
2020.06.29,-262.00000000000665,,-262.00000000000665
2020.06.29,-282.0000000000045,,-282.0000000000045
2020.06.29,-317.9999999999961,,-317.9999999999961
2020.06.29,-360.0000000000048,,-360.0000000000048
2020.06.29,-392.9999999999989,,-392.9999999999989
2020.06.29,-405.0000000000109,,-405.0000000000109
2020.06.29,-434.000000000001,,-434.000000000001
2020.06.29,-452.00000000000796,,-452.00000000000796
2020.06.29,-455.0000000000054,,-455.0000000000054
2020.06.29,-528.0000000000174,,-528.0000000000174
2020.06.29,-531.0000000000148,,-531.0000000000148
2020.06.29,-504.0000000000156,,-504.0000000000156
2020.06.29,-583.0000000000002,,-583.0000000000002
2020.06.29,-622.0000000000115,,-622.0000000000115
2020.06.29,-591.0000000000082,,-591.0000000000082
2020.06.29,-615.00000000001,,-615.00000000001
2020.06.29,-612.0000000000125,,-612.0000000000125
2020.06.29,-585.9999999999976,,-585.9999999999976
2020.06.29,-605.0000000000111,,-605.0000000000111
2020.06.29,-624.0000000000023,,-624.0000000000023
2020.06.29,-621.0000000000049,,-621.0000000000049
2020.06.29,-626.0000000000155,,-626.0000000000155
2020.06.30,-615.00000000001,,-615.00000000001
2020.06.30,-595.9999999999966,,-595.9999999999966
2020.06.30,-655.0000000000056,,-655.0000000000056
2020.06.30,-672.0000000000059,,-672.0000000000059
2020.06.30,-673.0000000000125,,-673.0000000000125
2020.06.30,-668.0000000000019,,-668.0000000000019
2020.06.30,-666.000000000011,,-666.000000000011
2020.06.30,-656.0000000000122,,-656.0000000000122
2020.06.30,-672.0000000000059,,-672.0000000000059
2020.06.30,-662.000000000007,,-662.000000000007
2020.06.30,-638.0000000000052,,-638.0000000000052
2020.06.30,-648.0000000000041,,-648.0000000000041
2020.06.30,-679.0000000000074,,-679.0000000000074
2020.06.30,-629.9999999999973,,-629.9999999999973
2020.06.30,-661.0000000000005,,-661.0000000000005
2020.06.30,-635.0000000000077,,-635.0000000000077
2020.06.30,-632.0000000000103,,-632.0000000000103
2020.06.30,-612.9999999999969,,-612.9999999999969
2020.06.30,-553.0000000000035,,-553.0000000000035
2020.06.30,-489.0000000000061,,-489.0000000000061
2020.06.30,-544.0000000000111,,-544.0000000000111
2020.06.30,-564.000000000009,,-564.000000000009
2020.06.30,-519.0000000000028,,-519.0000000000028
2020.06.30,-489.0000000000061,,-489.0000000000061
2020.06.30,-397.0000000000029,,-397.0000000000029
2020.06.30,-378.00000000001165,,-378.00000000001165
2020.06.30,-290.00000000001245,,-290.00000000001245
2020.06.30,-259.0000000000092,,-259.0000000000092
2020.06.30,-267.0000000000172,,-267.0000000000172
2020.06.30,-218.00000000000708,,-218.00000000000708
2020.06.30,-127.00000000001043,,-127.00000000001043
2020.06.30,-243.99999999999977,,-243.99999999999977
2020.06.30,-238.0000000000049,,-238.0000000000049
2020.06.30,-174.00000000000747,,-174.00000000000747
2020.06.30,-242.00000000000887,,-242.00000000000887
2020.06.30,-124.00000000001299,,-124.00000000001299
2020.06.30,-225.00000000000853,,-225.00000000000853
2020.06.30,-100.0000000000112,,-100.0000000000112
2020.06.30,-195.00000000001182,,-195.00000000001182
2020.06.30,-182.99999999999983,,-182.99999999999983
2020.06.30,-162.00000000001768,,-162.00000000001768
2020.06.30,-117.99999999999588,,-117.99999999999588
2020.06.30,-90.00000000001229,,-90.00000000001229
2020.06.30,-127.00000000001043,,-127.00000000001043
2020.06.30,-101.00000000001774,,-101.00000000001774
2020.06.30,-140.0000000000068,,-140.0000000000068
2020.06.30,-114.99999999999844,,-114.99999999999844
2020.06.30,-114.99999999999844,,-114.99999999999844
2020.07.01,-55.000000000005045,,-55.000000000005045
2020.07.01,-87.99999999999919,,-87.99999999999919
2020.07.01,-99.00000000000463,,-99.00000000000463
2020.07.01,-102.00000000000209,,-102.00000000000209
2020.07.01,-90.00000000001229,,-90.00000000001229
2020.07.01,-109.00000000000354,,-109.00000000000354
2020.07.01,-131.99999999999878,,-131.99999999999878
2020.07.01,-113.00000000000753,,-113.00000000000753
2020.07.01,-107.99999999999699,,-107.99999999999699
2020.07.01,-107.99999999999699,,-107.99999999999699
2020.07.01,-84.0000000000174,,-84.0000000000174
2020.07.01,-62.000000000006494,,-62.000000000006494
2020.07.01,-87.99999999999919,,-87.99999999999919
2020.07.01,-43.00000000001525,,-43.00000000001525
2020.07.01,36.999999999998145,,36.999999999998145
2020.07.01,54.99999999998284,,54.99999999998284
2020.07.01,14.999999999987246,,14.999999999987246
2020.07.01,1.999999999990898,,1.999999999990898
2020.07.01,-15.00000000000945,,-15.00000000000945
2020.07.01,-107.00000000001265,,-107.00000000001265
2020.07.01,-40.0000000000178,,-40.0000000000178
2020.07.01,-80.99999999999774,,-80.99999999999774
2020.07.01,-46.0000000000127,,-46.0000000000127
2020.07.01,-63.99999999999739,,-63.99999999999739
2020.07.01,-48.000000000003595,,-48.000000000003595
2020.07.01,43.999999999999595,,43.999999999999595
2020.07.01,4.999999999988347,,4.999999999988347
2020.07.01,154.99999999999403,,154.99999999999403
2020.07.01,82.99999999998863,,82.99999999998863
2020.07.01,78.99999999998464,,78.99999999998464
2020.07.01,-33.00000000001635,,-33.00000000001635
2020.07.01,-55.000000000005045,,-55.000000000005045
2020.07.01,-72.0000000000054,,-72.0000000000054
