date,GBPJPY,empty,sum
2017.05.29,0.0,,0.0
2017.05.29,92.99999999998931,,92.99999999998931
2017.05.29,106.99999999999932,,106.99999999999932
2017.05.29,161.00000000000136,,161.00000000000136
2017.05.29,188.99999999999295,,188.99999999999295
2017.05.29,212.99999999999386,,212.99999999999386
2017.05.29,168.99999999998272,,168.99999999998272
2017.05.29,288.99999999998727,,288.99999999998727
2017.05.29,451.9999999999982,,451.9999999999982
2017.05.29,436.9999999999834,,436.9999999999834
2017.05.29,373.9999999999952,,373.9999999999952
2017.05.29,367.999999999995,,367.999999999995
2017.05.29,401.9999999999868,,401.9999999999868
2017.05.29,375.0,,375.0
2017.05.29,396.99999999999136,,396.99999999999136
2017.05.29,423.0000000000018,,423.0000000000018
2017.05.29,414.99999999999204,,414.99999999999204
2017.05.29,384.9999999999909,,384.9999999999909
2017.05.29,377.9999999999859,,377.9999999999859
2017.05.29,381.0000000000002,,381.0000000000002
2017.05.29,411.00000000000136,,411.00000000000136
2017.05.29,433.9999999999975,,433.9999999999975
2017.05.29,491.9999999999902,,491.9999999999902
2017.05.29,609.9999999999852,,609.9999999999852
2017.05.29,605.9999999999945,,605.9999999999945
2017.05.29,657.999999999987,,657.999999999987
2017.05.29,622.9999999999905,,622.9999999999905
2017.05.29,609.9999999999852,,609.9999999999852
2017.05.29,631.0000000000002,,631.0000000000002
2017.05.29,633.9999999999861,,633.9999999999861
2017.05.29,676.9999999999925,,676.9999999999925
2017.05.29,676.9999999999925,,676.9999999999925
2017.05.29,540.9999999999968,,540.9999999999968
2017.05.29,458.99999999997476,,458.99999999997476
2017.05.29,490.99999999998545,,490.99999999998545
2017.05.29,495.9999999999809,,495.9999999999809
2017.05.29,568.9999999999884,,568.9999999999884
2017.05.29,554.9999999999784,,554.9999999999784
2017.05.29,621.9999999999857,,621.9999999999857
2017.05.29,539.999999999992,,539.999999999992
2017.05.29,544.9999999999875,,544.9999999999875
2017.05.29,604.9999999999898,,604.9999999999898
2017.05.29,584.9999999999795,,584.9999999999795
2017.05.29,560.0000000000023,,560.0000000000023
2017.05.29,573.9999999999839,,573.9999999999839
2017.05.29,569.9999999999932,,569.9999999999932
2017.05.29,548.9999999999782,,548.9999999999782
2017.05.29,490.99999999998545,,490.99999999998545
2017.05.30,472.99999999998477,,472.99999999998477
2017.05.30,465.99999999997976,,465.99999999997976
2017.05.30,302.99999999999727,,302.99999999999727
2017.05.30,271.99999999999136,,271.99999999999136
2017.05.30,194.99999999999318,,194.99999999999318
2017.05.30,135.99999999999568,,135.99999999999568
2017.05.30,94.99999999999886,,94.99999999999886
2017.05.30,-241.00000000001387,,-241.00000000001387
2017.05.30,-490.0000000000091,,-490.0000000000091
2017.05.30,-431.0000000000116,,-431.0000000000116
2017.05.30,-445.0000000000216,,-445.0000000000216
2017.05.30,-288.0000000000109,,-288.0000000000109
2017.05.30,-279.0000000000248,,-279.0000000000248
2017.05.30,-195.99999999999795,,-195.99999999999795
