date,USDCAD,EURGBP,EURJPY,EURNZD,AUDJPY,empty,sum
2021.08.02,-76.0000000000094,-224.9999999999974,-40.99999999999682,-461.0000000000003,-57.999999999992724,,-860.9999999999966
2021.08.02,-74.0000000000185,-219.99999999999798,-16.999999999995907,-262.999999999991,41.00000000001103,,-532.9999999999924
2021.08.02,-36.0000000000138,-248.99999999999923,106.99999999999932,-337.99999999999386,115.0000000000091,,-400.9999999999984
2021.08.02,19.999999999997797,-244.99999999999523,137.00000000000045,-282.9999999999888,193.00000000001205,,-177.99999999997374
2021.08.02,0.9999999999843467,-230.99999999999233,158.99999999999181,-299.00000000000483,197.00000000000273,,-173.0000000000183
2021.08.02,11.999999999989797,-246.99999999999721,125.0,-192.99999999999872,179.00000000000205,,-124.00000000000409
2021.08.02,-20.000000000020002,-256.0000000000007,61.9999999999834,-357.00000000000733,109.99999999999943,,-461.00000000004513
2021.08.02,-41.000000000002146,-248.99999999999923,46.999999999997044,-286.99999999999284,151.00000000001046,,-378.9999999999867
2021.08.02,-57.00000000001815,-241.99999999999778,61.9999999999834,-374.999999999992,134.00000000000034,,-478.0000000000242
2021.08.02,-121.99999999999989,-251.99999999999667,96.00000000000364,-462.0000000000068,115.99999999999966,,-624.0000000000001
2021.08.02,-165.9999999999995,-273.9999999999965,55.999999999983174,-617.0000000000009,25.000000000005684,,-976.000000000008
2021.08.02,-72.0000000000054,-278.9999999999959,91.00000000000819,-564.9999999999933,69.00000000000261,,-755.9999999999837
2021.08.02,-75.00000000000284,-291.99999999999227,155.00000000000114,-445.99999999999085,155.00000000000114,,-502.99999999998363
2021.08.02,-35.00000000000725,-288.9999999999948,145.99999999998658,-469.99999999999267,143.00000000000068,,-505.0000000000075
2021.08.02,-15.00000000000945,-268.99999999999704,156.0000000000059,-482.00000000000466,157.0000000000107,,-452.99999999999454
2021.08.02,-35.00000000000725,-257.9999999999916,187.99999999998818,-502.00000000000244,158.00000000000125,,-449.00000000001194
