date,GBPUSD,EURUSD,USDCAD,AUDUSD,CHFJPY,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2015.02.16,-43.999999999999595,-9.999999999998899,-4.999999999988347,0.0,-173.99999999999238,-53.999999999998494,-66.99999999999484,-237.99999999999955,-171.99999999999437,-228.00000000000864,-53.00000000001415,-54.99999999998284,-178.99999999999582,-121.99999999999989,-126.00000000000477,-192.99999999999784,-90.0000000000012,-67.00000000000594,-99.00000000000463,,-1975.999999999982
2015.02.16,-15.00000000000945,-12.000000000012001,0.0,51.99999999999649,-174.99999999999716,-46.00000000000159,-128.99999999999022,-217.00000000001296,-228.00000000000597,-229.00000000001342,-3.0000000000196536,17.000000000000348,-150.99999999999002,-150.99999999999625,-76.00000000000762,-189.00000000000716,-80.99999999999774,-102.99999999999754,-133.00000000000534,,-1869.0000000000673
2015.02.16,70.99999999999883,-7.0000000000014495,-1.999999999990898,80.00000000000229,-167.99999999999216,-14.000000000002899,-151.9999999999966,-154.00000000002478,-180.99999999998673,-212.99999999999386,-104.00000000001519,123.00000000000644,-47.99999999998139,-203.00000000000296,-48.00000000000182,-149.0000000000009,-170.99999999999892,-36.0000000000027,-97.00000000001374,,-1472.9999999999993
2015.02.16,123.99999999999079,7.0000000000014495,42.0000000000087,90.99999999999665,-209.99999999999375,-12.000000000000899,-146.99999999999713,-170.00000000001592,-126.0000000000039,-305.0000000000068,-19.00000000001345,119.00000000000244,-57.99999999998029,-149.0000000000009,-97.99999999999898,-200.00000000000284,-120.99999999999334,-68.00000000000139,-110.00000000001009,,-1410.0000000000198
2015.02.16,7.0000000000014495,-119.00000000000244,-38.99999999998904,-41.000000000002146,-304.9999999999926,-89.00000000000574,-164.99999999999292,-338.0000000000223,-129.99999999998568,-447.00000000000273,58.99999999998684,87.99999999999919,-144.99999999999514,-257.000000000005,-224.00000000000375,-347.0000000000084,-56.99999999999594,-146.00000000000168,-141.00000000001333,,-2836.000000000032
2015.02.16,-43.00000000001525,-113.00000000000753,-79.99999999999119,-75.9999999999983,-406.9999999999965,-119.00000000000244,-147.99999999999258,-399.0000000000009,-56.99999999999594,-455.99999999998886,12.999999999996348,-7.0000000000014495,-278.00000000000045,-295.0000000000017,-271.0000000000008,-421.99999999999704,-48.99999999999905,-184.00000000000637,-165.00000000001512,,-3556.000000000015
2015.02.16,-15.00000000000945,-95.00000000000064,-72.99999999998974,-85.99999999999719,-483.99999999999466,-92.00000000000318,-128.99999999999022,-248.00000000001887,-38.99999999998904,-298.0000000000018,15.999999999993797,-35.999999999991594,-320.9999999999935,-221.9999999999942,-213.99999999999864,-390.00000000000057,-12.000000000000899,-194.0000000000053,-165.00000000001512,,-3097.000000000001
2015.02.16,-7.0000000000014495,-102.00000000000209,-73.99999999999629,-90.0000000000012,-475.9999999999991,-24.999999999997247,-126.99999999999933,-195.0000000000216,-53.999999999998494,-286.00000000000136,18.999999999991246,-41.99999999998649,-346.0000000000019,-188.0000000000024,-212.0000000000033,-391.9999999999959,-17.000000000000348,-231.99999999999886,-180.0000000000024,,-3026.0000000000186
2015.02.16,-11.00000000000545,-131.00000000001444,-75.99999999998718,-72.0000000000054,-493.9999999999998,0.0,-145.9999999999906,-159.00000000002024,-21.999999999988695,-292.0000000000016,-5.000000000010552,-12.999999999996348,-296.9999999999917,-185.99999999999284,-186.00000000000705,-353.00000000000864,-14.999999999998348,-187.00000000000384,-178.00000000001148,,-2823.0000000000337
2015.02.16,-50.0000000000167,-202.00000000001327,-80.99999999999774,-90.99999999999665,-533.9999999999918,2.999999999997449,-165.9999999999995,-237.0000000000232,-53.999999999998494,-376.0000000000048,99.99999999998899,40.0000000000178,-215.99999999999397,-209.00000000000318,-222.99999999999898,-370.00000000000455,-19.00000000000235,-182.00000000000438,-179.00000000001802,,-3046.0000000000637
