date,USDJPY,AUDUSD,GBPCHF,CHFJPY,EURGBP,GBPJPY,GBPCAD,EURJPY,CADJPY,AUDCAD,empty,sum
2016.10.24,-15.999999999991132,-24.000000000001798,-86.0000000000083,-81.00000000000307,-7.9999999999968985,-9.000000000000341,-133.00000000000534,-25.000000000005684,-8.000000000009777,-44.99999999998394,,-435.00000000000625
2016.10.24,-117.00000000000443,-58.000000000002494,-43.999999999999595,-141.00000000000534,-6.0000000000060005,-99.00000000000375,-266.0000000000107,-91.00000000000819,-6.000000000000227,-26.999999999999247,,-855.0000000000399
2016.10.24,-138.9999999999958,-36.0000000000027,-43.999999999999595,-213.00000000000807,15.999999999993797,-173.00000000000182,-268.0000000000016,-156.0000000000059,-24.00000000000091,15.00000000000945,,-1022.0000000000131
2016.10.24,-176.00000000000193,-41.000000000002146,-45.000000000006146,-268.0000000000007,22.999999999995246,-231.99999999999932,-292.00000000000335,-192.00000000000728,-44.00000000001114,56.000000000011596,,-1211.0000000000252
2016.10.24,-162.9999999999967,-63.00000000000195,-2.999999999997449,-234.99999999999943,36.0000000000027,-142.00000000001012,-236.99999999999832,-153.0000000000058,-22.00000000000557,43.00000000001525,,-938.9999999999974
2016.10.24,-134.00000000000034,-55.000000000005045,-7.0000000000014495,-213.99999999999864,56.0000000000005,-114.00000000000432,-296.9999999999917,-132.99999999999557,-17.000000000010118,87.99999999999919,,-827.0000000000074
2016.10.24,-97.99999999999898,-68.00000000000139,-26.999999999999247,-174.0000000000066,31.999999999998696,-94.0000000000083,-351.0000000000124,-105.99999999999454,31.999999999996476,63.99999999999739,,-790.0000000000289
2016.10.24,-100.99999999999909,3.999999999992898,34.000000000000696,-156.0000000000059,56.99999999999594,-15.000000000000568,-202.00000000001327,-49.000000000006594,24.999999999991473,141.00000000001333,,-262.00000000003115
2016.10.24,-134.00000000000034,-75.00000000000284,-15.999999999993797,-134.00000000000034,29.999999999996696,-1.0000000000047748,-180.0000000000024,-18.000000000000682,42.999999999992156,114.0000000000141,,-371.00000000000216
2016.10.24,-143.99999999999125,-155.00000000000514,35.00000000000725,-82.99999999999841,51.99999999999649,99.99999999999432,-107.99999999999699,24.00000000000091,54.99999999999261,9.000000000014552,,-214.99999999998562
