date,USDJPY,AUDUSD,GBPCHF,CHFJPY,EURGBP,GBPJPY,GBPCAD,EURJPY,CADJPY,AUDCAD,empty,sum
2016.10.24,-1.9999999999953388,9.999999999998899,7.999999999985796,-70.99999999999795,27.999999999994696,34.99999999999659,-112.000000000001,16.999999999995907,39.99999999999204,63.99999999999739,,16.999999999967038
2016.10.24,-18.999999999991246,-30.000000000007798,-34.000000000000696,-67.00000000000728,10.999999999994348,-11.00000000000989,-229.00000000001253,-7.000000000005002,72.99999999999329,53.999999999998494,,-259.0000000000483
2016.10.24,-125.0,-17.000000000000348,-25.999999999992696,-207.9999999999984,34.99999999999615,-173.00000000000182,-258.0000000000027,-156.0000000000059,-12.000000000000455,78.00000000000028,,-862.0000000000059
2016.10.24,-149.99999999999147,-40.00000000000669,-5.000000000010552,-213.99999999999864,41.9999999999976,-138.00000000000523,-205.00000000001074,-123.00000000000466,-20.000000000010232,58.000000000002494,,-795.0000000000381
2016.10.24,-105.00000000000398,17.999999999995797,19.999999999997797,-192.99999999999784,56.99999999999594,-96.00000000000364,-187.00000000000384,-106.99999999999932,-3.0000000000001137,116.00000000000499,,-480.0000000000142
2016.10.24,-99.00000000000375,-46.00000000000159,4.000000000004,-153.99999999999636,63.00000000000195,-66.0000000000025,-275.000000000003,-90.00000000000341,60.99999999999284,101.00000000001774,,-500.9999999999942
2016.10.24,-66.99999999999307,2.999999999997449,58.000000000002494,-143.00000000000068,71.99999999999429,3.9999999999906777,-191.00000000000784,-36.000000000001364,61.99999999999761,146.00000000000168,,-92.00000000001879
2016.10.24,-85.99999999999852,34.99999999999615,79.99999999999119,-134.00000000000034,81.9999999999932,39.00000000000148,-126.0000000000039,-16.000000000005343,54.000000000002046,188.00000000001037,,115.99999999998633
2016.10.24,-114.00000000000432,-33.000000000005244,52.000000000007596,-58.000000000006935,80.00000000000229,98.99999999998954,-87.99999999999919,40.99999999999682,73.99999999999807,158.0000000000137,,210.99999999999233
2016.10.24,-123.99999999999523,-114.99999999999844,154.99999999999403,-58.9999999999975,114.99999999999844,208.99999999998897,38.99999999998904,94.99999999999886,75.9999999999934,62.000000000006494,,452.99999999997806
2016.10.24,-117.999999999995,-63.99999999999739,153.00000000000313,-88.00000000000807,105.99999999999498,170.99999999999227,4.999999999988347,75.9999999999934,69.99999999999318,116.00000000000499,,426.9999999999699
2016.10.24,-105.00000000000398,-63.00000000000195,141.99999999999767,-111.99999999999477,70.0000000000034,128.99999999999068,-68.00000000000139,81.99999999999363,77.99999999998875,114.99999999999844,,267.99999999997044
2016.10.24,-105.00000000000398,5.999999999994898,184.99999999999073,-143.00000000000068,103.99999999999298,135.99999999999568,-35.00000000000725,39.00000000000148,66.99999999999307,189.00000000001694,,442.99999999997385
2016.10.24,-82.99999999999841,19.00000000000235,144.99999999999514,-115.99999999999966,90.99999999999665,128.0000000000001,-53.999999999998494,54.000000000002046,70.99999999999795,194.0000000000053,,449.00000000000296
2016.10.24,-108.99999999999466,85.99999999999719,140.0000000000068,-134.00000000000034,92.99999999999864,102.99999999999443,-52.99999999999194,25.99999999999625,57.00000000000216,289.0000000000059,,498.00000000001444
2016.10.24,-84.99999999999375,73.99999999999629,117.99999999999588,-99.00000000000375,73.00000000000084,115.99999999999966,-66.00000000001049,67.99999999999784,72.99999999999329,273.0000000000121,,544.999999999988
2016.10.24,-72.99999999999329,74.99999999999174,99.99999999998899,-108.00000000000409,82.99999999999974,93.99999999999409,-83.9999999999952,33.999999999991815,64.99999999999773,253.00000000001432,,438.99999999998585
2016.10.24,-48.00000000000182,174.99999999999181,126.99999999998823,-112.99999999999955,124.99999999999733,115.99999999999966,-76.0000000000094,-6.000000000000227,72.99999999999329,372.00000000001677,,744.9999999999761
2016.10.24,-12.999999999991019,190.00000000000128,150.99999999999002,-138.9999999999958,119.00000000000244,109.99999999999943,-22.999999999995246,1.0000000000047748,45.000000000001705,317.9999999999961,,759.0000000000136
2016.10.24,24.00000000000091,241.00000000000233,4.999999999988347,-85.00000000000796,46.00000000000159,28.999999999996362,-119.00000000000244,0.0,34.99999999999659,333.0000000000055,,508.99999999998124
2016.10.24,-66.0000000000025,234.00000000000088,-117.99999999999588,-114.99999999999488,-80.99999999999774,-160.0000000000108,-188.00000000001037,3.0000000000001137,-36.000000000001364,317.0000000000117,,-210.0000000000008
2016.10.24,-105.00000000000398,286.99999999999284,-259.9999999999936,-143.00000000000068,-72.0000000000054,-329.9999999999983,-348.9999999999993,-150.00000000000568,-70.00000000000739,389.0000000000171,,-803.0000000000043
2016.10.24,-85.99999999999852,282.99999999999994,-62.000000000006494,-183.00000000000693,76.99999999999375,-169.00000000001114,-336.00000000000296,-189.99999999999773,24.999999999991473,490.0000000000126,,-151.00000000002592
2016.10.24,-75.00000000000284,281.99999999999335,-148.99999999999915,-174.99999999999716,12.999999999996348,-251.00000000000477,-400.00000000000034,-180.99999999999739,4.9999999999954525,449.0000000000105,,-482.00000000000597
2016.10.24,-66.0000000000025,286.99999999999284,-263.00000000001324,-123.99999999999523,-31.999999999998696,-303.0000000000115,-435.9999999999919,-168.99999999999693,-11.00000000000989,426.9999999999996,,-690.0000000000277
2016.10.24,-102.00000000000387,263.99999999999756,-212.99999999999653,-183.9999999999975,-48.99999999999905,-328.00000000000296,-429.00000000001273,-171.99999999999704,-31.00000000000591,406.00000000001745,,-838.0000000000005
