date,GBPUSD,USDCAD,AUDUSD,GBPCHF,AUDCHF,NZDCHF,GBPCAD,EURJPY,EURCAD,CADJPY,AUDCAD,NZDCAD,empty,sum
2018.10.01,-72.0000000000054,11.00000000000545,-23.00000000000635,-45.000000000006146,-0.999999999995449,87.99999999999919,31.000000000003247,-6.000000000000227,19.999999999997797,-58.9999999999975,4.000000000004,134.99999999999625,,82.99999999999486
2018.10.01,-51.000000000001044,52.000000000007596,-20.0000000000089,-50.0000000000167,-22.999999999995246,97.00000000000264,72.99999999998974,-58.9999999999975,42.999999999993044,-16.999999999995907,34.000000000000696,212.00000000000108,,290.99999999997954
2018.10.01,-77.00000000001594,-89.99999999999008,-9.00000000000345,69.9999999999923,85.00000000000173,212.00000000000108,-134.00000000001188,-87.00000000001751,-202.00000000001327,-135.99999999999568,-58.000000000002494,153.00000000000313,,-273.00000000005207
2018.10.01,-70.99999999999883,-78.99999999998464,46.999999999997044,70.99999999999883,134.0000000000008,241.99999999999778,-104.00000000001519,-93.00000000001774,-184.00000000000637,-126.99999999999534,28.000000000005798,209.9999999999991,,73.9999999999813
2018.10.01,-9.000000000014552,-56.99999999999594,43.999999999999595,156.00000000000057,149.00000000001023,246.99999999999721,-5.999999999994898,30.000000000001137,-125.00000000001954,-171.99999999999704,41.000000000002146,208.99999999999253,,506.99999999998136
2018.10.01,-5.000000000010552,-127.99999999999478,-15.00000000000945,153.9999999999875,87.00000000000374,224.000000000002,-89.00000000000574,-28.00000000002001,-239.00000000001143,-200.00000000000284,-87.00000000000374,134.99999999999625,,-191.00000000006906
2018.10.01,25.999999999992696,129.00000000000134,-26.000000000003798,116.99999999998934,39.00000000000014,171.99999999999437,282.9999999999888,-22.00000000001978,111.99999999997878,4.9999999999954525,80.00000000000229,282.99999999999994,,1197.9999999999195
2018.10.01,7.999999999985796,21.00000000000435,-26.999999999999247,122.99999999998423,52.000000000007596,182.99999999999983,119.00000000000244,30.000000000001137,-45.000000000006146,-125.0,2.000000000002,209.9999999999991,,550.9999999999811
2018.10.01,-77.00000000001594,101.00000000001774,-46.00000000000159,119.99999999998678,77.00000000000485,202.9999999999976,113.99999999999189,63.99999999999295,-62.000000000006494,-162.00000000000614,36.0000000000027,234.00000000000088,,601.9999999999653
2018.10.01,-58.000000000002494,-235.99999999999176,-24.000000000001798,78.99999999998464,64.0000000000085,221.99999999999997,-299.00000000000483,97.99999999998477,-422.00000000001125,-394.999999999996,-178.00000000000037,75.00000000000284,,-1074.0000000000277
2018.10.01,-38.0000000000047,-185.99999999999727,-12.000000000000899,53.999999999998494,54.00000000000959,231.99999999999886,-212.00000000001216,54.000000000002046,-370.00000000000364,-334.0000000000032,-127.99999999999478,149.99999999999457,,-736.0000000000131
