date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,NZDUSD,EURCHF,AUDCHF,EURGBP,GBPAUD,EURJPY,EURAUD,CADJPY,NZDJPY,NZDCAD,empty,sum
2017.06.26,-76.99999999999375,-48.000000000003595,-83.00000000001084,0.0,-43.00000000000415,-22.999999999995246,-44.99999999998394,-48.99999999999905,-54.999999999993946,-90.00000000001229,-49.000000000006594,-90.99999999999665,-49.000000000006594,-25.99999999999625,-57.00000000000705,,-785.0000000000099
2017.06.26,-103.99999999999298,9.999999999998899,-74.0000000000185,76.00000000000762,-42.0000000000087,-51.99999999999649,-131.99999999999878,-89.00000000000574,-56.0000000000005,-15.00000000000945,54.000000000002046,-75.00000000000284,27.999999999991587,10.000000000005116,-52.000000000007596,,-513.0000000000364
2017.06.26,-95.99999999999609,7.999999999985796,-48.000000000003595,76.99999999999818,-54.00000000000959,-21.999999999999797,-136.00000000000279,-90.0000000000012,-48.99999999999905,8.999999999992347,42.999999999992156,-32.999999999994145,42.00000000000159,34.000000000006025,-40.00000000000669,,-355.00000000003683
2017.06.26,-89.99999999999008,15.999999999993797,-19.999999999997797,88.99999999999864,-37.00000000000925,-14.999999999998348,-136.99999999998712,-82.00000000000429,-42.999999999993044,53.999999999998494,82.99999999999841,7.0000000000014495,81.99999999999363,40.00000000000625,-19.00000000000235,,-71.99999999999157
2017.06.26,-77.99999999998919,44.99999999998394,-9.999999999998899,88.99999999999864,-62.000000000006494,-7.9999999999968985,-132.99999999998312,-90.99999999999665,-34.99999999999615,48.99999999998794,87.0000000000033,-18.999999999991246,68.9999999999884,40.00000000000625,-4.999999999999449,,-61.99999999998961
2017.06.26,-84.99999999999064,42.999999999993044,-12.000000000012001,97.00000000000841,-87.00000000000374,6.0000000000060005,-146.00000000000168,-112.000000000001,-29.000000000001247,15.999999999993797,102.00000000000387,-42.0000000000087,88.99999999999864,61.99999999999761,18.999999999991246,,-79.00000000002638
2017.06.26,-89.99999999999008,36.999999999998145,-22.0000000000109,90.00000000000341,-107.00000000000153,-24.999999999997247,-144.99999999999514,-150.00000000000568,-44.99999999999504,-80.00000000001339,118.99999999999977,-133.00000000000534,97.99999999999898,37.9999999999967,-36.0000000000027,,-451.0000000000201
2017.06.26,-96.99999999999153,64.99999999998174,-15.00000000000945,142.00000000001012,-96.00000000000719,-31.999999999998696,-143.99999999998857,-131.99999999999878,-71.99999999999429,-23.00000000001745,156.99999999999648,-76.99999999999375,155.9999999999917,60.000000000002274,-70.99999999999883,,-179.00000000001629
2017.06.26,-161.00000000000003,78.00000000000028,-60.99999999999994,153.0000000000058,-70.0000000000034,-71.99999999999429,-177.00000000000495,-161.00000000000003,-93.99999999999409,74.99999999998064,123.00000000000466,-96.00000000000719,149.99999999999147,16.000000000005343,-119.00000000000244,,-416.00000000001813
2017.06.26,-142.99999999999312,73.99999999999629,-73.00000000001194,168.00000000000637,-120.00000000000898,-66.99999999999484,-154.99999999999403,-192.99999999999872,-100.99999999999554,-30.0000000000189,134.9999999999909,-207.00000000000162,168.99999999999693,25.000000000005684,-116.00000000000499,,-634.0000000000265
2017.06.26,-139.99999999999568,97.9999999999981,-70.99999999999883,165.00000000000625,-182.00000000000438,-17.000000000000348,-151.9999999999966,-228.00000000000597,-93.99999999999409,-133.00000000000534,137.99999999999102,-275.000000000003,180.99999999999739,103.9999999999992,-76.0000000000094,,-682.0000000000217
2017.06.26,-116.99999999998934,116.99999999998934,-49.00000000001015,156.0000000000059,-196.00000000000728,23.00000000000635,-139.9999999999846,-238.0000000000049,-114.99999999999844,-135.00000000001845,129.0000000000049,-292.00000000000335,143.99999999999125,127.00000000000955,-9.999999999998899,,-596.0000000000081
2017.06.26,-136.99999999999824,99.99999999998899,-70.99999999999883,156.0000000000059,-211.00000000000563,-19.00000000000235,-146.99999999998602,-261.0000000000001,-110.99999999999443,-190.00000000000128,93.00000000000352,-353.0000000000033,132.99999999999557,99.00000000000375,-26.000000000003798,,-944.9999999999962
2017.06.26,-134.99999999999625,117.99999999999588,-42.0000000000087,181.0000000000116,-195.00000000000074,-36.999999999998145,-175.99999999999838,-265.0000000000041,-102.00000000000209,-164.00000000000858,149.0000000000009,-320.9999999999935,167.99999999999216,75.00000000000284,-60.00000000000449,,-806.0000000000116
