date,USDCAD,NZDUSD,GBPCHF,EURCHF,CHFJPY,EURGBP,GBPJPY,GBPAUD,EURJPY,CADJPY,AUDCAD,AUDNZD,empty,sum
2021.04.26,0.0,-43.999999999999595,-272.99999999998994,-55.99999999998939,-52.99999999999727,-1.999999999990898,-191.0000000000025,-97.00000000001374,-84.99999999997954,-138.9999999999958,-4.999999999999449,-136.99999999998712,,-1081.9999999999452
2021.04.26,19.00000000001345,-40.99999999999105,-272.99999999998994,-99.00000000000463,-52.99999999999727,14.000000000002899,-192.00000000000728,-256.00000000001177,-123.99999999999523,-126.00000000000477,143.00000000000423,-215.99999999999397,,-1203.9999999999754
2021.04.26,7.0000000000014495,-100.99999999999554,-232.99999999999432,-102.00000000000209,105.00000000000398,35.00000000000725,-241.00000000001387,-99.00000000000463,-135.99999999999568,-153.0000000000058,182.00000000000438,-187.99999999998818,,-923.9999999999832
2021.04.26,-4.999999999988347,-110.99999999999443,-242.00000000000887,-90.99999999999665,93.00000000000352,37.00000000000925,-164.0000000000157,-80.00000000001339,-64.99999999999773,-143.00000000000068,194.0000000000053,-177.00000000000495,,-754.0000000000027
2021.04.26,35.00000000000725,-110.99999999999443,-217.0000000000005,-99.00000000000463,81.00000000000307,71.00000000000995,-116.00000000001387,-116.00000000000499,-58.9999999999975,-117.00000000000443,226.00000000000398,-163.9999999999864,,-585.9999999999825
2021.04.26,73.00000000001194,-98.99999999999353,-215.99999999999397,-99.99999999998899,62.00000000001182,70.0000000000034,-103.00000000000864,-112.000000000001,-49.99999999998295,-85.99999999999852,236.00000000000287,-182.99999999999983,,-507.9999999999374
2021.04.26,-97.9999999999981,-115.99999999999389,-231.0000000000034,-112.000000000001,40.00000000000625,69.00000000000794,-161.00000000000136,-158.0000000000137,-117.999999999995,-207.9999999999984,187.00000000000384,-204.00000000000418,,-1109.999999999991
2021.04.26,-156.99999999998494,-168.99999999999693,-336.00000000000296,-167.00000000000603,76.00000000000762,41.000000000002146,-240.0000000000091,-212.00000000001216,-156.99999999998226,-215.0000000000034,207.00000000000162,-231.0000000000034,,-1559.9999999999898
2021.04.26,-166.99999999998383,-241.99999999999778,-313.99999999999204,-163.00000000000205,82.00000000000784,47.00000000000814,-249.00000000002365,-192.99999999999872,-150.99999999998204,-206.00000000000307,219.00000000000253,-207.00000000000162,,-1543.9999999999663
2021.04.26,-221.99999999998886,-289.9999999999903,-317.9999999999961,-153.00000000000313,65.00000000001194,43.00000000000415,-213.99999999999864,-323.0000000000066,-109.99999999998522,-204.00000000000773,263.0000000000021,-243.99999999999977,,-1706.9999999999582
